embFID,EMBAY_NAME,CropStatus,bogsurf_area_ha,bogshed_area_ha,bog_count,marg_bogshed_area_ha,Q_m3d,marg_Q_m3d,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_Load_kgN_y,NO3_Load_kgN_y,marg_TN_Load_kgN_y,marg_NO3_Load_kgN_y,marg_TN_Load_kgN_y_MEP,TN_Load_kgN_y_MEP
10,GreatPond,active,25.731219754876694,5238.91,10,1530.02,99277.52379192335,28993.931362080766,0.656500768661499,0.7396307229995728,0.823435926437378,0.09233756624162197,0.14855408817529678,0.23057300895452498,27043.655355768562,5599.056456689798,7814.93354341452,1469.5372175861364,8883.180358126552,30416.715082151066
12,GreenPond,active,23.8304905979942,382.32,1,382.33,7244.977084188912,7245.166584531144,0.6764546036720276,0.7583640217781067,0.833292543888092,0.14885225892066956,0.21730023622512817,0.3028472661972046,2006.8040176181535,575.0259434295202,2006.8565077839207,575.0409838653705,4867.535579179089,4867.408266763658
15,HerringRiverHarwich,active,70.14041282240524,1468.4199999999998,27,714.47,27826.60925393566,13539.230951403148,0.5297591907006723,0.682065502361015,0.864480220609241,0.07597212469274248,0.15582231908208793,0.2947487511016704,7460.62064728015,1824.2099002197856,3958.735977856022,1273.4862546202553,4240.541718230983,8715.406203038252
16,LewisBay,active,8.012414978627243,86.65,1,86.66,1642.020465434634,1642.2099657768651,0.9011310935020447,1.0066884756088257,1.1201483011245728,0.3058455288410187,0.42167192697525024,0.537798285484314,603.7593747022302,252.89688431775426,603.8290526450693,252.9260703401798,1199.3335518505544,1199.195156564165
21,NamskaketCreek,active,3.568260038412783,2.61,5,2.66,49.45958932238193,50.40709103353868,0.7017144799232483,0.8603034973144531,1.0763261556625365,0.19717011898756026,0.3728320598602295,0.597366464138031,15.387574512383939,6.334668658449054,15.685304045217038,6.463696513565183,19.570490589764532,19.202624225295274
25,ParkersRiver,active,24.64318198969267,1160.84,4,726.45,21997.95772758385,13766.252361396304,0.6631582975387573,0.8673451095819473,1.0824746489524841,0.08484885469079018,0.21787337586283684,0.438469834625721,6786.1829879117695,1577.9325696990838,4407.072028882422,1136.1939365857368,15772.71588489004,25204.21158760514
26,PhinneysHarborEelPondBackRiver,active,10.091268133794534,175.48000000000002,4,107.36,3325.352005475702,2034.4756741957565,0.6085571199655533,0.6541601419448853,0.7253268510103226,0.10010265186429024,0.20658567175269127,0.38250040262937546,794.4954709329104,251.14155030661317,485.81599939969544,152.55369218825587,900.1308442340228,1471.2645356388443
27,PleasantBay,active,10.124708944534921,169.32,7,168.26,3208.619794661191,3188.532758384668,0.641350873879024,0.8726232477596828,1.139961336340223,0.08973240266953196,0.24924861533301218,0.5040915523256574,951.5037223142195,341.9491707304265,944.9740065518329,339.9902199313286,1300.2568570340131,1308.44818158207
28,PlymouthDuxbury,abandoned,63.37019146161909,6731.24,22,2406.9900000000002,127557.22836413416,45612.542874743325,0.5873353291641582,0.6709658259695227,0.7527064735239203,0.05549166702919386,0.11272090072320266,0.1961643064225262,34067.27496286232,5973.440454994722,11668.202109710628,1791.5235135757823,20672.758965764035,57812.16459591004
28,PlymouthDuxbury,active,322.9042747638257,6639.7699999999995,94,4077.2700000000004,125823.86873374402,77264.406036961,0.6302196801976955,0.7188328904040316,0.8148524628040639,0.06501199056374583,0.13327444410149722,0.22812244248517016,33414.04251499617,5905.295746635429,21054.971541996612,4070.6647647689006,35018.18451607224,57026.562136988956
28,PlymouthDuxbury,inactive,31.39011968286974,2126.52,11,862.1899999999999,40297.6267761807,16338.530006844627,0.5990785251964222,0.6952285062183033,0.7970877614888278,0.06373052129691298,0.12913072109222412,0.21117269044572656,11375.719709998795,2250.8549562972294,4578.166880749448,891.195445502089,7405.035356479293,18263.90445987583
29,PocassetHarbor,active,28.64605400114666,777.79,8,761.11,14739.14711841205,14423.06054757016,0.5970343500375748,0.6510336771607399,0.7150669544935226,0.02145091351121664,0.042737595504149795,0.08444882417097688,3498.1643479178956,212.18560507301527,3423.353772300331,208.09361778042177,3984.745850573355,4072.072992231675
31,PopponessetBay,abandoned,5.067185625365255,23.75,6,14.92,450.06331279945243,282.7345106091718,0.6739163100719452,0.7792016367117564,0.8808752000331879,0.10225181902448337,0.18079941968123117,0.3010690212249756,127.14759164758743,27.401448647643107,80.2728110402787,18.38811189062208,71.05494339058907,113.10689715325003
31,PopponessetBay,active,13.524191154789186,436.12,8,269.08,8264.488925393565,5099.075208761123,0.6589369624853134,0.7406368777155876,0.8388220891356468,0.11401097290217876,0.21503068320453167,0.38421301916241646,2256.374101332082,748.7489461274606,1381.8169905819661,467.62075262451094,1281.4654267788007,2076.975999430543
40,SandwichHarbor,active,3.6769419409428092,18.43,2,18.45,349.24913073237514,349.6281314168378,0.5511665046215057,0.620042085647583,0.6882942616939545,0.051383085548877716,0.11466485634446144,0.23833855986595154,78.59278428990365,14.438677967610584,78.67861671581984,14.454551023674346,98.27999101808396,98.17345444245461
41,SaquatucketHarbor,active,14.127144267534883,989.52,2,528.38,18751.437864476386,10012.819082819986,0.9408926367759705,1.0904757976531982,1.2613808512687683,0.4982674717903137,0.6558368802070618,0.8309405148029327,7482.408620815368,4514.351657272842,3925.669554625968,2296.4105054108136,4665.593626148035,8737.458278030968
42,ScortonHarbor,active,28.744980247009583,549.1099999999999,9,510.78,10405.653292265572,9679.298480492815,0.6007314390606351,0.6981016000111898,0.8500401907496982,0.0552274597187837,0.1437493008044031,0.3325739900271098,2657.5986172842468,553.351419946582,2473.3283043784963,514.7234444401547,2613.159094743089,2809.2560212114367
44,StageHarbor,active,1.7764690145664936,1.04,1,1.05,19.708035592060234,19.897535934291582,0.5909863114356995,0.8421527743339539,1.1268399953842163,0.0645769014954567,0.2186722308397293,0.49795499444007874,6.06211884465456,1.574081439587474,6.1204084489300845,1.589216838045046,10.84576630983776,10.742473297363116
45,SulfurSpringsBucksCreek,active,7.1256375696774095,21.39,2,21.41,405.34123203285424,405.72023271731695,0.6580121219158173,0.9387494325637817,1.273838460445404,0.08810988068580627,0.2964518964290619,0.6105875670909882,140.004980529913,45.36679073305429,140.13493161386282,45.40782856907696,412.85176824132833,412.4661056834196
48,ThreeBays,abandoned,16.855657368428517,325.64,5,191.87,6170.88914442163,3635.943066392882,0.494578492641449,0.6249878525733947,0.7559527277946472,0.026279699057340622,0.04543787389993668,0.07645001262426376,1437.3924590672364,108.01783313002814,849.5460740940975,65.08484031517338,1822.40942853133,3092.9765273723992
48,ThreeBays,active,55.036983178205816,2011.44,19,692.14,38116.85683778234,13116.07668720055,0.6672740986472682,0.8151869115076567,1.001569274224733,0.16501336250650256,0.32533288511790726,0.5520833722854915,12130.466579976124,6038.4724298254705,3969.0473356958937,1751.4635011227979,6574.047333421977,19104.952420519403
49,WaquoitBay,abandoned,3.5844558172516257,3784.6099999999997,3,1825.91,71718.48902121835,34601.05698836414,0.6337636907895406,0.7100015679995219,0.7970129251480103,0.04327446719010671,0.10830981781085332,0.2502966324488322,18521.06980643639,2671.1849415444913,8981.275425503634,1350.9509356653168,10895.001099535488,22582.345302513815
49,WaquoitBay,active,15.911919696698181,4204.84,5,374.46000000000004,79681.8619028063,7096.029815195072,0.6475420832633972,0.7287271738052368,0.8185274124145507,0.1161533884704113,0.2104296937584877,0.3677946925163269,20703.47951553257,3569.5691029529644,1913.8046365157545,625.5477993147338,2234.3610099797133,25089.810792082193
50,Wareham,abandoned,8.203890572228758,17.36,4,17.4,328.97259411362086,329.7305954825462,0.5981680452823639,0.6551587134599686,0.7320323586463928,0.033701402600854635,0.07673744484782219,0.1628213506191969,80.48902905566783,11.330747305358948,80.67041629707634,11.351992834339514,74.28438609067058,74.11361738701386
50,Wareham,active,688.0939246510286,23793.030000000002,111,7724.77,450878.732772074,146384.65586584536,0.5779090878125783,0.628670270915504,0.6882728719496513,0.03229494116831202,0.07405580271471728,0.16323788017705754,101022.69813897641,10639.921811028129,33131.99253459711,3781.1410493246267,32978.72397365686,101577.62222913263
53,WildHarbor,active,4.997624546557426,113.07,2,113.09,2142.6803696098564,2143.059370294319,0.6875552535057068,0.7777096033096313,0.859420895576477,0.19244790822267532,0.29499250650405884,0.43064144253730774,610.4157437935231,230.68522729188442,610.5234021339091,230.72606310455976,1133.3802909788315,1133.179852338637
54,WychmereHarbor,active,2.8409199447482023,6.55,1,6.56,124.1227241615332,124.31222450376455,0.8238920569419861,1.0486338138580322,1.3170740604400635,0.33519622683525085,0.5744386315345764,0.8392215967178345,47.540679074150326,26.04264927249104,47.61326026357651,26.082409042372703,213.85584942670943,213.5298496562419
