OBJECTID,bogFID,embFID,CropStatus,TOWN,EMBAY_NAME,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,bogsurf_area_m2,bogsurf_perim_m2,marg_bogshed_area_m2,ZS_MAX_FA_D8_gwelid0,bog_count,NO3_mgl,TN_mgl,bogshed_area_m2,bogshed_area_ha,bogsurf_area_ha,marg_bogshed_area_ha,Q_m3y,marg_Q_m3y,Q_m3d,marg_Q_m3d,NO3_Load_kgN_y,NO3_Loading_Rate_kgN_ha_y,TN_Load_kgN_y,TN_Loading_Rate_kgN_ha_y,HLR_md,marg_NO3_Load_kgN_y,marg_NO3_Loading_Rate_kgN_ha_y,marg_TN_Load_kgN_y,marg_TN_Loading_Rate_kgN_ha_y,marg_HLR_md,LR_kghay_CCC,LR_kghay_MEP,LR_kghay_MEP_Buildout,TN_Load_kgN_y_CCC,TN_Load_kgN_y_MEP,TN_load_kgN_y_MEP_Buildout,marg_TN_Load_kgN_y_CCC,marg_TN_Load_kgN_y_MEP,marg_TN_load_kgN_y_MEP_Buildout,TN_load_kgN_y_FERT,DERname,embayshed_area_ha,Nload_Sept,Nload_Fert,Nload_Stor,Nload_Atmo,Nload_Tota,Nload_Parc,Septic_Tar,Total_Targ,MEP_Source,MEP_Sept_T,MEP_Total_,MEP_Septic,MEP_Tota_1,EMBAY_ID,Shape_Leng,Shape_Area,resid
143,198,42,active,Sandwich,ScortonHarbor,0.058701805770397186,0.16486790776252747,0.3987894058227539,0.6087200045585632,0.7265406250953674,0.9071187973022461,19055.52705240083,19055.52705240083,1502000,15019,1,0.16486790776252747,0.7265406250953674,1501900,150.19,1.905552705240083,150.2,1039540.0850000001,1039609.3000000002,2846.1056399726217,2846.295140314853,171.38679884922996,89.94072868094023,755.2681031675914,396.3512009353918,0.1493585368773118,171.39821018146577,89.94671714413226,755.3183906769574,396.3775909214717,0.14936848151656057,9.507344552711109,5.116016865858274,7.33687566579797,1427.9080783716813,768.3745730832542,1101.925356246197,1428.0031518172084,768.4257332519127,1101.998725002855,20.989472492948988,NA,2837.174970408337,18590,3090,3236,2058,26974,3108,53794,57696,3,53794,57696,-568.9,-970.5999999999999,426,70954.2719615117,56209921.26268603,-13.107342574955283
17,194,31,active,Mashpee,PopponessetBay,0.12707361578941345,0.24568191170692444,0.43124428391456604,0.6696259379386902,0.7581225037574768,0.8562044501304626,29644.390776057342,29644.390776057342,113800.00000000001,17429,1,0.24568191170692444,0.7581225037574768,1742900,174.29,2.9644390776057343,11.38,1206348.235,78766.67000000001,3302.8014647501714,215.6513894592745,296.37794055907415,99.97774715560944,914.5597443216132,308.51021740688583,0.11141404421836591,19.351546064388458,6.527894673422661,59.714785073038946,20.143704596307078,0.007274610265677917,14.461650047998996,4.762395669610528,7.787956639505174,2520.520986865745,830.0379412564188,1357.3629626993566,164.5735775462286,54.19606272016781,88.62694655756889,32.6529999959194,NA,5300.363357264758,49047,6738,9433,11217,76652,10069,7403,13851,7,7403,13851,317.5,242.2,917,125930.58519774769,128788471.02538016,5.518722352871137
130,587,2,active,Barnstable,BarnstableHarbor,0.06478818506002426,0.1300390064716339,0.23785331845283508,0.6588200330734253,0.7869585752487183,0.9169641733169556,10158.74134284107,10158.74134284107,514000,27403,1,0.1300390064716339,0.7869585752487183,2740300,274.03,1.0158741342841069,51.4,1896698.645,355765.10000000003,5192.87787816564,974.0317590691308,246.64480737189427,242.79071495968984,1492.6232633453744,1469.2994072511117,0.5111733533628253,46.263340141281496,45.54042531448403,279.9723962192178,275.5975241130794,0.0958811457243704,11.134979308861249,7.5550641647335635,9.411249943773365,3051.318380007248,2070.314233061938,2578.964822092215,572.3379364754682,388.33029806730514,483.7382471099509,11.18975200172601,NA,8771.098471846923,65741,9732,10770,11421,97666,10971,75572,92434,7,75572,92434,-283.9,-211.89999999999998,714,220441.72698880098,219380593.60325742,-108.35790184808735
117,393,15,active,Harwich,HerringRiverHarwich,0.2237911969423294,0.5096640586853027,0.833023726940155,0.8038168549537659,1.0879746675491333,1.4462658166885376,8008.85995037298,8008.85995037298,2046000,20459,1,0.5096640586853027,1.0879746675491333,2045900,204.59,0.8008859950372981,204.6,1416069.685,1416138.9,3876.987501711157,3877.177002053388,721.7198230383182,901.1517588151944,1540.647944764281,1923.679467877986,0.4840873140165976,721.7550994361401,901.1958055310072,1540.7232489308951,1923.7734939529591,0.4841109753545914,11.324340401404662,5.9352271169272095,8.50903528927731,2316.84680272338,1214.2881158521377,1740.863529833245,2316.9600461273935,1214.347468123307,1740.9486201861378,8.821679146736335,NA,3865.655609802233,26832,3843,4339,8144,43776,5336,8669,17511,3,8669,17511,47.1,27.7,348,48915.00981203222,69706754.6847993,326.37578080758817
43,397,7,active,Barnstable,CentervilleRiver,1.3149616718292236,1.7219140529632568,2.1511237621307373,1.4030433893203735,2.2481725215911865,2.7139933109283447,7262.383608813231,7262.383608813231,1139100,11390,1,1.7219140529632568,2.2481725215911865,1139000,113.9,0.7262383608813231,113.91,788358.85,788428.0650000001,2158.408898015058,2158.5983983572896,1357.4861825929522,1869.2019806631824,1772.3667037232278,2440.475192707227,0.29720392288225195,1357.6053648741283,1869.3660897045054,1772.52231098431,2440.689457430029,0.29723001629075785,22.730265741204022,16.23985815499602,18.49051665209175,2588.9772679231382,1849.719843854047,2106.06984667325,2589.20457058055,1849.8822424355967,2106.254751839771,7.999442921271687,NA,2778.93803438895,48278,5008,6413,4548,63166,7996,25847,34833,4,25847,34833,73.1,59.8,428,77848.76964844904,54096623.891136885,-77.35993145128668
1,977,5,active,Bourne,BournesPond,0.21072643995285034,0.3137483596801758,0.44565021991729736,0.6723121404647827,0.7637391090393066,0.8494621515274048,87396.0877813729,87396.0877813729,3494800,34948,1,0.3137483596801758,0.7637391090393066,3494800,349.48,8.73960877813729,349.48,2418925.8200000003,2418925.8200000003,6622.657960301164,6622.657960301164,758.9340082130242,86.83844179748044,1847.4282505989745,211.38569213995464,0.07577751050903081,758.9340082130242,86.83844179748044,1847.4282505989745,211.38569213995464,0.07577751050903081,22.040889774666894,9.033551234965577,13.188469059794675,7702.850158450587,3157.04548559577,4609.106167017044,7702.850158450587,3157.04548559577,4609.106167017044,96.26591673030444,NA,604.4674301358305,7632,2776,1690,1226,13323,1529,394,1296,2,394,1296,189.9,161.39999999999998,210,53819.509686867874,21196487.363199063,-1309.6172349967956
3,168,12,active,Falmouth,GreenPond,0.14885225892066956,0.21730023622512817,0.3028472661972046,0.6764546036720276,0.7583640217781067,0.833292543888092,238304.90597994198,238304.90597994198,3823300,38232,1,0.21730023622512817,0.7583640217781067,3823200,382.32,23.8304905979942,382.33,2646227.8800000004,2646297.095,7244.977084188912,7245.166584531144,575.0259434295202,24.129840762821722,2006.8040176181535,84.21161156401308,0.030402131481081295,575.0409838653705,24.130471905340105,2006.8565077839207,84.21381421131284,0.03040292668226044,24.835850204898662,12.73124154311482,15.417182935378342,9495.242250336856,4867.408266763658,5894.297379853848,9495.490608838905,4867.535579179089,5894.451551683202,262.4904708878463,NA,641.4920314206738,9152,3662,1849,1268,15932,1767,2376,3708,1,2376,3708,65.2,54.6,113,49536.96809773583,21861270.17590606,-2860.679071395168
48,203,25,active,Yarmouth,ParkersRiver,0.07308787107467651,0.14664213359355927,0.26288333535194397,0.6535117030143738,0.7909979820251465,0.9374058246612549,116813.68824152042,116813.68824152042,722800,50549,1,0.14664213359355927,0.7909979820251465,5054900,505.49,11.681368824152042,72.28,3498749.0350000006,500286.0200000001,9579.052799452431,1369.7084736481863,513.0640234008066,43.921566994786694,2767.503426297429,236.91602139771697,0.08200282812444953,73.36300937983007,6.280343552559264,395.72523225539214,33.87661482250289,0.011725581943926117,33.328460172547615,21.712046093867492,34.14089515985511,16847.203332621095,10975.22217998908,17257.88109435516,2408.981101271742,1569.3466916647424,2467.703902154328,128.66910946115232,NA,1127.474830983997,29886,2965,3424,1388,37577,4701,804,4912,4,804,4912,384,321.5,504,65014.83755703815,29074083.3286659,-1173.6214594093503
60,155,48,active,Barnstable,ThreeBays,0.32212501764297485,0.5456362366676331,0.728559136390686,0.7958335876464844,0.9458001852035522,1.1232798099517822,54237.37639190118,54237.37639190118,453700,53435,1,0.5456362366676331,0.9458001852035522,5343500,534.35,5.423737639190119,45.37,3698503.5250000004,314028.455,10125.950787132102,859.7630527036277,2018.0375446829753,372.0750668508206,3498.0453189209916,644.951056195138,0.1866969138397359,171.34530439275116,31.59173909052443,297.0081708981854,54.76079240118539,0.01585185548967684,17.16915276913104,9.498146810503622,12.932549175552776,9174.336782185172,5075.33474819261,6910.507651956626,778.9644611354752,430.9309207925493,586.7497560948294,59.74192772191524,NA,5028.320334781984,61552,9451,8256,6062,86332,8463,14486,25643,7,14486,25643,400.2,322.8,1036,178970.31786832286,107023118.79229394,-133.92274989436385
59,136,41,active,Harwich,SaquatucketHarbor,0.5884661078453064,0.6960873007774353,0.813434898853302,1.0129413604736328,1.1150740385055542,1.2258609533309937,70869.72362243135,70869.72362243135,809400,53523,1,0.6960873007774353,1.1150740385055542,5352300,535.23,7.086972362243135,80.94,3704594.445,560226.2100000001,10142.62681724846,1533.815770020534,2578.7211476951306,363.867814898452,4130.897088811392,582.8860164347952,0.1431165002319575,389.9663503436727,55.02580374396188,624.6937024613609,88.14676712858461,0.02164275083379975,17.67119340696956,8.829996642848016,10.833490277344795,9458.15284721232,4726.079103151544,5798.409001143255,1430.3063943601162,714.6999282721184,876.8627030482877,78.06229187287191,BSB,713.251205491812,9245,1688,1228,443,12604,1425,1927,3386,1,1927,3386,60.1,46.2,141,20383.23899222968,14016508.21427562,-90.00622581075754
913,742,28,active,Kingston,PlymouthDuxbury,0.08635172247886658,0.1650140881538391,0.2598564922809601,0.6657592058181763,0.7846987247467041,0.904865562915802,24577.05660646787,24577.05660646787,10095000,109297,1,0.1650140881538391,0.7846987247467041,10929700,1092.97,2.4577056606467873,1009.5,7564991.855,6987254.25,20711.818904859687,19130.05954825462,1248.330232844045,507.9250346502134,5936.239461337705,2415.358175875089,0.8427298368759512,1152.995388762787,469.13485500918625,5482.889499455989,2230.8975347410287,0.7783706509110704,NA,8.588635169138232,13.438130652323226,NA,9387.120580813014,14687.473659069716,NA,8670.227203245046,13565.792893520296,27.071382081458296,NA,19337.51105144037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3187.337703789057
2,585,10,active,Falmouth,GreatPond,0.1638331413269043,0.23680981993675232,0.3284483253955841,0.7037416696548462,0.7877959609031677,0.8641927242279053,98369.94092083657,98369.94092083657,2103600,153001,1,0.23680981993675232,0.7877959609031677,15300100,1530.01,9.836994092083657,210.36,10589964.215000002,1456006.74,28993.741861738537,3986.329199178645,2507.807518890801,254.93636525704176,8342.731034686087,848.0975953213105,0.2947418854817786,344.79669392609776,35.05102175506781,1147.0362288197887,116.60434255448712,0.04052385476562045,12.205936386922463,5.80592433963383,7.980562363384214,18675.20473135524,8883.122298883156,12210.340221601482,2567.6407783530094,1221.3342440853726,1678.7910987615035,108.35350622489229,Co-L2,3334.852706885451,25721,5758,5128,4099,40705,6013,3207,7195,2,3207,7195,179.3,143.7,222,86735.18734086401,75112671.44295387,-74.2980152655839
26,193,49,active,Mashpee,WaquoitBay,0.043066900223493576,0.10917117446660995,0.255903422832489,0.634016215801239,0.7106420993804932,0.799468994140625,60695.071403079084,60695.071403079084,1290900,195194,1,0.10917117446660995,0.7106420993804932,19519400,1951.94,6.069507140307908,129.09,13510352.709999999,893496.435,36989.32980150582,2446.2599178644764,1474.9410728088467,243.00837592128156,9601.025413205334,1581.845970563974,0.6094288868342831,97.54405519067902,16.071165736486897,634.9561823573863,104.6141256084221,0.04030409490119451,12.046572196333033,5.966888345830565,10.80119340961564,23514.1861329103,11647.008037760514,21083.281463965155,1555.0920048246312,770.2656165632677,1394.3260572472832,66.85501419977757,NA,5562.163153797083,36327,12414,9124,9139,67005,8505,5685,15440,10,5685,15440,680,478,1490,203297.0373537598,149790023.59567446,-135.30943420588142
377,519,50,active,Plymouth,Wareham,0.020754249766469002,0.047117218375205994,0.10938307642936707,0.5412231683731079,0.5982071161270142,0.6442827582359314,39064.27075387952,39064.27075387952,133800,291651,1,0.047117218375205994,0.5982071161270142,29165100,2916.51,3.906427075387952,13.38,20186623.965,92609.67000000001,55267.96431211499,253.55145790554417,951.1375696170717,243.48018054902843,12075.782106443123,3091.260088413109,1.4147957518604455,4.363510045045764,1.1170079361106258,55.39976361617447,14.181696611006785,0.00649062309400371,NA,4.269217591417849,6.606410922323156,NA,12451.215797546072,19267.66351906471,NA,57.122131373170824,88.39377814068384,43.028903592690746,NA,11077.57311200755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7223677569963556
