embFID,EMBAY_NAME,embayshed_area_ha,Nload_Sept,Nload_Fert,Nload_Stor,Nload_Atmo,Nload_Tota,Nload_Parc,Septic_Tar,Total_Targ,MEP_Source,MEP_Sept_T,MEP_Total_,MEP_Septic,MEP_Tota_1,EMBAY_ID,Shape_Leng,Shape_Area,CCC_Nload_Total,MEP_WAL_kgd,MEP_thresh_kgd,MEP_reduction_pct,septic_kgy,wwtf_kgy,fertilizer_kgy,impervious_kgy,water_kgy,natural_kgy,buildout_kgy,unatten_plus_estuary_kgy,atten_plus_estuary_kgy,atten_kgy,loading_rate_kghay,unatten_plus_buildout_kgy,atten_plus_buildout_kgy,LR_kghay_CCC,LR_kghay_MEP,LR_kghay_MEP_Buildout,CropStatus,bogsurf_area_ha,bogshed_area_ha,bog_count,marg_bogshed_area_ha,Q_m3d,marg_Q_m3d,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_Load_kgN_y,NO3_Load_kgN_y,marg_TN_Load_kgN_y,marg_NO3_Load_kgN_y,marg_TN_Load_kgN_y_MEP,TN_Load_kgN_y_MEP
19,LittleSippewissettMarsh,688.5272048642291,2337,324,713,1050,5127,609,0,0,0,0,0,0,0,120,25709.82999121109,14368080.84813723,5127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,7.446328865118692,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,MegansettHarbor,1099.505915278361,6047,1809,2514,994,11361,1251,4236,7352,3,4236,7352,45,30.1,363,94697.5975644559,29078372.469158277,11361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,10.332822990882905,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NamskaketCreek,629.7390435089897,4515,503,1015,1897,7931,961,0,16750,1,0,16750,0,-261.8,122,22246.68424290042,18157877.95244492,7931,12.685,45.89,261.80%,3916,1196,455,433,1040,381,5331,7421,5834,4633.19625,7.357327289,12752,11165,12.594105577140992,7.357327289385163,17.729566103742172,active,3.568260038412783,2.61,5,2.66,49.45958932238193,50.40709103353868,0.7017144799232483,0.8603034973144531,1.0763261556625365,0.19717011898756026,0.3728320598602295,0.597366464138031,15.387574512383939,6.334668658449054,15.685304045217038,6.463696513565183,19.570490589764532,19.202624225295274
22,NausetMarsh,1918.011479720441,13556,2258,3607,2729,22536,3574,7118,10334,7,7118,10334,250,203.09999999999997,861,99707.25355540004,54513595.32007083,22536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,11.749668987009779,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,OysterPond,162.4173297986405,1708,212,1019,215,3155,382,327,557,2,317,557,82.2,70.5,902,57961.191556869475,21473406.29287284,3155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,19.425267019913836,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,PametRiver,1062.17643931596,1743,323,709,182,3066,776,0,0,0,0,0,0,0,125,17874.77187820392,19749373.68924534,3066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2.886526085981063,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,ParkersRiver,1127.474830983997,29886,2965,3424,1388,37577,4701,804,4912,4,804,4912,384,321.5,504,65014.83755703815,29074083.3286659,37577,67.022,13.459,-79.90%,22821,145,1973,1881,1163,419,13272,28402,25221,24479.7855,21.71204609,41674,38493,33.328460172547615,21.712046093867492,34.14089515985511,active,24.64318198969267,1160.84,4,726.45,21997.95772758385,13766.252361396304,0.6631582975387573,0.8673451095819473,1.0824746489524841,0.08484885469079018,0.21787337586283684,0.438469834625721,6786.1829879117695,1577.9325696990838,4407.072028882422,1136.1939365857368,15772.71588489004,25204.21158760514
26,PhinneysHarborEelPondBackRiver,1276.510371620226,8683,1631,1622,459,12396,1456,4363,7024,4,4363,7024,80,68.2,508,77219.83010112497,26982346.103947144,12396,29.302,19.245,-34.30%,8466,0,1833,417,2347,558,4293,13620,12903,10702.5555,8.384229175,17913,17196,9.710849418533302,8.384229175056099,13.471100887471657,active,10.091268133794534,175.48000000000002,4,107.36,3325.352005475702,2034.4756741957565,0.6085571199655533,0.6541601419448853,0.7253268510103226,0.10010265186429024,0.20658567175269127,0.38250040262937546,794.4954709329104,251.14155030661317,485.81599939969544,152.55369218825587,900.1308442340228,1471.2645356388443
27,PleasantBay,6012.28155545155,53970,10294,10199,12529,87090,10563,15560,29576,20,15560,29576,1030,740.1999998092999,2560,355306.489502535,204507956.26196972,87090,127.203,81.032,-36.30%,34290,0,7117,4074,33403,2283,14636,81167,78001,46460.89575,7.727664668,95803,92637,14.485349562685133,7.727664667978208,15.407961045337727,active,10.124708944534921,169.32,7,168.26,3208.619794661191,3188.532758384668,0.641350873879024,0.8726232477596828,1.139961336340223,0.08973240266953196,0.24924861533301218,0.5040915523256574,951.5037223142195,341.9491707304265,944.9740065518329,339.9902199313286,1300.2568570340131,1308.44818158207
28,PlymouthDuxbury,19337.51105144037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454.71,420.95,-7.40%,113728,18953,23256,19136,7946,69865,42925,252884,216935,166082.8275,8.588635169,295809,259860,NA,8.588635169138232,13.438130652323226,abandoned,63.37019146161909,6731.24,22,2406.9900000000002,127557.22836413416,45612.542874743325,0.5873353291641582,0.6709658259695227,0.7527064735239203,0.05549166702919386,0.11272090072320266,0.1961643064225262,34067.27496286232,5973.440454994722,11668.202109710628,1791.5235135757823,20672.758965764035,57812.16459591004
