EMBAY_NAME,CropStatus,embFID,bogsurf_area_ha,bogshed_area_ha,embayshed_area_ha,marg_bogshed_area_ha,Q_m3d,marg_Q_m3d,NO3_mgl,TN_mgl,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_Load_kgN_y,NO3_Load_kgN_y,marg_TN_Load_kgN_y,marg_NO3_Load_kgN_y,marg_TN_Load_kgN_y_MEP,TN_Load_kgN_y_MEP
LewisBay,active,16,8.012414978627243,86.65,3534.098850186387,86.66,1642.020465434634,1642.2099657768651,0.42167192697525024,1.0066884756088257,0.9011310935020447,1.0066884756088257,1.1201483011245728,0.3058455288410187,0.42167192697525024,0.537798285484314,603.7593747022302,252.89688431775426,603.8290526450693,252.9260703401798,1199.3335518505544,1199.195156564165
BassRiver,active,3,15.250106544657907,109.25,4779.487101658365,109.26,2070.291238877481,2070.4807392197126,0.22651554644107819,0.9094323515892029,0.6581007242202759,0.9094323515892029,1.2354503870010376,0.06541060656309128,0.22651554644107819,0.5234169960021973,687.68898535157,171.28513850009256,687.7519317117852,171.3008167736395,1818.7201846551484,1818.5537266481324
ScortonHarbor,active,42,1.905552705240083,150.19,2837.174970408337,150.2,2846.1056399726217,2846.295140314853,0.16486790776252747,0.7265406250953674,0.6087200045585632,0.7265406250953674,0.9071187973022461,0.058701805770397186,0.16486790776252747,0.3987894058227539,755.2681031675914,171.38679884922996,755.3183906769574,171.39821018146577,768.4257332519127,768.3745730832542
PopponessetBay,active,31,2.9644390776057343,174.29,5300.363357264758,11.38,3302.8014647501714,215.6513894592745,0.24568191170692444,0.7581225037574768,0.6696259379386902,0.7581225037574768,0.8562044501304626,0.12707361578941345,0.24568191170692444,0.43124428391456604,914.5597443216132,296.37794055907415,59.714785073038946,19.351546064388458,54.19606272016781,830.0379412564188
ButtermilkBay,abandoned,6,4.136231704445447,240.28,2874.470552150678,240.29,4553.314223134839,4553.503723477071,0.12969167530536652,0.6183100938796997,0.5706843137741089,0.6183100938796997,0.685073971748352,0.0509989969432354,0.12969167530536652,0.29748135805130005,1028.3102928773426,215.68996841083796,1028.3530892104907,215.69894502014424,292.81490164171254,292.8027157454355
PocassetHarbor,active,29,15.887798813968685,286.36,1697.049292874472,280.51,5426.531800136893,5315.674099931554,0.04233304411172867,0.6494513750076294,0.5889685153961182,0.6494513750076294,0.7206152677536011,0.020679639652371407,0.04233304411172867,0.08596327155828476,1287.2390839141392,83.90581807766334,1260.9422944152648,82.19172031347027,1468.5933157419188,1499.2206406040993
BarnstableHarbor,active,2,1.0158741342841069,274.03,8771.098471846923,51.4,5192.87787816564,974.0317590691308,0.1300390064716339,0.7869585752487183,0.6588200330734253,0.7869585752487183,0.9169641733169556,0.06478818506002426,0.1300390064716339,0.23785331845283508,1492.6232633453744,246.64480737189427,279.9723962192178,46.263340141281496,388.33029806730514,2070.314233061938
HerringRiverHarwich,active,15,0.8008859950372981,204.59,3865.655609802233,204.6,3876.987501711157,3877.177002053388,0.5096640586853027,1.0879746675491333,0.8038168549537659,1.0879746675491333,1.4462658166885376,0.2237911969423294,0.5096640586853027,0.833023726940155,1540.647944764281,721.7198230383182,1540.7232489308951,721.7550994361401,1214.347468123307,1214.2881158521377
CentervilleRiver,active,7,0.7262383608813231,113.9,2778.93803438895,113.91,2158.408898015058,2158.5983983572896,1.7219140529632568,2.2481725215911865,1.4030433893203735,2.2481725215911865,2.7139933109283447,1.3149616718292236,1.7219140529632568,2.1511237621307373,1772.3667037232278,1357.4861825929522,1772.52231098431,1357.6053648741283,1849.8822424355967,1849.719843854047
BournesPond,active,5,8.73960877813729,349.48,604.4674301358305,349.48,6622.657960301164,6622.657960301164,0.3137483596801758,0.7637391090393066,0.6723121404647827,0.7637391090393066,0.8494621515274048,0.21072643995285034,0.3137483596801758,0.44565021991729736,1847.4282505989745,758.9340082130242,1847.4282505989745,758.9340082130242,3157.04548559577,3157.04548559577
GreenPond,active,12,23.8304905979942,382.32,641.4920314206738,382.33,7244.977084188912,7245.166584531144,0.21730023622512817,0.7583640217781067,0.6764546036720276,0.7583640217781067,0.833292543888092,0.14885225892066956,0.21730023622512817,0.3028472661972046,2006.8040176181535,575.0259434295202,2006.8565077839207,575.0409838653705,4867.535579179089,4867.408266763658
ParkersRiver,active,25,11.681368824152042,505.49,1127.474830983997,72.28,9579.052799452431,1369.7084736481863,0.14664213359355927,0.7909979820251465,0.6535117030143738,0.7909979820251465,0.9374058246612549,0.07308787107467651,0.14664213359355927,0.26288333535194397,2767.503426297429,513.0640234008066,395.72523225539214,73.36300937983007,1569.3466916647424,10975.22217998908
ThreeBays,active,48,5.423737639190119,534.35,5028.320334781984,45.37,10125.950787132102,859.7630527036277,0.5456362366676331,0.9458001852035522,0.7958335876464844,0.9458001852035522,1.1232798099517822,0.32212501764297485,0.5456362366676331,0.728559136390686,3498.0453189209916,2018.0375446829753,297.0081708981854,171.34530439275116,430.9309207925493,5075.33474819261
SaquatucketHarbor,active,41,7.086972362243135,535.23,713.251205491812,80.94,10142.62681724846,1533.815770020534,0.6960873007774353,1.1150740385055542,1.0129413604736328,1.1150740385055542,1.2258609533309937,0.5884661078453064,0.6960873007774353,0.813434898853302,4130.897088811392,2578.7211476951306,624.6937024613609,389.9663503436727,714.6999282721184,4726.079103151544
