DERname,bogFID,OBJECTID,embFID,CropStatus,TOWN,EMBAY_NAME,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,bogsurf_area_m2,bogsurf_perim_m2,marg_bogshed_area_m2,ZS_MAX_FA_D8_gwelid0,bog_count,NO3_mgl,TN_mgl,bogshed_area_m2,bogshed_area_ha,bogsurf_area_ha,marg_bogshed_area_ha,Q_m3y,marg_Q_m3y,Q_m3d,marg_Q_m3d,NO3_Load_kgN_y,NO3_Loading_Rate_kgN_ha_y,TN_Load_kgN_y,TN_Loading_Rate_kgN_ha_y,HLR_md,marg_NO3_Load_kgN_y,marg_NO3_Loading_Rate_kgN_ha_y,marg_TN_Load_kgN_y,marg_TN_Loading_Rate_kgN_ha_y,marg_HLR_md,LR_kghay_CCC,LR_kghay_MEP,LR_kghay_MEP_Buildout,TN_Load_kgN_y_CCC,TN_Load_kgN_y_MEP,TN_load_kgN_y_MEP_Buildout,marg_TN_Load_kgN_y_CCC,marg_TN_Load_kgN_y_MEP,marg_TN_load_kgN_y_MEP_Buildout,TN_load_kgN_y_FERT
MM-L1,425,63,48,active,Barnstable,ThreeBays,0.28945690393447876,0.5146692395210266,0.753515362739563,0.7573065161705017,0.9089246988296509,1.1392320394515991,13287.663200585297,13287.663200585297,23700,236,1,0.5146692395210266,0.9089246988296509,23600,2.36,1.3287663200585298,2.37,16334.740000000002,16403.955,44.722080766598225,44.91158110882957,8.406988213573696,6.326912480144276,14.847048634960652,11.173558819813152,0.003365684401500205,8.442611044987142,6.353721431331327,14.909959857990147,11.2209044080327,0.003379945776082833,17.16915276913104,9.498146810503622,12.932549175552776,40.519200535149245,22.415626472788546,30.52081605430455,40.69089206284056,22.510607940893586,30.65014154606008,14.6362281388127
MM-L2,153,124,2,active,Barnstable,BarnstableHarbor,0.057502079755067825,0.14163663983345032,0.3062950670719147,0.6419066190719604,0.7855302691459656,0.9506165981292725,2918.761814444363,2918.761814444363,87400,873,1,0.14163663983345032,0.7855302691459656,87300,8.73,0.29187618144443633,8.74,60424.695,60493.91,165.43379876796715,165.6232991101985,8.558350762761087,29.321853946449263,47.46542692641288,162.62178945714604,0.056679444670431366,8.56815414278716,29.3554414080145,47.51979740399182,162.8080687119652,0.056744369578415825,11.134979308861249,7.5550641647335635,9.411249943773365,97.20836936635871,65.955710158124,82.16021200914147,97.31971915944732,66.03126079977135,82.25432450857922,3.2149869509923215
MM-L2,153,128,2,active,Barnstable,BarnstableHarbor,0.05871407687664032,0.1303890347480774,0.2589387595653534,0.6496774554252625,0.7878048419952393,0.9356704950332642,25481.04047812061,25481.04047812061,1983899.9999999998,21052,1,0.1303890347480774,0.7878048419952393,2105200,210.52,2.548104047812061,198.39,1457114.1800000002,1373156.385,3989.3612046543467,3759.4972895277206,189.9917114479363,74.56199114438571,1147.9216063439226,450.50028758817353,0.15656194291123343,179.04453559830932,70.26578673349175,1081.7792489196788,424.5428085436906,0.14754096453619417,11.134979308861249,7.5550641647335635,9.411249943773365,2344.1358441014704,1590.4921079597098,1981.256338163169,2209.068545084983,1498.8491796414914,1867.0978763451978,28.067111276245072
BSB,136,59,41,active,Harwich,SaquatucketHarbor,0.5884661078453064,0.6960873007774353,0.813434898853302,1.0129413604736328,1.1150740385055542,1.2258609533309937,70869.72362243135,70869.72362243135,809400,53523,1,0.6960873007774353,1.1150740385055542,5352300,535.23,7.086972362243135,80.94,3704594.445,560226.2100000001,10142.62681724846,1533.815770020534,2578.7211476951306,363.867814898452,4130.897088811392,582.8860164347952,0.1431165002319575,389.9663503436727,55.02580374396188,624.6937024613609,88.14676712858461,0.02164275083379975,17.67119340696956,8.829996642848016,10.833490277344795,9458.15284721232,4726.079103151544,5798.409001143255,1430.3063943601162,714.6999282721184,876.8627030482877,78.06229187287191
BSB,136,66,41,active,Harwich,SaquatucketHarbor,0.40806883573532104,0.6155864596366882,0.8484461307525635,0.8688439130783081,1.0658775568008423,1.296900749206543,70401.71905291747,70401.71905291747,4474400,45429,1,0.6155864596366882,1.0658775568008423,4542900,454.29,7.040171905291747,447.44,3144368.235,3096955.96,8608.811047227926,8479.003312799452,1935.630509577712,274.9408019600764,3351.5115320039763,476.05535448428634,0.12228126192141858,1906.4441550671409,270.79511419801577,3300.975852164607,468.87716615036453,0.1204374470803221,17.67119340696956,8.829996642848016,10.833490277344795,8027.846452852202,4011.3791748794256,4921.546298094967,7906.79877801446,3950.893697875916,4847.336889695155,77.54678951959808
ChR,244,9,49,active,Falmouth,WaquoitBay,0.23865920305252075,0.3807862401008606,0.5853561758995056,0.6796244978904724,0.7705767154693604,0.8687584400177002,34594.79221965107,34594.79221965107,1429900,19860,1,0.3807862401008606,0.7705767154693604,1986000,198.6,3.459479221965107,142.99,1374609.9000000001,989705.285,3763.4767967145795,2709.6653935660506,523.43253542642,151.3038529334169,1059.242381793666,306.18550187215135,0.10878737969632293,376.8661542831007,108.93725040759959,762.6438477979673,220.4504779088566,0.07832581783875738,12.046572196333033,5.966888345830565,10.80119340961564,2392.4492381917403,1185.0240254819503,2145.1170111496663,1722.5393583536604,853.2053645703126,1544.4626456409405,38.10581768202346
IBB,109,618,-1,active,Plymouth,NA,0.032605938613414764,0.08673053979873657,0.22589081525802612,0.5232453942298889,0.601256251335144,0.6633704304695129,27629.306018535393,27629.306018535393,180900,1808,1,0.08673053979873657,0.601256251335144,180800,18.08,2.7629306018535393,18.09,125140.72,125209.935,342.6166187542779,342.80611909650924,10.85352219640255,3.9282644989784963,75.24164019658089,27.232547985861206,0.01240047862673171,10.85952525071472,3.930437211643861,75.28325614801705,27.247610235853383,0.012407337298538528,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.433404286356545
IBB,109,630,-1,active,Plymouth,NA,0.033246830105781555,0.08797601610422134,0.22718366980552673,0.5198200941085815,0.5977801084518433,0.6633704304695129,149191.8229699304,149191.8229699304,2994500,36452,1,0.08797601610422134,0.5977801084518433,3645200,364.52,14.91918229699304,299.45,2523025.18,2072643.175,6907.666475017112,5674.587748117728,221.96570386703598,14.877873294153204,1508.2142657271313,101.09228747952974,0.04630057021563006,182.34288934210446,12.222043119538506,1238.9848619334728,83.0464322554186,0.038035514515171794,NA,NA,NA,NA,NA,NA,NA,NA,NA,164.33330108314863
IBB,109,655,-1,active,Plymouth,NA,0.033062636852264404,0.08611773699522018,0.219418004155159,0.5162957906723022,0.5937488675117493,0.656901478767395,1969.3732740336122,1969.3732740336122,2200,21,1,0.08611773699522018,0.5937488675117493,2100,0.21,0.19693732740336123,0.22,1453.515,1522.7300000000002,3.9795071868583163,4.169007529089665,0.12517342248860747,0.6356002904021895,0.8630228851613403,4.382220966133668,0.0020206972641136777,0.13113406165473165,0.665866970897532,0.9041192130261662,4.590898154997178,0.002116920943357186,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1692449676152834
IBB,109,661,-1,active,Plymouth,NA,0.033167850226163864,0.08612880110740662,0.21900655329227448,0.5150488018989563,0.593741238117218,0.6577497124671936,179950.02294087457,179950.02294087457,945800,46233,1,0.08612880110740662,0.593741238117218,4623300,462.33,17.995002294087456,94.58,3200017.095,654635.47,8761.169322381931,1792.294236824093,275.61363591555613,15.316121188054161,1899.9821119815635,105.58387717493278,0.04868668077503137,56.38296819348365,3.13325707171536,388.68407447324694,21.59955681700331,0.009959955589519318,NA,NA,NA,NA,NA,NA,NA,NA,NA,198.21315076914388
IBB,109,662,-1,active,Plymouth,NA,0.032754238694906235,0.08470332622528076,0.2148532271385193,0.5147926807403564,0.5922093391418457,0.6541523933410645,2361.2203090489647,2361.2203090489647,3400800,34007,1,0.08470332622528076,0.5922093391418457,3400700,340.07,0.23612203090489647,340.08,2353794.5050000004,2353863.72,6444.338138261465,6444.527638603697,199.3742238242883,844.3694265216226,1393.9390882817581,5903.468994145654,2.729240517525901,199.38008656501296,844.3942558046091,1393.9800780511666,5903.642589846366,2.7293207727826876,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.600860558214344
TdmE,497,771,-1,abandoned,Plymouth,NA,0.01773732714354992,0.041781168431043625,0.10214823484420776,0.5071138143539429,0.5826595425605774,0.6366073489189148,11392.397059325554,11392.397059325554,3800,37,1,0.041781168431043625,0.5826595425605774,3700,0.37,1.1392397059325554,0.38,2560.9550000000004,2630.17,7.011512662559891,7.201013004791239,0.10699969219932334,0.09392201802844982,1.4921648688182239,1.3097900828489577,6.154554327809728e-4,0.10989157577227801,0.09646045094813764,1.532493649056554,1.345189814817848,6.320893633966747e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
TdmE,497,772,-1,abandoned,Plymouth,NA,0.01664266735315323,0.03737129271030426,0.08613578230142593,0.5007404088973999,0.57778400182724,0.6305590271949768,559316.9237478677,559316.9237478677,10469300,132457,1,0.03737129271030426,0.57778400182724,13245700,1324.57,55.93169237478677,1046.93,9168011.255,7246325.995,25100.646830937716,19839.359329226558,342.6204321819689,6.125693996279244,5297.130231711078,94.70713305465705,0.044877324045093155,270.80456983343174,4.841701696040699,4186.811231935857,74.85579381151022,0.035470693781777765,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
FhP,716,779,-1,active,Plymouth,NA,0.01797381415963173,0.04372163116931915,0.11116629093885422,0.5091774463653564,0.5835731029510498,0.6395308971405029,152547.8112273897,152547.8112273897,424900,4372,1,0.04372163116931915,0.5835731029510498,437200,43.72,15.25478112273897,42.49,302607.98000000004,294094.535,828.4954962354552,805.1869541409993,13.230514490452707,0.8673028071658881,176.59387786634923,11.576297060278115,0.005431054628509152,12.858292788182421,0.8429024765891715,171.6256603508961,11.250614411967453,0.0052782596332423114,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.02988858885746
HB,360,710,28,active,Plymouth,PlymouthDuxbury,0.02207222208380699,0.053008005023002625,0.12833435833454132,0.5348321795463562,0.5979628562927246,0.6459285616874695,20899.352650872894,20899.352650872894,1063300,10632,1,0.053008005023002625,0.5979628562927246,1063200,106.32,2.0899352650872896,106.33,735893.88,735963.095,2014.7676386036962,2014.9571389459275,39.00826648743689,18.664820455961657,440.0372064131355,210.5506394212438,0.09640335144636866,39.01193543650456,18.666575988359696,440.07859441223377,210.5704429050118,0.09641241872923607,NA,8.588635169138232,13.438130652323226,NA,913.1436911827768,1428.7420509550052,NA,913.2295775344683,1428.8764322615286,23.02042795140999
HB,360,726,28,active,Plymouth,PlymouthDuxbury,0.018104039132595062,0.04191188886761665,0.09822244942188263,0.5267685055732727,0.5914322137832642,0.6389169096946716,56291.25833056513,56291.25833056513,214500,12777,1,0.04191188886761665,0.5914322137832642,1277700,127.77,5.629125833056513,21.45,884360.055,148466.17500000002,2421.2458726899386,406.4782340862423,37.065200344119354,6.584539312739723,523.0390251101393,92.91656300142408,0.04301282196378343,6.222497827200126,1.1054110374756756,87.80767855218353,15.598812525479744,0.007220983259944858,NA,8.588635169138232,13.438130652323226,NA,1097.369915560792,1716.9899534473384,NA,184.22622437801508,288.2479024923332,62.004258138534176
HB,360,727,28,active,Plymouth,PlymouthDuxbury,0.017768805846571922,0.04117831587791443,0.09663552045822144,0.5223219394683838,0.589780330657959,0.6366539597511292,3004.1729291113556,3004.1729291113556,12800,12905,1,0.04117831587791443,0.589780330657959,1290500,129.05,0.30041729291113556,1.28,893219.5750000001,8859.52,2445.501916495551,24.256043805612595,36.78127780768648,122.43395661835787,526.8033362936616,1753.5719438411015,0.8140350020459504,0.3648201130867005,1.2143778726966143,5.225170635070801,17.39304213960953,0.008074117029204311,NA,8.588635169138232,13.438130652323226,NA,1108.363368577289,1734.1907606823124,NA,10.993453016496938,17.20080723497373,3.309066439686867
ER-1,492,768,28,abandoned,Plymouth,PlymouthDuxbury,0.01245454978197813,0.02353678084909916,0.04416166990995407,0.5135721564292908,0.5840720534324646,0.627448558807373,52900.370955658655,52900.370955658655,524400,17641,1,0.02353678084909916,0.5840720534324646,1764100,176.41,5.290037095565865,52.44,1221021.8150000002,362963.46,3342.975537303217,993.739794661191,28.7389228716243,5.432650537689689,713.1647187728851,134.8128010993842,0.06319380142164438,8.54299141425077,1.6149208899520848,211.99681340315226,40.07473096565788,0.01878511958818112,NA,8.588635169138232,13.438130652323226,NA,1515.1211301876756,2370.6206283763404,NA,450.38802826960887,704.6955714078299,0
ER-1,492,774,28,abandoned,Plymouth,PlymouthDuxbury,0.011697701178491116,0.021182209253311157,0.03826447203755379,0.5071059465408325,0.57935333251953125,0.62301105260849,10283.574414362696,10283.574414362696,439200,22033,1,0.021182209253311157,0.57935333251953125,2203300,220.33,1.0283574414362697,43.92,1525014.0950000002,303992.28,4175.2610403833,832.2855030800822,32.30316767453895,31.412392591259202,883.5219980775071,859.1584622984045,0.40601262480795236,6.439228086351157,6.261663335034285,176.11894047821045,171.26237763421196,0.08093348378144269,NA,8.588635169138232,13.438130652323226,NA,1892.3339868162268,2960.8233266263765,NA,377.21285662855115,590.2026982500361,0
ER-2,493,169,-1,active,Dennis,NA,0.08509448170661926,0.250497043132782,0.5559864640235901,0.6465567350387573,0.8182185292243958,1.132105827331543,19236.694521060628,19236.694521060628,68000,679,1,0.250497043132782,0.8182185292243958,67900,6.79,1.9236694521060629,6.8,46996.98500000001,47066.2,128.67073237508558,128.8602327173169,11.772605778655711,6.119869380764394,38.45380394468099,19.98981888628588,0.006688817157969364,11.789943931496142,6.128882443180833,38.51043694018125,20.019258973010896,0.006698668140528964,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.18902664800307
PB,37,784,28,active,Plymouth,PlymouthDuxbury,0.02745812200009823,0.059296440333127975,0.12670916318893433,0.5882634520530701,0.6280380487442017,0.6729723215103149,59763.53436150552,59763.53436150552,361800,3617,1,0.059296440333127975,0.6280380487442017,361700,36.17,5.976353436150552,36.18,250350.655,250419.87,685.4227378507871,685.6122381930185,14.844902676567006,2.483939886615676,157.2297368680328,26.30864097109132,0.011468912358909567,14.849006879684664,2.484626626976919,157.27320652157664,26.3159145793222,0.011472083194507826,NA,8.588635169138232,13.438130652323226,NA,310.65093406772985,486.0571856945311,NA,310.73682041942124,486.1915670010543,65.8289354638547
SM,420,685,-1,active,Carver,NA,0.05390434339642525,0.12544049322605133,0.25992831587791443,0.612571120262146,0.6770724654197693,0.8051437735557556,81868.26166407803,81868.26166407803,432400,4323,1,0.12544049322605133,0.6770724654197693,432300,43.23,8.186826166407803,43.24,299216.445,299285.66000000003,819.2099794661192,819.3994798083505,37.533858442145664,4.584665373274279,202.5912161102888,24.74600192948537,0.01000644160282165,37.5425408058843,4.585725901928749,202.63807968098286,24.75172619548803,0.010008756301318717,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.1770715403653
SM,420,701,-1,active,Carver,NA,0.0545707568526268,0.12705162167549133,0.2621864676475525,0.6146385073661804,0.6796562075614929,0.8094351887702942,45132.11248874177,45132.11248874177,750500,44477,1,0.12705162167549133,0.6796562075614929,4447700,444.77,4.5132112488741765,75.05,3078475.5549999997,519458.57500000007,8428.406721423682,1422.2000684462698,391.1253115511082,86.66230982400273,2092.305020782062,463.5956318915914,0.18674966130881096,65.99805434698986,14.623302723410768,353.05324506979736,78.2266163937854,0.03151193219242814,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.712570585224164
