embFID,EMBAY_NAME,embayshed_area_ha,Nload_Sept,Nload_Fert,Nload_Stor,Nload_Atmo,Nload_Tota,Nload_Parc,Septic_Tar,Total_Targ,MEP_Source,MEP_Sept_T,MEP_Total_,MEP_Septic,MEP_Tota_1,EMBAY_ID,Shape_Leng,Shape_Area,CCC_Nload_Total,MEP_WAL_kgd,MEP_thresh_kgd,MEP_reduction_pct,septic_kgy,wwtf_kgy,fertilizer_kgy,impervious_kgy,water_kgy,natural_kgy,buildout_kgy,unatten_plus_estuary_kgy,atten_plus_estuary_kgy,atten_kgy,loading_rate_kghay,unatten_plus_buildout_kgy,atten_plus_buildout_kgy,LR_kghay_CCC,LR_kghay_MEP,LR_kghay_MEP_Buildout,bogsurf_area_ha,bogshed_area_ha,bog_count,marg_bogshed_area_ha,Q_m3d,marg_Q_m3d,TN_mgl_p25,TN_mgl_p50,TN_mgl_p75,NO3_mgl_p25,NO3_mgl_p50,NO3_mgl_p75,TN_Load_kgN_y,NO3_Load_kgN_y,NO3_removal_kgN_y_walton2020_a,NO3_removal_kgN_y_walton2020_b,NO3_removal_kgN_y_land2016_a,marg_TN_Load_kgN_y,marg_NO3_Load_kgN_y,marg_NO3_removal_kgN_y_walton2020_a,marg_NO3_removal_kgN_y_walton2020_b,marg_NO3_removal_kgN_y_land2016_a,marg_TN_removal_kgN_y_1,marg_TN_removal_kgN_y_2,marg_TN_removal_kgN_y_3,marg_TN_removal_kgN_y_1_MEP,marg_TN_removal_kgN_y_2_MEP,marg_TN_removal_kgN_y_3_MEP,TN_removal_kgN_y_1,TN_removal_kgN_y_2,TN_removal_kgN_y_3,TN_removal_kgN_y_1_MEP,TN_removal_kgN_y_2_MEP,TN_removal_kgN_y_3_MEP,marg_TN_Load_kgN_y_MEP,TN_Load_kgN_y_MEP
26,PhinneysHarborEelPondBackRiver,1276.510371620226,8683,1631,1622,459,12396,1456,4363,7024,4,4363,7024,80,68.2,508,77219.83010112499,26982346.103947144,12396,29.302,19.245,-34.30%,8466,0,1833,417,2347,558,4293,13620,12903,10702.5555,8.384229175,17913,17196,9.710849418533302,8.384229175056099,13.471100887471657,10.091268133794534,175.48,4,107.36,3325.352005475702,2034.4756741957565,0.6085571199655533,0.6541601419448853,0.7253268510103226,0.10010265186429024,0.20658567175269127,0.38250040262937546,794.4954709329105,251.14155030661317,174.5271868238633,148.70349017506825,96.23489476592336,485.81599939969544,152.55369218825587,113.11035167210619,92.15602708561227,58.810772699105144,228.2263564806388,243.81724795124282,391.2782032139802,422.8576909940028,416.61358440581125,674.5355099384117,371.8549735636673,440.31176436549475,565.7571265960332,688.6063065190774,401.49265378625216,646.7870592994169,900.1308442340228,1471.2645356388443
27,PleasantBay,6012.28155545155,53970,10294,10199,12529,87090,10563,15560,29576,20,15560,29576,1030,740.1999998093,2560,355306.489502535,204507956.2619697,87090,127.203,81.032,-36.30%,34290,0,7117,4074,33403,2283,14636,81167,78001,46460.89575,7.727664668,95803,92637,14.485349562685133,7.727664667978208,15.407961045337727,10.124708944534921,169.32,7,168.26,3208.619794661191,3188.532758384668,0.641350873879024,0.8726232477596828,1.139961336340223,0.08973240266953196,0.24924861533301218,0.5040915523256574,951.5037223142195,341.9491707304265,222.43572821295712,199.2986110834649,130.41212943650322,944.9740065518329,339.99021993132857,221.02310499532985,198.14808609654443,129.66317577924931,441.4758419345764,434.881126804066,670.3942574489533,607.2685223752211,558.9506964189236,879.2540137133183,444.5518200931671,438.59196644283566,674.2525043861508,611.1271223069753,558.2221341591477,877.9170276235417,1300.2568570340134,1308.44818158207
28,PlymouthDuxbury,19337.51105144037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,454.71,420.95,-7.40%,113728,18953,23256,19136,7946,69865,42925,252884,216935,166082.8275,8.588635169,295809,259860,NA,8.588635169138232,13.438130652323226,417.6645859083145,15497.53,127,7346.45,293678.72387405887,139215.47891854894,0.6200936295854764,0.7084964837614945,0.8025483409250815,0.06325180725905839,0.12935508262571388,0.22111829865987845,78857.03718785729,14129.591157927382,6292.6728225622355,5309.769403506284,3891.0188013567686,37301.340532456685,6753.383723846771,3627.2101687887503,3187.051618950219,2331.3144828113063,17578.459111677006,11276.431672328295,18641.45322516961,29754.771025529975,19100.359442877067,29121.046563343527,36911.08124813525,26857.6822854043,23221.758086644117,62339.877582162306,16425.809137484634,24212.973839651953,63095.97883831557,133102.63119277483
31,PopponessetBay,5300.363357264758,49047,6738,9433,11217,76652,10069,7403,13851,7,7403,13851,317.5,242.2,917,125930.58519774769,128788471.02538018,76652,69.11,37.95,-45.10%,32300,227,3765,2668,7584,1971,9394,48513,31885,25242.4275,4.76239567,57907,41279,14.461650047998996,4.762395669610528,7.787956639505174,18.59137678015444,459.87,14,284,8714.552238193019,5381.809719370294,0.6653566828795842,0.7571646315710885,0.8568448509488787,0.10897133552602359,0.20036014169454575,0.3485798771892275,2383.5216929796693,776.1503947751038,445.24259167087416,405.53413064014967,285.86231974116987,1462.0898016222447,486.00886451513304,272.18376485125276,242.733782335777,176.45217134463223,674.5559867911734,583.0818826325799,875.383853810846,623.9488715731762,565.4774352305596,817.2811169244915,1110.5448043449962,1175.824314947652,1381.4726128055586,1020.2480961865577,548.1145923431618,785.4185285074544,1352.52037016939,2190.082896583793
40,SandwichHarbor,2768.844439174077,12545,3770,2081,1108,19676,1954,30312,34947,3,30312,34947,-600,-403.4,420,73043.26713518742,49785570.19922805,19676,40.381,95.745,137.10%,10552,242,2121,1290,564,1246,4092,16016,15072,14749.16025,5.326828781,20108,19164,7.1062135964089,5.326828781467966,6.92129891042794,3.6769419409428092,18.43,2,18.45,349.24913073237514,349.6281314168378,0.5511665046215057,0.620042085647583,0.6882942616939545,0.051383085548877716,0.11466485634446144,0.23833855986595154,78.59278428990365,14.438677967610584,13.661352734202012,8.937870217675252,5.6073958675666065,78.67861671581984,14.454551023674346,13.67667994138481,8.94767210911875,5.613555822106482,37.08703259262342,48.596204940663185,77.59236870057046,46.329468756278935,58.70002826028133,94.9199317650486,37.04716090616955,48.532151037626654,77.51731534599391,46.27997170702265,58.70967665814815,94.93763755966462,98.27999101808396,98.17345444245461
41,SaquatucketHarbor,713.251205491812,9245,1688,1228,443,12604,1425,1927,3386,1,1927,3386,60.1,46.2,141,20383.23899222968,14016508.21427562,12604,17.243,9.277,-46.20%,8039,0,2254,679,181,273,1378,10583,6349,6298.00575,8.829996643,11961,7727,17.67119340696956,8.829996642848016,10.833490277344795,14.127144267534883,989.52,2,528.38,18751.437864476386,10012.819082819986,0.9408926367759705,1.0904757976531982,1.2613808512687683,0.4982674717903137,0.6558368802070618,0.8309405148029327,7482.408620815368,4514.351657272842,2037.7637005452984,2027.9081785784206,1592.077890639871,3925.669554625968,2296.4105054108136,1065.9634907082295,1133.3091039603316,832.6126644237555,1904.3998783457603,1215.8586376547576,2150.7431707356964,2263.345441704181,1500.1511003975036,2475.2976558170703,3630.0865120075023,2973.4498480197044,3621.08716158544,4238.9645255258765,1372.6202536442543,2241.2655386731476,4665.593626148035,8737.458278030968
42,ScortonHarbor,2837.174970408337,18590,3090,3236,2058,26974,3108,53794,57696,3,53794,57696,-568.9,-970.5999999999999,426,70954.2719615117,56209921.26268603,26974,39.74,158.071,297.80%,13325,98,2370,1480,977,1086,6166,19239,14650,14515.035,5.116016866,25405,20816,9.507344552711109,5.116016865858274,7.33687566579797,28.74498024700958,549.11,9,510.78,10405.653292265572,9679.298480492815,0.6007314390606351,0.6981016000111898,0.8500401907496982,0.0552274597187837,0.1437493008044031,0.3325739900271098,2657.5986172842463,553.351419946582,376.4881560145717,325.52952021428626,211.62040010026828,2473.3283043784963,514.7234444401547,351.73549112434875,303.75914611565105,197.0316702158944,1166.9056409901054,1046.9180296537347,1606.781821518448,1233.9568692855842,1110.4650805864553,1694.2674818746814,1252.6110999446528,1141.4255151121602,1689.4300336886765,1325.1628725364105,1097.0010636657594,1669.5596369459267,2613.159094743089,2809.2560212114367
44,StageHarbor,1021.107236328206,8891,1276,1774,642,12585,2070,1711,3764,6,1711,3764,458,384,864,57984.01354044117,21050422.108269375,12585,28.877,10.39,-64.00%,8346,0,836,712,3095,574,2814,13590,13357,10547.32425,10.32930125,16404,16171,12.32485634442699,10.329301247464533,15.83673038901302,1.7764690145664936,1.04,1,1.05,19.708035592060234,19.897535934291582,0.5909863114356995,0.8421527743339539,1.1268399953842163,0.0645769014954567,0.2186722308397293,0.49795499444007874,6.06211884465456,1.574081439587474,1.5583406251915992,0.9775509757137734,0.6119031480691595,6.1204084489300845,1.589216838045046,1.5733246696645955,0.9869420956092352,0.6177852531363475,2.8574353167868694,4.866629768099667,8.099092954784705,5.063563314432912,8.053377027114431,13.789984886975255,2.830221647103185,4.8150342788992315,8.031586845416944,5.015338901914504,8.062763805998527,13.807210584062153,10.84576630983776,10.742473297363116
45,SulfurSpringsBucksCreek,464.5006660003036,8371,966,1322,841,11708,1738,4019,6242,3,4019,6242,106,92,435,56000.8622425107,14862237.207714282,11708,24.523,10.44,-57.40%,5345,1170,670,387,340,203,1685,8115,7983,8957.02575,19.2831279,9800,9668,25.205561276832157,19.283127895438035,20.813748413427852,7.1256375696774095,21.39,2,21.41,405.34123203285424,405.72023271731695,0.6580121219158173,0.9387494325637817,1.273838460445404,0.08810988068580627,0.2964518964290619,0.6105875670909882,140.004980529913,45.36679073305429,40.24597822945272,27.998287904668977,17.60264013384588,140.13493161386282,45.40782856907696,40.284208591790936,28.023539560790017,17.618548959141215,67.3138343612519,84.63447334173081,142.20608688386736,198.30382312418305,209.04267098084392,378.66665112102476,67.2522529021069,84.53718797888466,142.08490802304516,198.12109212588743,209.07760082272415,378.7307509451446,412.85176824132833,412.4661056834196
48,ThreeBays,5028.320334781984,61552,9451,8256,6062,86332,8463,14486,25643,7,14486,25643,400.2,322.8,1036,178970.31786832286,107023118.79229394,86332,130.759,70.254,-46.30%,53584,39,7920,2828,8555,1641,10372,74567,54657,47759.72475,9.498146811,84939,65029,17.16915276913104,9.498146810503622,12.932549175552776,71.89264054663433,2337.08,24,884.01,44287.745982203975,16752.01975359343,0.6312958473960558,0.7755621075630188,0.9503991603851318,0.1361105159545938,0.2670214244474967,0.4529930890227358,13567.859039043362,6146.490262955499,3132.010169388475,3036.1247332656662,2228.1234481651654,4818.593409789991,1816.5483414379714,1049.569428739478,1054.4076659027874,691.8706137328054,2301.0437087260775,1960.4890356929836,3532.7055945966654,4006.973476975473,3473.0729187440984,5762.448522485605,6519.534800700471,6741.28410119926,7452.371778347682,10657.606279664727,3046.5785698397713,4979.787872414646,8396.456761953306,22197.928947891804
