 ,HUC8,Fig2a_WetlandDensity,Fig2b_PercentNRemoval,Fig2c_NSurplus,Fig2d_EstNRemoval,,,,
228,3070104,0.168376922,0.442553734,12.075275,2.622283063,,,,
229,3070105,0.125517415,0.399123582,7.148762,1.369307748,,,,
230,3070106,0.331213767,0.502624618,6.16633,1.490686899,,,,
231,3070107,0.133325589,0.399522844,10.717025,2.092159769,,,,
232,3070201,0.263495958,0.475055691,14.097769,3.341374916,,,,
233,3070202,0.278071397,0.490929823,19.263115,4.614884397,,,,
234,3070203,0.342260653,0.493976213,2.464838,0.619875084,,,,
235,3070204,0.499843465,0.499104785,8.162586,2.016577298,,,,
236,3070205,0.348980543,0.483596051,2.793104,0.678065626,,,,
237,3080101,0.291095253,0.486344187,15.512243,3.715442191,,,,
238,3080102,0.152778303,0.435750715,12.739371,2.693934319,,,,
239,3080103,0.261921655,0.486300374,7.7805,1.854626435,,,,
240,3080201,0.213636434,0.463442887,6.00586,1.383397846,,,,
241,3080202,0.136429264,0.403608688,2.856664,0.580854804,,,,
242,3080203,0.12608127,0.390844308,20.970785,4.027498002,,,,
243,3090101,0.217749945,0.470167268,16.392189,3.779893351,,,,
244,3090102,0.12148366,0.386129634,46.792588,8.99932653,,,,
245,3090103,0.204287102,0.465267393,20.369679,4.656008808,,,,
246,3090201,0.164283569,0.443179253,2.752328,0.622950485,,,,
247,3090202,0.614319112,0.525840979,12.306259,3.176513095,,,,
248,3090203,0.130266046,0.423548362,0.928044,0.192309606,,,,
249,3090204,0.521190935,0.494293207,8.181992,2.038557394,,,,
250,3090205,0.166970444,0.434678105,19.667847,4.217479998,,,,
251,3090206,0.171014588,0.457118492,18.116485,4.088428003,,,,
252,3100101,0.200411219,0.452539156,25.140727,5.735218724,,,,
253,3100102,0.252735016,0.475801465,31.692012,7.424121903,,,,
254,3100103,0.266356119,0.495874143,3.479362,0.854127728,,,,
255,3100201,0.121785191,0.396777003,10.005754,1.914364584,,,,
256,3100202,0.170750778,0.441101627,39.467464,8.389037446,,,,
257,3100203,0.159977344,0.431838723,61.513485,13.01963422,,,,
258,3100204,0.227891183,0.471837157,27.767983,6.432579915,,,,
259,3100205,0.227630069,0.462502964,27.191354,6.302931964,,,,
260,3100206,0.154515223,0.41545818,10.255298,2.12175577,,,,
261,3100207,0.156563837,0.428146631,10.669202,2.24561118,,,,
262,3100208,0.225104523,0.477098125,12.807532,3.008541875,,,,
263,3110101,0.2431382,0.471750982,9.590509,2.231180265,,,,
264,3110102,0.415207012,0.494632586,2.869262,0.714962761,,,,
265,3110103,0.31698279,0.493334154,7.865087,1.929098075,,,,
266,3110201,0.559014357,0.495941997,4.645305,1.138068342,,,,
267,3110202,0.275112351,0.471025457,16.626608,3.919505893,,,,
268,3110203,0.175195377,0.435797427,25.647467,5.586153831,,,,
269,3110204,0.168718338,0.439461825,31.164196,6.876107834,,,,
270,3110205,0.1525308,0.423193273,23.866243,5.173755952,,,,
271,3110206,0.164998445,0.435074289,14.908689,3.155562235,,,,
272,3120001,0.249540917,0.482849249,6.393796,1.480760623,,,,
273,3120002,0.14331376,0.413626813,22.347731,4.48522477,,,,
274,3120003,0.344807697,0.501497791,5.507954,1.356293486,,,,
275,3130001,0.020247345,0.086956534,11.971917,0.507954794,,,,
276,3130002,0.061117022,0.257880742,6.385796,0.79254651,,,,
277,3130003,0.090486709,0.334262538,4.266438,0.702786664,,,,
278,3130004,0.142350462,0.413624563,19.462811,3.974148397,,,,
279,3130005,0.086712409,0.330646886,8.513912,1.377202677,,,,
280,3130006,0.122488194,0.383697619,15.491694,2.97217728,,,,
281,3130007,0.118115819,0.384082146,12.647059,2.381449446,,,,
282,3130008,0.093018512,0.33858057,26.929484,4.449430817,,,,
283,3130009,0.166284338,0.432530903,15.772006,3.379680041,,,,
284,3130010,0.152282574,0.419965394,24.67875,5.291681812,,,,
285,3130011,0.518313002,0.499110198,5.718535,1.420165347,,,,
286,3130012,0.225262229,0.478452523,16.82068,3.866121627,,,,
287,3130013,0.637723116,0.509852214,2.303292,0.572336289,,,,
288,3130014,0.102808125,0.369637836,0.431709,0.078617255,,,,
289,3140101,0.279138206,0.493273607,2.599377,0.620567786,,,,
290,3140102,0.099387574,0.363209572,3.076956,0.549022599,,,,
291,3140103,0.14948197,0.419303415,12.425099,2.577296711,,,,
292,3140104,0.146847382,0.42141453,7.049541,1.471191702,,,,
293,3140105,0.132395085,0.412121273,3.167176,0.642563117,,,,
294,3140106,0.269149266,0.481313018,15.889221,3.657307848,,,,
295,3140107,0.136144837,0.4085002,3.210948,0.655933696,,,,
296,3140201,0.10124437,0.351882947,19.527054,3.456088139,,,,
297,3140202,0.132588612,0.398834746,11.412023,2.296658014,,,,
298,3140203,0.287401864,0.480888285,10.31203,2.472649147,,,,
299,3140301,0.099728193,0.355150068,16.254065,2.834401483,,,,
300,3140302,0.096748233,0.347849742,8.903808,1.570379085,,,,
301,3140303,0.085125944,0.327399175,8.476614,1.375376608,,,,
302,3140304,0.190917614,0.448645379,7.102668,1.548150467,,,,
303,3140305,0.273511666,0.491233358,21.863921,5.310773288,,,,
304,3150101,0.022611001,0.095845867,16.38248,0.782707633,,,,
305,3150102,0.016161776,0.069547099,15.751179,0.536436583,,,,
306,3150103,0.024688351,0.104484895,10.519317,0.543625562,,,,
307,3150104,0.02081287,0.088242418,8.023003,0.347715302,,,,
308,3150105,0.029857527,0.125914325,10.830523,0.668345121,,,,
309,3150106,0.03868152,0.1622609,10.740344,0.84706542,,,,
310,3150107,0.038991943,0.166813371,5.966141,0.486085811,,,,
311,3150108,0.040526755,0.170719394,14.479009,1.226870895,,,,
312,3150109,0.045832075,0.198218386,10.702874,1.05726084,,,,
313,3150110,0.125296071,0.404473604,8.262886,1.630042654,,,,
314,3150201,0.097417204,0.367256715,11.207895,1.996195831,,,,
315,3150202,0.089073751,0.333893354,4.837775,0.797297151,,,,
316,3150203,0.137775666,0.413007597,4.634,0.937490157,,,,
317,3150204,0.185648561,0.462710931,5.773067,1.307334517,,,,
318,3160101,0.154153461,0.419376114,8.120756,1.673746635,,,,
319,3160102,0.054221732,0.23093878,15.323478,1.726620617,,,,
320,3160103,0.162173325,0.437054609,7.559355,1.630571618,,,,
321,3160104,0.126536404,0.393523068,13.791842,2.719313235,,,,
322,3160105,0.215140214,0.462415049,5.337091,1.236955604,,,,
323,3160106,0.271282976,0.498604595,8.1738,1.978322081,,,,
324,3160107,0.162378177,0.438796459,3.279764,0.70280185,,,,
325,3160108,0.189480055,0.448824368,6.812305,1.575833582,,,,
326,3160109,0.04081044,0.172033229,20.53911,1.747600998,,,,
327,3160110,0.021734398,0.093018507,10.220658,0.453954597,,,,
328,3160111,0.024076925,0.101542944,9.392272,0.474409502,,,,
329,3160112,0.043742572,0.188968943,5.019848,0.462943696,,,,
330,3160113,0.193125812,0.465800087,6.450616,1.465977645,,,,
331,3160201,0.193039032,0.451620516,4.382634,0.993273507,,,,
332,3160202,0.195043224,0.459458136,3.835978,0.869143266,,,,
333,3160203,0.267904472,0.493617256,5.749404,1.399684721,,,,
334,3160204,0.296667451,0.482824588,5.973563,1.441942754,,,,
335,3160205,0.083400902,0.318618651,17.679754,2.779633226,,,,
336,3170001,0.135276766,0.40271958,8.195667,1.630201575,,,,
337,3170002,0.228996513,0.482501573,10.853144,2.580483928,,,,
338,3170003,0.304691637,0.495147621,3.712339,0.895580261,,,,
339,3170004,0.101114627,0.363665149,19.903329,3.525600932,,,,
