"","HUC8","WetlandDensity","NSurplus"
"122","02070006",0.0190735846685243,23.769469
"123","02070007",0.0440149477327925,5.938791
"124","02070008",0.0742961338871785,17.932063
"125","02070009",0.0377067262610005,23.399127
"126","02070010",0.116409848498127,7.627873
"127","02070011",0.103689444546767,8.6815
"128","02080101",6.36928033322988e-06,0.807124
"129","02080102",0.145264554473916,5.563652
"130","02080103",0.034630461480679,11.655782
"131","02080104",0.0981898415164862,14.022336
"132","02080105",0.106164375416912,7.534511
"133","02080106",0.0842761979538232,11.60825
"134","02080107",0.0944055893283405,3.322488
"135","02080108",0.151978793677153,2.956015
"136","02080109",0.274707402271016,27.22501
"137","02080110",0.314043343343227,7.251023
"138","02080111",0.461507975066593,18.125088
"139","02080201",0.0206158948135676,4.007957
"140","02080202",0.0147603670151201,7.678702
"141","02080203",0.0277072259548425,4.673616
"142","02080204",0.0250698550601739,7.346131
"143","02080205",0.0660464388094134,6.313285
"144","02080206",0.178281447604432,10.535008
"145","02080207",0.0685850128091261,9.750555
"146","02080208",0.194495689057784,7.84052
"147","03010101",0.0152784015506184,13.013636
"148","03010102",0.0523744440882064,7.41142
"149","03010103",0.0245370445870259,8.09125
"150","03010104",0.048609351634441,8.216579
"151","03010105",0.0372099690388101,12.303912
"152","03010106",0.0585613711857915,4.359399
"153","03010107",0.264472417554232,18.677032
"154","03010201",0.113589658664601,7.642873
"155","03010202",0.164256060404613,18.079159
"156","03010203",0.223205082695119,23.624702
"157","03010204",0.140881961028183,12.884322
"158","03010205",0.344333157003435,12.656359
"159","03020101",0.0851890098571013,20.59332
"160","03020102",0.101067640115779,14.603199
"161","03020103",0.152548268869612,26.108838
"162","03020104",0.282413108526841,11.853133
"163","03020105",0.144308099486049,2.74341
"164","03020201",0.0922492052253394,25.359969
"165","03020202",0.220305943615785,33.191767
"166","03020203",0.14986902038111,47.657546
"167","03020204",0.270236543998375,11.192887
"168","03020301",0.266023781997367,5.904146
"169","03020302",0.174632254227779,11.825425
"170","03030002",0.0377416697919085,17.119196
"171","03030003",0.0283128146618098,14.445385
"172","03030004",0.0854859323213857,12.018506
"173","03030005",0.282625693541263,13.225849
"174","03030006",0.214359170069106,51.877863
"175","03030007",0.300635862875155,47.687576
"176","03040101",0.0206315102841862,17.32235
"177","03040102",0.0196137576180207,30.539756
"178","03040103",0.0212161574827896,15.553229
"179","03040104",0.0417152751399882,5.356024
"180","03040105",0.0284952727819553,24.174239
"181","03040201",0.263379006164988,7.375469
"182","03040202",0.233725769825912,10.549796
"183","03040203",0.306622483094337,22.838865
"184","03040204",0.412426360006078,18.208687
"185","03040205",0.285341370363161,8.173969
"186","03040206",0.435839077427346,10.48933
"187","03040207",0.326795488534374,3.250558
"188","03040208",0.187814557996369,1.861018
"189","03050101",0.017907748218939,10.061178
"190","03050102",0.0196594500020405,19.13942
"191","03050103",0.0387072482542975,7.966153
"192","03050104",0.14125839100704,3.772602
"193","03050105",0.0300324001924894,9.077028
