Country	Study site	WBZ-type	Nutrient	"Load (kg N, P/ha/yr)"	"Loss (kg N, P/ha/yr)"	"Retention (kg N, P/ha/yr)"	Efficiency (%)	Organic/Mineral Soil	Vegetation type	Reference	Main source/flow path in	Main source/flow path in (simple)	Main flow paths in buffer	Inflow=>Outflow	Width [m]	Area [m²]	Qin [m³/yr]	Catchment area [ha]	HLR [mm]
Denmark	"Stevns Å, DK"	Rewetted Fen	total phosphorus	15.2	1.1	14.1	93	Organic	Herbaceous	"Hoffmann et al., 2009, Hoffmann 1993"	Deep groundwater and precipitation	GW	"70% shallow lateral GW, 30% surface runoff"	GW=>GW	100	400	712	N/A	1780
Denmark	"Stor Å, DK"	Floodplain	total phosphorus	1.1	1.7	-0.6	-56	Mineral	Aerenchymous	"Hoffmann C., et al., 2012"	Drain discharge from upland	SWU	Direct surface runoff	SWU=>SR	N/A	5870	25907	24	4414
Denmark	"Tim Enge, DK"	Rewetted Fen	total phosphorus	60.5	50	10.3	17	Organic	Aerenchymous	"Audet J., et al., 2019"	Stream water	SWR	Direct surface runoff	SWR=>SR		1520000	77337600	10059	50880
Denmark	"Vilsted Sø, DK"	Rewetted Fen	total phosphorus	4.9	6	-1.4	-29	Organic	Aerenchymous	"Audet J., et al., 2019"	Stream water	SWR	Direct surface runoff	SWR=>SR		9130000	44189200	9588	4840
Denmark	"Aarlsev Engsø, DK"	Rewetted Fen	total phosphorus	57.6	47	10.4	18	Organic	Aerenchymous	"Audet J., et al., 2019"	Stream water	SWR	Direct surface runoff	SWR=>SR		2150000	103096386	27134	47952
Estonia	"Porigoji, EE"	Rewetted Fen	total phosphorus	2.5	0.6	1.9	75	Organic	"Arboraceous, mixed"	"Mander et al., 1997"	"Groundwater, surface runoff and precipitation"	GW	Shallow lateral GW	GW=>GW	20	N/A	N/A	N/A	N/A
Estonia	"Vieratsi, EE"	Rewetted Fen	total phosphorus	3.0	0.4	2.6	87	Organic	"Arboraceous, mixed"	"Mander et al., 1997"	"Groundwater, surface runoff and precipitation"	GW	Shallow lateral GW	GW=>GW	28	N/A	N/A	N/A	N/A
Finland	"Flyttrask, SU"	Floodplain	total phosphorus	12.7	10.8	1.9	15	Mineral	Aerenchymous	Koskiaho et al 2003	River inundation	SWR	inundation from river => flow through wetland	SWR=>SR	200	600000	268687	2000	448
Finland	"Flyttrask, SU"	Floodplain	total phosphorus	9.3	8.0	1.3	14	Mineral	Aerenchymous	Koskiaho et al 2003	River inundation	SWR	inundation from river => flow through wetland	SWR=>SR	200	600000	228951	2000	382
Finland	"Hovi, SU"	Floodplain	total phosphorus	38.7	14.7	24.0	62	Mineral	Aerenchymous	Koskiaho et al 2003	River inundation	SWR	inundation from river => flow through wetland	SWR=>SR	25	600	204	12	341
Germany	"Donaumoos, Area 1, Bayern, DE"	Floodplain	total phosphorus	33.8	8.8	25.0	74	Organic	Aerenchymous	"Lenz and Wild, 2001"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	65	14000	153300	N/A	10950
Germany	"Donaumoos, Area 2, Bayern, DE"	Floodplain	total phosphorus	31.4	9.4	22.0	70	Organic	Aerenchymous	"Lenz and Wild, 2001"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	85	22000	289080	N/A	13140
Germany	"Donaumoos, Area 3, Bayern, DE"	Floodplain	total phosphorus	9.1	11.1	-2.0	-22	Organic	Aerenchymous	"Lenz and Wild, 2001"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	100	26000	237250	N/A	9125
Germany	"Pohnsdorfer Stauung Eastpolder, DE"	Rewetted Fen	total phosphorus	24.7	36.7	-12.0	-49	Organic	Herbaceous	"Kieckbusch und Schrautzer, 2007"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	N/A	400000	N/A	3800	N/A
Germany	"Pohnsdorfer Stauung Westpolder, DE"	Rewetted Fen	total phosphorus	0.8	4.0	-3.3	-429	Organic	Herbaceouses	"Kieckbusch und Schrautzer, 2007"	Precipitation and river inundation	P	Direct surface runoff	SWU=>SR	N/A	600000	N/A	150	N/A
Netherlands	"Dommel R nat reserve, NL"	Natural Fen	total phosphorus	0.3	0.1	0.2	70	Organic	Aerenchymous	"Wassen et al., 2006"	Precipitation and groundwater	P	Shallow lateral GW	SWU=>GW	N/A	N/A	N/A	N/A	N/A
Netherlands	"Fens, NL"	Rewetted Fens	total phosphorus	1.2	0.9	0.4	29	Organic	Aerenchymous	"Olde Venterink et al., 2002; Koerselman und Verhoeven, 1992"	"Precipitation, surface water, and groundwater"	P	Shallow lateral GW	SWU=>GW	N/A	N/A	N/A	N/A	N/A
Netherlands	"Molenpolder, NL"	Rewetted Fen	total phosphorus	1.1	1.0	0.0	2	Organic	Aerenchymous	"Koerselman et al., 1990"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	N/A	1500	993	N/A	662
Netherlands	"Vechtplassen site 1, NL"	Rewetted Fen	total phosphorus	2.3	0.7	1.6	69	Organic	Aerenchymous	"Koerselman et al., 1988"	Precipitation	P	Direct surface runoff	SWU=>SR	N/A	N/A	N/A	N/A	970
Netherlands	"Vechtplassen site 2, NL"	Rewetted Fen	total phosphorus	1.6	0.1	1.5	93	Organic	Aerenchymous	"Koerselman et al., 1988"	Precipitation and groundwater	P	Direct surface runoff and groundwater	SWU=>SR	N/A	N/A	N/A	N/A	970
Netherlands	"Westbroek Polder, NL"	Rewetted Fen	total phosphorus	1.3	0.7	0.6	46	Organic	Aerenchymous	"Koerselman et al., 1990"	Groundwater	GW	GW exfiltration => surface flow (return flow)	GW=>SR	N/A	3200	4538	N/A	1418
Poland	"Biebrza Nat Park, PL"	Natural Fen	total phosphorus	0.2	0.0	0.2	91	Organic	Aerenchymous	"Wassen et al., 2006"	Groundwater and precipitation	GW	Shallow lateral GW	GW=>GW	N/A	N/A	N/A	N/A	N/A
Sweden	"Constructed wet, SE"	Riparian Wetland/Bank	total phosphorus	0.6	0.4	0.2	36	Mineral	Herbaceous	"Kynkaanniemi et al., 2013"	Drain discharge from upland	SWU	Direct surface runoff	SWU=>SR	73	800	48000	26	60000
USA	"Conneticut, US"	Riparian Wetland/Bank	total phosphorus				-49	Mineral	Herbaceous	"Hoffmann et al., 2009, Clausen, 2000"	Groundwater	GW	"Deep groundwater, shallow groundwater, overland flow"	GW=>GW	3	313	N/A	207	N/A
USA	"Franklin County, Ohio, US"	Floodplain	total phosphorus	178.0	149.0	29.0	16	Mineral	Aerenchymous	"Mitsch et al., 2014; Niswander and Mitsch, 1995"	River inundation	SWR	Direct surface runoff	SWR=>SR	N/A	60600	2366430	260	39050
USA	"Illinois, US"	Floodplain	total phosphorus			62.0		Mineral	Herbaceous	"Mitsch et al., 2014; Fink and Mitsch, 2004"	Surface runoff from upland and groundwater	SWU	Direct surface runof	SWU=>SR	30	12000	77520	17	6460
USA	"Little River, Georgia, US"	Riparian Wetland/Bank	total phosphorus	5.6	3.9	1.7	30	Mineral	"Arboraceous, mixed"	"Lowrance et al., 1984; Hoffmann et al 2009; Mander et al., 1997"	"Precipitation, surface water, and groundwater"	P	Shallow lateral GW	SWU=>GW	N/A	3400	N/A	N/A	288
USA	"Maryland, US"	Riparian Wetland/Bank	total phosphorus	7.6	5.5	2.1	27	Mineral	Aerenchymous	"Hoffmann et al., 2009; Jordan et al., 2003"	Drain discharge from upland	SWU	Direct surface runoff	SWU=>SR	180	13000	68002	N/A	5231
USA	"Maryland, US"	Riparian Wetland/Bank	total phosphorus	54.0	17.8	36.2	67	Mineral	Herbaceous	"Mander et al., 1997; Payer & Weil, 1987"	Wasterwater	SWU	Direct surface runof	SWU=>SR	46	1380	14104	N/A	10220
USA	"Ohio, US"	Floodplain	total phosphorus	61.0	16.2	44.8	73.0	Mineral	Aerenchymous	"Mitsch et al., 2014; Fink and Mitsch, 2007"	River inundation	SWR	Direct surface runof	SWR=>SR	N/A	30000	600000	N/A	20000
USA	"Olentangy River, Ohio US"	Floodplain	total phosphorus	56.2	32.2	24.0	42.7	Mineral	Aerenchymous	"Mitsch W., et al., 2014"	River inundation	SWR	Direct surface runoff	SWR=>SR	30	20000	795060	N/A	39753
USA	"Rhode River basin, Maryland, US"	Riparian Wetland/Bank	total phosphorus	3.6	0.7	2.9	80	Mineral	"Arboraceous, mixed"	"Peterjohn and Correll, 1984; Hoffmann et al., 2009"	Groundwater	GW	Shallow lateral GW	GW=>GW	40	59000	37640	16.3	638
USA	"Sierra Nevada, CA, US"	Riparian Wetland/Bank	total phosphorus				34	Mineral	Aerenchymous	"Hoffmann et al., 2009; Knox et al,. 2008"	Drain discharge from upland	SWU	Direct surface runoff (natural)	SWU=>SR	135	2000	N/A	6.1	N/A
USA	"Sierra Nevada, CA, US"	Riparian Wetland/Bank	total phosphorus				7	Mineral	Aerenchymous	"Hoffmann et al., 2009; Knox et al,. 2008"	Drain discharge from upland	SWU	Direct surface runoff (channelized)	SWU=>SR	115	2000	N/A	9.3	N/A
USA	"Wetland A, Ohio, US"	Riparian Wetland/Bank	total phosphorus	16.7	12.8	3.9	23	Mineral	Herbaceous	"Kovacic et al., 2000; Mitsch et al., 2014"	Drain discharge from upland	SWU	Direct surface runoff and infiltration to groundwater	SWU=>SR	N/A	6000	47233	15	7872
USA	"Wetland B, Ohio, US"	Riparian Wetland/Bank	total phosphorus	6.7	4.9	1.8	27	Mineral	Herbaceous	"Kovacic et al., 2000; Mitsch et al., 2014"	Drain discharge from upland	SWU	Direct surface runoff and infiltration to groundwater	SWU=>SR	N/A	3000	15500	5	5167
USA	"Wetland D, Ohio, US"	Riparian Wetland/Bank	total phosphorus	11.5	14.5	-3.0	-26	Mineral	Herbaceous	"Kovacic et al., 2000; Mitsch et al., 2014"	Drain discharge from upland	SWU	Direct surface runoff and infiltration to groundwater	SWU=>SR	N/A	8000	49033	25	6129
USA	"Wisconsin, US"	Rewetted Fen	total phosphorus	14.9	13.8	1.1	7	Organic	Herbaceous	"Hoffmann et al., 2009; Novitzki 1978"	Groundwater	GW	Exfiltrating and pumping to hatchery => surface runoff	GW=>SR	400	485623	5427323	234.7	11176
