Country	Study site	WBZ-type	Nutrient	"Load (kg N, P/ha/yr)"	"Loss (kg N, P/ha/yr)"	"Retention (kg N, P/ha/yr)"	Efficiency (%)	Organic/Mineral Soil	Vegetation type	Reference	Main source/flow path in	Main source/flow path in (simple)	Main flow paths in buffer	Inflow=>Outflow	Width [m]	Area [m²]	Qin [m³/yr]	Catchment area [ha]	HLR [mm]
Denmark	"Fensholt T33, DK"	Rewetted Fen	nitrate	397	22.9	374.1	94	Organic	Herbaceous	"Petersen et al., 2020a; Petersen et al., 2020b"	Drain discharge from upland	SWU	Infiltration/exfiltration	SWU=>SR	150	11690	5539	13.7	4738
Denmark	"Fensholt T34, DK"	Rewetted Fen	nitrate	282	21.8	260.2	92	Organic	Herbaceous	"Petersen et al., 2020a; Petersen et al., 2020b"	Drain discharge from upland	SWU	Infiltration/exfiltration	SWU=>SR	80	4768	2508	6.9	5261
Denmark	"Geddebækken, DK"	Rewetted Fen	nitrate	2000		56.00	3	Organic	Aerenchymous	"Audet J., et al., 2019"	Stream water	SWR	Direct surface runoff	SWR=>SR		200000	4925000	229	24625
Denmark	"Grøngrøft, DK"	Rewetted Fen	nitrate	179		87.52	49	Organic	Aerenchymous	"Audet J., et al., 2019"	Stream water	SWR	Direct surface runoff	SWR=>SR		254000	1404620	245	5530
Denmark	"Langevad Å, DK"	Rewetted Fen	nitrate	682.6	191.1	491.4	72	Organic	Aerenchymous	"Hoffmann et al., 2009, Mander et al 1997; Hoffmann 1991"	Drain discharge from upland	SWU	Infiltration and direct surface runoff	SWU=>GW	30	1370	24502	N/A	17885
Denmark	"Lyngbygaards Å, DK"	Rewetted fen	nitrate	2379		304.04	13	Organic	Aerenchymous	"Audet J., et al., 2019"	Stream water	SWR	Direct surface runoff	SWR=>SR		400000	22652000	5721	56630
Denmark	"Rabis Bæk, DK"	Rewetted Fen	nitrate	709.0	319.0	390.0	55	Organic	Herbaceous	"Brüsch & Nilsson, 1993"	Groundwater	GW	GW exfiltration => surface flow (return flow)	GW=>SR	16	1600	8260	N/A	5163
Denmark	"Sandskær, DK"	Rewetted Fen	nitrate	373		203.19	54	Organic	Aerenchymous	"Audet J., et al., 2019"	Stream water	SWR	Direct surface runoff	SWR=>SR		58000	461680	114	7960
Denmark	"Snaremose Sø, DK"	Floodplain	nitrate	456		190.44	42	Mineral	Aerenchymous	"Audet J., et al., 2019"	Stream water	SWR	Direct surface runoff	SWR=>SR		310000	1726700	565	5570
Denmark	"Stor Å, DK"	Floodplain	nitrate	637.0	452.0	184.5	29	Mineral	Aerenchymous	"Hoffmann C., et al., 2012"	Drain discharge from upland	SWU	Direct surface runoff	SWU=>SR	N/A	5870	25907	24	4414
Denmark	Syvbæk DK	Rewetted Fen	nitrate	1502.0				Organic	Aerenchymous	"Dørge J., 1994, Ambus & Hoffmann 1990"	Drain discharge from upland	SWU	Infiltration and direct surface runoff	SWU=>GW	30	852	13590	N/A	15950
Denmark	"Tim Enge, DK"	Rewetted Fen	nitrate	910		34.41	4	Organic	Aerenchymous	"Audet J., et al., 2019"	Stream water	SWR	Direct surface runoff	SWR=>SR		1520000	77337600	10059	50880
Denmark	"Vilsted Sø, DK"	Rewetted Fen	nitrate	275		111.98	41	Organic	Aerenchymous	"Audet J., et al., 2019"	Stream water	SWR	Direct surface runoff	SWR=>SR		9130000	44189200	9588	4840
Denmark	"Voldby Bæk, Anbæk, DK"	Rewetted Fen	nitrate	86.6	32.5	56.3	65	Organic	Herbaceous	"Hoffmann C., et al, 2006"	Groundwater	GW	Shallow lateral GW	GW=>GW	21.0	21.0	304	N/A	14495
Denmark	"Aarlsev Engsø, DK"	Rewetted Fen	nitrate	1431		298.99	21	Organic	Aerenchymous	"Audet J., et al., 2019"	Stream water	SWR	Direct surface runoff	SWR=>SR		2150000	103096386	27134	47952
England	Sth England	Riparian Wetland/Bank	nitrate				99	Mineral	"Arboraceous, mixed"	"Hill A., 1996; Haycock and Pinay, 1993"	Groundwater	GW	Shallow lateral GW	GW=>GW	26	416	6716		16144
England	Sth England	Riparian Wetland/Bank	nitrate				84	Mineral	Herbaceous	"Hill A., 1996; Haycock and Pinay, 1993"	Groundwater	GW	Shallow lateral GW	GW=>GW	22	352	10746		30527
Finland	"Flyttrask, SU"	Floodplain	nitrate	342.9	294.9	48.0	14	Mineral	Aerenchymous	Koskiaho et al 2003	River inundation	SWR	inundation from river => flow through wetland	SWR=>SR	200	600000	268687	2000	448
Finland	"Flyttrask, SU"	Floodplain	nitrate	466.7	438.7	28.0	6	Mineral	Aerenchymous	Koskiaho et al 2003	River inundation	SWR	inundation from river => flow through wetland	SWR=>SR	200	600000	228951	2000	382
Finland	"Hovi, SU"	Floodplain	nitrate	628.6	408.6	220.0	35	Mineral	Aerenchymous	Koskiaho et al 2003	River inundation	SWR	inundation from river => flow through wetland	SWR=>SR	25	600	204	12	341
France	"Garonne Valley, FR"	Floodplain	nitrate	547.5	366.8	180.7	33	Mineral	"Arboraceous, mixed"	"Mander et al., 1997; Pinay and Decamps, 1988"	Groundwater	GW	Shallow lateral GW	GW=>GW	130	50000	109500	N/A	2190
Germany	"Donaumoos, Area 1, Bayern, DE"	Floodplain	nitrate	377.4	143.4	234.0	62	Organic	Aerenchymous	"Lenz and Wild, 2001"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	65	14000	153300	N/A	10950
Germany	"Donaumoos, Area 2, Bayern, DE"	Floodplain	nitrate	540.8	275.8	265.0	49	Organic	Aerenchymous	"Lenz and Wild, 2001"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	85	22000	289080	N/A	13140
Germany	"Donaumoos, Area 3, Bayern, DE"	Floodplain	nitrate	234.6	173.6	61.0	26	Organic	Aerenchymous	"Lenz and Wild, 2001"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	100	26000	237250	N/A	9125
Germany	"Dummerstorf, DE"	Rewetted Fen	nitrate		30.5			Organic	Herbaceous	Tiemeyer & Kahle 2014	Groundwater	GW	GW exfiltration => surface flow in ditches	SWU=>SR	250	425000	191250	85	450
Germany	"Pohnsdorfer Stauung Eastpolder, DE"	Rewetted Fen	nitrate	366.7	265.0	101.7	28	Organic	Herbaceous	"Kieckbusch und Schrautzer, 2007"	River inundation and precipitation	SWR	Direct surface runoff	SWR=>SR	N/A	400000	N/A	3800	N/A
Germany	"Pohnsdorfer Stauung Westpolder, DE"	Rewetted Fen	nitrate	9.8	3.8	6.0	61	Organic	Herbaceouses	"Kieckbusch und Schrautzer, 2007"	Precipitation and river inundation	P	Direct surface runoff	SWU=>SR	N/A	600000	N/A	150	N/A
Netherlands	"Hazelbeek, NL"	Rewetted Fen	nitrate				95	Organic	"Arboraceous, mixed"	"Hefting & de Klein, 1998"	Groundwater	GW	Shallow lateral GW	GW=>GW	25	N/A	N/A	N/A	N/A
Netherlands	"Hazelbekke, NL"	Rewetted Fen	nitrate	870.0	539.4	330.6	38	Organic	"Arboraceous, mixed"	"Hefting et al, 2006"	Groundwater	GW	Shallow lateral GW	GW=>GW	25	N/A	N/A	N/A	N/A
Netherlands	"Ribbert, NL"	Rewetted Fen	nitrate	150.0	55.5	94.5	63	Organic	Aerenchymous	"Hefting et al, 2006"	Groundwater	GW	Shallow lateral GW	GW=>GW	25	N/A	N/A	N/A	N/A
New Zealand	"Scotsman Valley, NZ"	Riparian Wetland/Bank	nitrate				91	Organic	Herbaceous	"Hill A., 1996; Cooper 1990"	Groundwater	GW	Shallow lateral GW	GW=>GW	9	N/A	N/A	N/A	N/A
New Zealand	"Scotsman Valley, NZ"	Riparian Wetland/Bank	nitrate				30	Mineral	Herbaceous	"Hill A., 1996; Cooper 1990"	Groundwater	GW	Shallow lateral GW	GW=>GW	9	N/A	N/A	N/A	N/A
Sweden	"Vomb East, SE"	Floodplain	nitrate	324.0	234.0	90.0	28	Organic	Herbaceous	"Leonardson et al, 1994"	Surface runoff from upland	SWU	Infiltration => GW	SWU=>GW	N/A	60000	1476000	N/A	24600
Sweden	"Vomb West, SE"	Floodplain	nitrate	504.0	324.0	180.0	36	Organic	Herbaceous	"Leonardson et al, 1994"	Surface runoff from upland	SWU	Infiltration => GW	SWU=>GW	N/A	50000	1860000	N/A	37200
USA	"Caernarvon, Louisiana, US"	Floodplain	nitrate	85.3	19.7	65.6	77	Mineral	Aerenchymous	"Mitsch et al., 2005"	River inundation	SWR	Direct surface runof	SWR=>SR	N/A	260000000	N/A	N/A	N/A
USA	"Georgia, USA"	Floodplain	nitrate				94	Mineral	"Arboraceous, mixed"	"Hill A., 1996; Lowrance 1992"	Groundwater	GW	Shallow lateral GW	GW=>GW	55	N/A	N/A	N/A	N/A
USA	"Illinois, US"	Floodplain	nitrate			390.0		Mineral	Herbaceous	"Mitsch et al., 2014; Fink and Mitsch, 2004"	Surface runoff from upland and groundwater	SWU	Direct surface runof	SWU=>SR	30	12000	77520	17	6460
USA	"Illinois, US"	Riparian Wetland/Bank	nitrate				93	Mineral	"Arboraceous, mixed"	"Osborne and Kovacic, 1993; Hill, 1996"	Groundwater	GW	Shallow lateral GW	GW=>GW	16	N/A	N/A	N/A	N/A
USA	"Illinois, US"	Floodplain	nitrate				83	Mineral	Herbaceous	"Osborne and Kovacic, 1993; Hill, 1996"	Groundwater	GW	Shallow lateral GW	GW=>GW	39	N/A	N/A	N/A	N/A
USA	"Lower Coastal Plain, North Carolina, US"	Riparian Wetland/Bank	nitrate	8.0	0.1	7.9	99	Mineral	"Arboraceous, mixed"	"Hill A., 1996; Jacobs & Gilliam, 1985, Mander et al 1997"	"2/3 GW, 1/3 ditch"	GW	Shallow lateral GW and some exfiltration	GW=>GW	16	N/A	N/A	N/A	29
