ID_label,State/Country,Lat,Long,Time of study,Air temp (oC),Prec. (mm/yr),Climate Zone,Q,HLR (m/yr),Water regime,TN in (mg/l),TP in (mg/l),ID_label2,Wetland type,Inflow type,Area (m2),HRT_est,Age (yr),Wetland history,Vegetation type,ID_label3,TN loading rate (g/m2/yr),std,TN removal rate (g/m2/yr),std4,TN removal efficieny (%),std5,n,TP loading rate (g/m2/yr),std6,TP removal rate (g/m2/yr),std7,TP removal efficieny (%),std8,n9,K_TN,K_TN_HRT
Rushton et al. (2001) Stormwater detention ponds,"Florida, USA",27.686,-82.5,1997-1998,22.475,1244,Cfa,,0.000160701,"Intermittent, variable",1.3615,1.3995,Rushton et al. (2001) Stormwater detention ponds,Free Water Surface,Agricultural runoff,57000,23.17714688,#N/A,"Created, formerly other land use",Unspecified,Rushton et al. (2001) Stormwater detention ponds,#N/A,#N/A,#N/A,#N/A,46.47769828,9.067794231,2,#N/A,#N/A,#N/A,#N/A,75.04774594,8.236232769,2,0.007469013,2.005324405
Clausen et al. (2000) Muddy Brook Riparian Buffer,"Connecticut, USA",41.924,-72.483,1995-1996,9.175,1157,Dfb,,0.000848734,Precipitation-driven,3.17,#N/A,Clausen et al. (2000) Muddy Brook Riparian Buffer,Riparian,Agricultural runoff,625,7.5,1,"Restored, formerly drained cropland",Trees,Clausen et al. (2000) Muddy Brook Riparian Buffer,106.7927198,3.687251048,47.71991758,4.695072471,44.78721102,5.942810888,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.038012429,#N/A
Ardon et al. (2010) Timberlake,"North Carolina, USA",35.906,-76.157,2007-2009,16.13333333,1282,Cfa,,0.002455125,Precipitation-driven,#N/A,0.0725,Ardon et al. (2010) Timberlake,Free Water Surface,Agricultural runoff,4400000,68.69963476,0,"Restored, formerly cropland",Trees,Ardon et al. (2010) Timberlake,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.026636364,0.00764961,-0.003534091,0.01611882,-4.7753884,59.14291504,2,#N/A,-0.069511118
Dolan et al. (1981) Plot C,"Florida, USA",28.560987,-81.779527,1977-1978,21.82916667,1261,Cfa,,0.005409993,"Intermittent, constant",#N/A,8.883333333,Dolan et al. (1981) Plot C,Free Water Surface,Sec. Domestic Wastewater,2000,10.03110457,0,"Restored, formerly other land use",Emergent,Dolan et al. (1981) Plot C,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.481597222,#N/A,0.253472222,#N/A,52.63157895,#N/A,1,#N/A,5.246837829
Kieckbusch & Schrautzer (2007) East polder,Germany,54.24,10.233,2000-2004,8.029166667,740,Cfb,,0.005886877,Precipitation-driven,#N/A,#N/A,Kieckbusch & Schrautzer (2007) East polder,Free Water Surface,River/Lake water,220000,32.48605156,#N/A,"Restored, formerly drained cropland",Filamentous algae,Kieckbusch & Schrautzer (2007) East polder,51.1,38.67802994,4.6,7.856207737,8.666666667,11.93035345,3,2.466666667,2.478574859,-1.166666667,0.986576572,-61,38.31448812,3,0.051019601,-1.877728966
Martin et al. (2001) Boot WTS,"Florida, USA",28.105,-81.5038,1991-1998,22.35833333,1211,Cfa,,0.006108316,"continuous, variable",9.835,2.34,Martin et al. (2001) Boot WTS,Free Water Surface,Sec. Domestic Wastewater,465000,39.17008349,6,"Restored, formerly other land use",Mixed,Martin et al. (2001) Boot WTS,10.52375,3.070430112,9.46875,3.101642134,88.375,7.614600637,8,1.72,0.610479905,0.70375,0.705689885,32.125,35.23568605,8,0.539822427,0.820141218
Cook (2001) Goldsboro,"North Carolina, USA",35.3822,-78.0467,2000-2001,16.01666667,1226,Cfa,23.764545,0.00678987,"continuous, variable",115.1860337,52.68539326,Cook (2001) Goldsboro,Free Water Surface,Agricultural runoff,3500,11.53740851,<1,Not specified,Emergent,Cook (2001) Goldsboro,139.782967,#N/A,120.9026688,#N/A,86.49313384,#N/A,1,64.74882261,#N/A,25.78492936,#N/A,39.82300885,#N/A,1,0.587277135,3.451642439
Hoffmann et al. (2012) Egeskov,Denmark,55.15,10.5,2007-2009,7.9125,632,Cfb,,0.00776974,Precipitation-driven,5.145,0.0365,Hoffmann et al. (2012) Egeskov,Riparian,Agricultural runoff,6200,13.31034099,5,"Restored, formerly drained cropland",Emergent,Hoffmann et al. (2012) Egeskov,15.91147541,17.26963414,7.433469945,6.552716038,59,22.627417,2,0.093325137,0.048543074,-0.003510929,0.016248,-9.5,21.92031022,2,0.45841466,-0.713730776
Vellidis et al. (2003) Dairy Wetland,"Georgia, USA",31.49,-83.53,1992-1999,18.65,1205,Cfa,,0.007912389,Precipitation-driven,8.63,1.48,Vellidis et al. (2003) Dairy Wetland,Riparian,Agricultural runoff,10000,15,1,"Restored, formerly drained cropland",Trees,Vellidis et al. (2003) Dairy Wetland,13.91,#N/A,9.53,#N/A,68.51186197,#N/A,1,2.08,#N/A,1.54,#N/A,74.03846154,#N/A,1,0.542092503,4.935897436
Knight et al. (1985) Lake Coral,"Florida, USA",29.13,-82.09,1983-1984,20.8375,1328,Cfa,,0.010088328,"continuous, variable",19.97,6.17,Knight et al. (1985) Lake Coral,Free Water Surface,Sec. Domestic Wastewater,210000,32.11042714,5,"Created, formerly other land use",Emergent,Knight et al. (1985) Lake Coral,52.38095238,#N/A,48,#N/A,93,#N/A,1,16.66666667,#N/A,6,#N/A,31,#N/A,1,0.938214504,0.965418487
Newbold et al. (2010) Riparian Forest Buffer System,"Pennsylvania, USA",39.9454,-75.6527,1997-2006,11.51666667,1138,Cfa,73.9493496,0.010270743,"continuous, variable",#N/A,#N/A,Newbold et al. (2010) Riparian Forest Buffer System,Riparian,Agricultural+urban runoff,7200,13.81733805,6,"Restored, formerly other land use",Mixed,Newbold et al. (2010) Riparian Forest Buffer System,34.29166667,#N/A,9.152777778,#N/A,26.690968,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.274136073,#N/A
Abtew et al. (2008) STA-1E,"Florida, USA",26.654,-80.335,2005-2006,23.14583333,1457,Aw,,0.010792608,Precipitation-driven,#N/A,188,Abtew et al. (2008) STA-1E,Free Water Surface,Agricultural runoff,16290000,95.29531065,1,"Created, formerly cropland",Mixed,Abtew et al. (2008) STA-1E,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.744827609,#N/A,0.31,#N/A,40,#N/A,1,#N/A,0.419747832
Black & Wise (2003) Orlando Easterly Wetland,"Florida, USA",28.572622,-80.992686,1992-1999,21.90833333,1330,Cfa,,0.011131302,"continuous, variable",#N/A,0.200836996,Black & Wise (2003) Orlando Easterly Wetland,Free Water Surface,Tert. Domestic Wastewater,4900000,70.57327621,10,Constructed,Unspecified,Black & Wise (2003) Orlando Easterly Wetland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.929342534,0.394423721,0.269298084,0.149192144,28.87913279,8.730113571,8,#N/A,0.409207767
Gu & Dreschel (2008) South Test Cell PSTA,"Florida, USA",26.6242,-80.426,2002-2004,23.09166667,1440,Aw,,0.01222496,Constant,#N/A,41.37719383,Gu & Dreschel (2008) South Test Cell PSTA,Free Water Surface,Agricultural runoff,6000,13.20167605,#N/A,"Created, formerly cropland",Mixed,Gu & Dreschel (2008) South Test Cell PSTA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.554454397,0.127608446,0.321917372,0.109390918,57.307607,6.540045715,2,#N/A,4.340934195
Jordan et al. (2003) Barnstable 1,"Maryland, USA",38.933,-76.336,1995-1997,13.35833333,1083,Cfa,,0.01268959,Precipitation-driven,2.632879592,0.638717585,Jordan et al. (2003) Barnstable 1,Free Water Surface,Agricultural runoff,13000,16.01684959,9,"Restored, formerly drained cropland",Emergent,Jordan et al. (2003) Barnstable 1,12.46867168,0.886098723,1.7,3.959797975,14.8,32.80975465,2,2.798151002,0.357366755,0.76,1.470782105,24,49.49747468,2,0.187805932,1.498422013
Kovacic et al. (2006) Wetland 1,"Illinois, USA",40.629278,-88.919991,1998-1999,10.5375,930,Dfa,,0.013895016,Precipitation-driven,8.703828106,0.30727834,Kovacic et al. (2006) Wetland 1,Free Water Surface,Agricultural runoff,1600,9.486832981,1,"Created, formerly other land use",Emergent,Kovacic et al. (2006) Wetland 1,45.75,#N/A,10.3125,#N/A,23,#N/A,1,1.75,#N/A,1.375,#N/A,79,#N/A,1,0.319585368,8.327331172
Mitsch et al. (1995) Des Plaines River Wetland 4,"Illinois, USA",42.42592,-87.9362,1990,8.375,875,Dfa,326.4788592,0.013952088,"continuous, variable",#N/A,111,Mitsch et al. (1995) Des Plaines River Wetland 4,Free Water Surface,River/Lake water,23400,18.55219171,1,Constructed,Emergent,Mitsch et al. (1995) Des Plaines River Wetland 4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.546,#N/A,0.442,#N/A,80.95238095,#N/A,1,#N/A,4.363494202
Hoffmann et al. (2012) Stor Å,Denmark,55.483345,9.983333,1996-1998,7.891666667,659,Cfb,,0.014059052,Precipitation-driven,12.795,0.0195,Hoffmann et al. (2012) Stor Å,Riparian,Agricultural runoff,5870,13.12957851,5,"Restored, formerly drained cropland",Emergent,Hoffmann et al. (2012) Stor Å,67.43475275,6.594159255,19.35302198,5.105155552,29,4.242640687,2,0.109800824,0.054596802,-0.061668956,0.040415815,-74.5,74.24621202,2,0.407712508,-5.674211092
Dolan et al. (1981) Plot H,"Florida, USA",28.560988,-81.779528,1977-1978,21.82916667,1261,Cfa,,0.014521561,"Intermittent, constant",#N/A,8.883333333,Dolan et al. (1981) Plot H,Free Water Surface,Sec. Domestic Wastewater,2000,10.03110457,0,"Restored, formerly other land use",Emergent,Dolan et al. (1981) Plot H,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,48.19774306,#N/A,47.00642361,#N/A,97.52826716,#N/A,1,#N/A,9.722585029
Barten (1983) Clear Lake treatment marsh,"Minnesota, USA",44.091128,-93.497531,1981-1982,6.558333333,791,Dfa,,0.015669149,Precipitation-driven,#N/A,0.6755,Barten (1983) Clear Lake treatment marsh,Vertical Subsurface Down,Urban storm water/runoff,214000,32.26225373,2,Constructed,Emergent,Barten (1983) Clear Lake treatment marsh,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.16421254,#N/A,2.637600134,#N/A,63.33970969,#N/A,1,#N/A,1.963276038
Gumiero et al. (2011) Riparian,Italy,45.573,12.313,2000-2002,13.0375,889,Cfb,112.73913,0.01610559,"Intermittent, variable",#N/A,#N/A,Gumiero et al. (2011) Riparian,Horizontal Subsurface Flow,River/Lake water,7000,13.72036829,<1,Not specified,Emergent,Gumiero et al. (2011) Riparian,12.29666667,1.071883078,6.006666667,2.499926666,50.21197829,23.51955466,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.808693535,#N/A
Kovacic et al. (2000) Wetland B,"Illinois, USA",39.9129,-88.1932,1995-1997,11.24166667,983,Dfa,,0.016579208,Precipitation-driven,10.4,8.82,Kovacic et al. (2000) Wetland B,Free Water Surface,Agricultural runoff,3000,11.10124207,0,Constructed,Emergent,Kovacic et al. (2000) Wetland B,55.22222222,22.30180195,24.22222222,11.50040257,43,6.244997998,3,0.666666667,0.152752523,0.177777778,0.254587539,35,46.57252409,3,0.712905944,3.152800361
Chen et al. (2014) STA-1E,"Florida, USA",26.654,-80.335,2006-2011,23.14583333,1457,Aw,,0.017188227,Precipitation-driven,#N/A,0.181,Chen et al. (2014) STA-1E,Free Water Surface,Agricultural runoff,20830000,101.3359578,2,"Created, formerly cropland",Unspecified,Chen et al. (2014) STA-1E,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.293594494,#N/A,0.85,#N/A,68.80051847,#N/A,1,#N/A,0.678934901
Johannesson et al. (2011) S. Stene,Sweden,58.9944,17.3766,2004-2008,6.770833333,531,Cfb,3837.78234,0.018275154,"continuous, variable",#N/A,#N/A,Johannesson et al. (2011) S. Stene,Free Water Surface,Agricultural+urban runoff,210000,32.11042714,0,"Restored, formerly drained cropland",Unspecified,Johannesson et al. (2011) S. Stene,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.620755495,1.119373995,0.280625,0.230327061,17,3.559026084,4,#N/A,0.529423041
Gu & Dreschel (2008) North Test Cell Cattail,"Florida, USA",26.653,-80.4031,2002-2004,23.09166667,1443,Aw,,0.01833744,"Intermittent, constant",#N/A,73.85912698,Gu & Dreschel (2008) North Test Cell Cattail,Free Water Surface,Agricultural runoff,4000,11.92906093,#N/A,"Created, formerly cropland",Emergent,Gu & Dreschel (2008) North Test Cell Cattail,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.989712302,0.126524412,0.651255952,0.19345263,65.08499412,11.22591119,2,#N/A,5.456003158
Gu & Dreschel (2008) North Test Cell SAV,"Florida, USA",26.653,-80.4031,2002-2004,23.09166667,1443,Aw,,0.01833744,Constant,#N/A,73.85912698,Gu & Dreschel (2008) North Test Cell SAV,Free Water Surface,Agricultural runoff,4000,11.92906093,#N/A,"Created, formerly cropland",Submerged,Gu & Dreschel (2008) North Test Cell SAV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.989712302,0.126524412,0.602468254,0.168448549,60.27771557,9.314072717,2,#N/A,5.053014308
Gu & Dreschel (2008) South Test Cell Cattail,"Florida, USA",26.6242,-80.426,2002-2004,23.09166667,1440,Aw,,0.01833744,Constant,#N/A,41.37719383,Gu & Dreschel (2008) South Test Cell Cattail,Free Water Surface,Agricultural runoff,4000,11.92906093,#N/A,"Created, formerly cropland",Emergent,Gu & Dreschel (2008) South Test Cell Cattail,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.554454397,0.127608446,0.248705976,0.110511858,43.72026036,9.869362201,2,#N/A,3.665021129
Gu & Dreschel (2008) South Test Cell SAV,"Florida, USA",26.6242,-80.426,2002-2004,23.09166667,1440,Aw,,0.01833744,Constant,#N/A,41.37719383,Gu & Dreschel (2008) South Test Cell SAV,Free Water Surface,Agricultural runoff,4000,11.92906093,#N/A,"Created, formerly cropland",Submerged,Gu & Dreschel (2008) South Test Cell SAV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.554454397,0.127608446,0.220337546,0.163090855,37.34365381,20.81996261,2,#N/A,3.130477246
Koskiaho et al. (2003) Hovi,Finland,60.4166667,24.3666667,1999-2000,4.720833333,624,Dfb,,0.018617385,Precipitation-driven,9.8,#N/A,Koskiaho et al. (2003) Hovi,Free Water Surface,Agricultural runoff,6000,13.20167605,1,"Created, formerly cropland",Emergent,Koskiaho et al. (2003) Hovi,77.77777778,#N/A,28,#N/A,36,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.67022586,#N/A
Flyckt (2010) Alhagen,Sweden,58.936059,17.959853,2003-2009,7.133333333,38,Cfb,5214.42852,0.018622959,"Continous, variable",22,0.3,Flyckt (2010) Alhagen,Free Water Surface,Sec. Domestic Wastewater,280000,34.50489951,5,"Created, formerly other land use",Mixed,Flyckt (2010) Alhagen,151.0044349,7.042257589,91.89493989,11.37747873,60.71428571,5.282495803,7,2.028233556,0.494561283,1.518092576,0.442930984,74.14285714,5.014265364,7,1.130679653,2.148763167
Kovacic et al. (2000) Wetland D,"Illinois, USA",39.9129,-88.1932,1995-1997,11.24166667,983,Dfa,,0.018799909,Precipitation-driven,8.7,1.763333333,Kovacic et al. (2000) Wetland D,Free Water Surface,Agricultural runoff,8000,14.18612414,0,Constructed,Emergent,Kovacic et al. (2000) Wetland D,88.58333333,32.3395881,27.70833333,11.43619073,31.33333333,3.785938897,3,1.15,0.476313972,-0.295833333,0.431083905,-18.06666667,34.41646893,3,0.589063815,-1.273544944
Borin & Tochetto (2007) L. Toniolo,Italy,45.35,11.966,1998-2002,13.4875,843,Cfa,60.6676736,0.018958648,"continuous, variable",2.315469286,#N/A,Borin & Tochetto (2007) L. Toniolo,Free Water Surface,Agricultural runoff,3200,11.28180928,1,Constructed,Emergent,Borin & Tochetto (2007) L. Toniolo,40.09208467,15.81265636,35.95084886,17.85096584,86.96621843,13.72755768,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.648761923,#N/A
Flyckt (2010) Brannäs,Sweden,58.679329,17.109865,1994-2009,6.933333333,22,Cfb,4599.84935,0.019999345,"Continous, variable",24,0.5,Flyckt (2010) Brannäs,Free Water Surface,Sec. Domestic Wastewater,230000,32.84908055,1,"Created, formerly other land use",Mixed,Flyckt (2010) Brannäs,156.0613682,30.11995282,59.27099842,15.96990675,37.78571429,6.852047099,14,3.417218412,1.363831352,2.890224359,1.260391921,82.85714286,14.0704663,14,0.755689536,2.522358053
Koskiaho et al. (2009) Hovi,Finland,60.4166667,24.3666667,2007-2008,4.720833333,624,Dfb,,0.020807666,Precipitation-driven,#N/A,0.69,Koskiaho et al. (2009) Hovi,Free Water Surface,Agricultural runoff,6000,13.20167605,10,"Created, formerly cropland",Emergent,Koskiaho et al. (2009) Hovi,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.293692826,2.01203711,3.45,1.48492424,64.5,3.535533906,2,#N/A,4.885743276
Kovacic et al. (2006) Wetland 2,"Illinois, USA",40.629278,-88.919991,1998-1999,10.5375,930,Dfa,,0.0218614,Precipitation-driven,12.78341705,0.132120432,Kovacic et al. (2006) Wetland 2,Free Water Surface,Agricultural runoff,4000,11.92906093,1,"Created, formerly other land use",Emergent,Kovacic et al. (2006) Wetland 2,101.875,#N/A,44.5,#N/A,44,#N/A,1,1.05,#N/A,0.425,#N/A,40,#N/A,1,0.9619016,3.353155812
Carleton et al. (2000) Crestwood,"North Virginia, USA",38.803571,-77.485332,1996-1997,12.89583333,988,Cfa,,0.022277689,Precipitation-driven,1.4,0.14,Carleton et al. (2000) Crestwood,Free Water Surface,Urban storm water/runoff,700,7.715530085,2,Constructed,Emergent,Carleton et al. (2000) Crestwood,#N/A,#N/A,#N/A,#N/A,21.7,#N/A,1,#N/A,#N/A,#N/A,#N/A,45.9,#N/A,1,0.483425851,5.949040376
Chen et al. (2014) STA-5,"Florida, USA",26.444,-80.90366,2001-2011,22.99583333,1330,Aw,,0.022684463,Precipitation-driven,#N/A,0.228,Chen et al. (2014) STA-5,Free Water Surface,Agricultural runoff,24680000,105.7249645,2,"Created, formerly cropland",Unspecified,Chen et al. (2014) STA-5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.869684717,#N/A,1.15,#N/A,63,#N/A,1,#N/A,0.595885752
Mitsch et al. (1995) Des Plaines River Wetland 6,"Illinois, USA",42.422597,-87.936775,1990,8.375,875,Dfa,790.7844015,0.022921287,"continuous, variable",#N/A,111,Mitsch et al. (1995) Des Plaines River Wetland 6,Free Water Surface,River/Lake water,34500,20.4430661,1,Constructed,Emergent,Mitsch et al. (1995) Des Plaines River Wetland 6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.7124,#N/A,0.7072,#N/A,99.27007299,#N/A,1,#N/A,4.855928779
Leonardson et al. (1994) Isgrannatorp,Sweden,56.0449,14.0783,1992,7.8125,618,Cfb,919.91788,0.022997947,"Intermittent, variable",5.4,#N/A,Leonardson et al. (1994) Isgrannatorp,Vertical Subsurface Down,River/Lake water,40000,21.21320344,2,"Restored, formerly other land use",Emergent,Leonardson et al. (1994) Isgrannatorp,27,#N/A,4.5,#N/A,16.66666667,#N/A,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.383299117,#N/A
Moustafa et al. (1996) Boney Marsh,"Florida, USA",27.53783,-81.21332,1978-1986,22.44583333,1213,Cfa,,0.023445386,"continuous, variable",1.688,0.056,Moustafa et al. (1996) Boney Marsh,Free Water Surface,River/Lake water,490000,39.68626967,#N/A,"Created, formerly other land use",Unspecified,Moustafa et al. (1996) Boney Marsh,15.67428618,3.917855879,4.975361446,2.81862891,29.83643823,12.82910248,9,0.497900079,0.096507436,0.369308592,0.096661499,72.79290792,8.48430654,9,0.699526811,1.834208872
Kovacic et al. (2000) Wetland A,"Illinois, USA",39.9129,-88.1932,1995-1997,11.24166667,983,Dfa,,0.023819302,Precipitation-driven,14,10.61,Kovacic et al. (2000) Wetland A,Free Water Surface,Agricultural runoff,6000,13.20167605,0,Constructed,Emergent,Kovacic et al. (2000) Wetland A,112,43.00872005,45.16666667,24.11085509,39,11.26942767,3,1.666666667,0.775134397,0.388888889,0.399420877,20.66666667,12.89702808,3,0.928952778,1.565457794
Juston & DeBusk (2006) STA-1W east,"Florida, USA",26.6276,-80.4275,1997-2004,23.03333333,1429,Aw,,0.023983573,Precipitation-driven,#N/A,0.133,Juston & DeBusk (2006) STA-1W east,Free Water Surface,Agricultural runoff,10180000,84.72824358,4,"Created, formerly cropland",Emergent,Juston & DeBusk (2006) STA-1W east,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.2,#N/A,0.78,#N/A,65,#N/A,1,#N/A,0.767158591
Juston & DeBusk (2006) STA-2 Cell 1,"Florida, USA",26.39728,-80.52426,2002-2005,23.25833333,1455,Aw,,0.023983573,Precipitation-driven,#N/A,0.074,Juston & DeBusk (2006) STA-2 Cell 1,Free Water Surface,Agricultural runoff,8050000,79.89879493,3,"Restored, formerly other land use",Emergent,Juston & DeBusk (2006) STA-2 Cell 1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.6,#N/A,0.522,#N/A,87,#N/A,1,#N/A,1.088877499
Juston & DeBusk (2006) STA-5 Cell 2,"Florida, USA",26.444,-80.90366,2002-2005,22.99583333,1330,Aw,,0.023983573,Precipitation-driven,#N/A,0.234,Juston & DeBusk (2006) STA-5 Cell 2,Free Water Surface,Agricultural runoff,8310000,80.53627063,3,"Created, formerly cropland",Emergent,Juston & DeBusk (2006) STA-5 Cell 2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.1,#N/A,1.155,#N/A,55,#N/A,1,#N/A,0.682922112
Hoagland et al. (2011) Wetland B,"Illinois, USA",39.9129,-88.1932,1997-1998,11.24166667,983,Dfa,,0.024049462,Precipitation-driven,8.276255708,0.116438356,Hoagland et al. (2011) Wetland B,Free Water Surface,Agricultural runoff,3000,11.10124207,3,Constructed,Emergent,Hoagland et al. (2011) Wetland B,72.69917582,#N/A,34.8956044,#N/A,47,#N/A,1,1.022802198,#N/A,0.290796703,#N/A,29,#N/A,1,1.130324714,2.612320299
Moustafa (2012) CWH,"Florida, USA",26.66,-80.4,2000-2001,23.09166667,1443,Aw,,0.025982204,constant,#N/A,86,Moustafa (2012) CWH,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,emergent,Moustafa (2012) CWH,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,65,#N/A,1,#N/A,27.80411619
Moustafa (2012) CWL ,"Florida, USA",26.6,-80.44,2000-2001,23.09166667,1440,Aw,,0.025982204,constant,#N/A,23,Moustafa (2012) CWL ,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,emergent,Moustafa (2012) CWL ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,27,#N/A,1,#N/A,11.54940211
Moustafa (2012) CWOH,"Florida, USA",26.66,-80.4,2000-2001,23.09166667,1443,Aw,,0.025982204,constant,#N/A,86,Moustafa (2012) CWOH,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,Submerged,Moustafa (2012) CWOH,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,61,#N/A,1,#N/A,26.09309365
Moustafa (2012) CWOL ,"Florida, USA",26.6,-80.44,2000-2001,23.09166667,1440,Aw,,0.025982204,constant,#N/A,23,Moustafa (2012) CWOL ,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,Submerged,Moustafa (2012) CWOL ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,44,#N/A,1,#N/A,18.82124788
Moustafa (2012) IWH ,"Florida, USA",26.66,-80.4,2000-2001,23.09166667,1443,Aw,,0.025982204,"Intermittent, constant",#N/A,86,Moustafa (2012) IWH ,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,emergent,Moustafa (2012) IWH ,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,30,#N/A,1,#N/A,12.83266901
Moustafa (2012) IWL,"Florida, USA",26.6,-80.44,2000-2001,23.09166667,1440,Aw,,0.025982204,"Intermittent, constant",#N/A,23,Moustafa (2012) IWL,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,emergent,Moustafa (2012) IWL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,19,#N/A,1,#N/A,8.12735704
Moustafa (2012) IWOH,"Florida, USA",26.66,-80.4,2000-2001,23.09166667,1443,Aw,,0.025982204,"Intermittent, constant",#N/A,86,Moustafa (2012) IWOH,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,submerged,Moustafa (2012) IWOH,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,46,#N/A,1,#N/A,19.67675915
Moustafa (2012) IWOL,"Florida, USA",26.6,-80.44,2000-2001,23.09166667,1440,Aw,,0.025982204,"Intermittent, constant",#N/A,23,Moustafa (2012) IWOL,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,submerged,Moustafa (2012) IWOL,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,28,#N/A,1,#N/A,11.97715774
White (2006) Drawdown-EAV,"Florida, USA",26.597,-80.444,2000-2001,23.09166667,1440,Aw,,0.026082136,"Intermittent, constant",#N/A,0.024,White (2006) Drawdown-EAV,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,Emergent,White (2006) Drawdown-EAV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.13,0.002,0.04,0.003927187,30.76923077,#N/A,3,#N/A,13.16171181
White (2006) Drawdown-SAV,"Florida, USA",26.597,-80.444,2000-2001,23.09166667,1440,Aw,,0.026082136,"Intermittent, constant",#N/A,0.024,White (2006) Drawdown-SAV,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,Submerged,White (2006) Drawdown-SAV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.13,0.002,0.05,0.00253243,38.46153846,#N/A,3,#N/A,16.45213976
White (2006) Flooded-EAV,"Florida, USA",26.597,-80.444,2000-2001,23.09166667,1440,Aw,,0.026082136,Constant,#N/A,0.024,White (2006) Flooded-EAV,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,Emergent,White (2006) Flooded-EAV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.17,0.002,0.06,0.006076553,35.29411765,#N/A,3,#N/A,15.09725766
White (2006) Flooded-SAV,"Florida, USA",26.597,-80.444,2000-2001,23.09166667,1440,Aw,,0.026082136,Constant,#N/A,0.024,White (2006) Flooded-SAV,Free Water Surface,Agricultural runoff,5.9,2.337783354,0,Constructed,Submerged,White (2006) Flooded-SAV,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.17,0.001,0.08,0.007525224,47.05882353,#N/A,3,#N/A,20.12967688
