Long,Lat,dataset,TN
-70.057246,41.943477,MEP,1.002
-70.66326084,41.616084,MEP,0.654
-70.632034,41.63368451,MEP,0.761
-70.719522,41.346272,MEP,0.677
-70.719522,41.346272,MEP,0.448
-70.735089,41.339199,MEP,0.572
-70.599982,41.429469,MEP,0.765
-70.187384,41.279708,MEP,0.5557988853815831
-70.797453,41.326807,MEP,0.638
-70.760293,41.345669,MEP,0.685
-70.762214,41.352459,MEP,0.775
-70.62234,41.448448,MEP,0.791
-70.67199,41.382724,MEP,0.491
-70.677676,41.377733,MEP,0.45
-72.76875254,42.61318632,WPP,0.44666666666666666
-72.76746064,42.61342804,WPP,0.152
-72.90142656,42.63010011,WPP,0.1235
-72.01154154,42.5644422,WPP,0.658
-71.95951089,42.02769615,WPP,0.44
-71.15080259,42.64744612,WPP,0.825
-71.23357266,42.53441868,WPP,0.71
-71.19608409,42.59577308,WPP,0.6725
-71.26400361,42.48702713,WPP,0.965
-70.9028537,42.65985762,WPP,0.5375
-70.99700565,42.61647019,WPP,0.6125
-71.08984084,42.57229149,WPP,0.6225
-70.8449088,42.66124707,WPP,0.7075
-71.10125577,42.57158947,WPP,0.75
-71.14669759,42.55888279,WPP,0.5775
-71.15006628,42.55191092,WPP,0.6525
-71.34763073,42.01272012,WPP,0.632
-71.32957594,41.97463265,WPP,0.754
-71.30757184,41.96096078,WPP,0.95
-71.29026644,41.93742221,WPP,2
-71.30583763,41.91782609,WPP,1.9
-71.32576502,41.89609284,WPP,1.66
-71.34011441,41.89026914,WPP,1.75
-71.28005181,41.95360395,WPP,0.65
-71.2852236,41.92726089,WPP,1.24
-71.32433494,41.93648287,WPP,0.392
-71.34184089,41.95117817,WPP,0.84
-71.3434294,41.90125767,WPP,0.972
-71.32945548,41.85773302,WPP,0.8266666666666667
-73.08665689,42.09474599,WPP,0.51
-73.06950719,42.15892543,WPP,0.27
-73.09171257,42.33094293,WPP,0.1725
-72.35718789,42.58708857,WPP,0.17142857142857143
-71.175902,41.96604487,WPP,0.535
-70.91495236,41.9074391,WPP,0.42
-70.92351752,41.92174924,WPP,0.5275
-71.3973783,42.45888846,WPP,0.78
-70.61353249,41.92602695,WPP,0.172
-70.65128516,42.08647762,WPP,0.7933333333333333
-70.64385015,41.91104346,WPP,0.42
-70.6264616,41.91774475,WPP,0.356
-71.06038287,41.63266048,WPP,1.55875
-73.04390073,42.18359566,WPP,0.3575
-73.09707925,42.19714978,WPP,0.365
-71.2242658,42.49645261,WPP,0.64
-73.33400325,42.05490025,WPP,0.586
-73.28282617,42.07601465,WPP,0.232
-71.1903328,42.36514506,WPP,1
-71.22270212,42.24980728,WPP,0.488
-71.23970713,42.25123356,WPP,0.54
-71.29384261,42.28652324,WPP,1.5
-71.3896734,42.14007115,WPP,2.38
-71.36280624,42.18829134,WPP,0.785
-73.10863082,42.63945736,WPP,1.78
-73.10397409,42.66508241,WPP,1.186
-71.01907398,42.49577249,WPP,1.38
-71.02729939,42.51244839,WPP,1.95
-71.0509709,42.49963725,WPP,1.226
-71.05650757,42.53696863,WPP,1.75
-70.94856366,42.55986066,WPP,1.46
-70.9378767,42.55761002,WPP,1.175
-70.9185959,42.52452276,WPP,1.3
-70.931093,42.5222057,WPP,0.812
-72.62686454,42.09002807,WPP,0.5925
-72.60763627,42.15037455,WPP,0.54
-71.76875735,42.5630966,WPP,0.984
-71.67930013,42.42997432,WPP,0.32
-71.67186298,42.44442786,WPP,1.45
-71.62643687,42.49602094,WPP,1.632
-71.56776529,42.66968673,WPP,1.0645833333333334
-71.57703129,42.67172981,WPP,0.354
-71.64380951,42.62094186,WPP,0.5493333333333333
-71.60976926,42.57812405,WPP,1.192
-72.00491606,42.26477944,WPP,0.34933333333333333
-72.26354268,42.18142994,WPP,0.49
-72.33276108,42.26797538,WPP,0.13464444444444446
-72.0645552,42.39121389,WPP,0.3467391304347826
-71.59314962,42.62647657,WPP,1.2333333333333334
-71.8309968,42.25053773,WPP,1.76
-71.796679459999993,42.2365576,WPP,0.69
-71.83469065,42.20578112,WPP,0.782
-71.65266243,42.1542015,WPP,4.05
-71.51568945,42.04075372,WPP,1.252
-71.60586969,42.16003238,WPP,0.692
-71.60111703,42.1003609,WPP,0.6142857142857143
-71.20853856,42.17399161,WPP,0.784
-71.20894828,42.15752806,WPP,0.872
-71.18526016,42.12604018,WPP,0.812
-71.13993414,42.15863426,WPP,0.57
-71.13501796,42.20323377,WPP,1.16
-71.14595217,42.20923111,WPP,0.87
-71.07281665,42.26947952,WPP,0.9025
-71.04753969,42.25990378,WPP,2.9
-71.9543561,42.02202663,WPP,0.6173170731707317
-72.11856925,42.10956147,WPP,0.3054545454545455
-71.88507359,42.05094532,WPP,0.5519047619047619
-71.6880925,42.52346976,WPP,0.865
-71.5969091,42.49250849,WPP,0.31333333333333335
-72.00870444,42.11947322,WPP,2.2276744186046513
-71.29169192,41.81022138,WPP,0.904
-71.255975,41.85489099,WPP,0.572
-71.25266188,41.79498181,WPP,1.26
-71.2504345,41.78162246,WPP,1.04
-71.18552542,41.76695306,WPP,0.728
-71.19881372,41.77539014,WPP,1.24
-71.27765127,41.8334926,WPP,0.766
-71.3017484,42.63670884,WPP,1.38125
-71.67198789,42.44473811,WPP,1.7272727272727273
-72.34135156,42.59815453,WPP,0.7157142857142857
-72.23911383,42.59280929,WPP,0.81
-72.12462107,42.60455306,WPP,0.8925000000000001
-72.07525656,42.60658022,WPP,3.98
-71.57206082,42.02298331,WPP,2.0744444444444445
-71.70809238,42.23053792,WPP,0.5322727272727272
-72.43783955,42.59751119,WPP,0.6828888888888889
-72.15035652,42.62969793,WPP,0.8640476190476191
-72.11503734,42.68279648,WPP,0.37066666666666664
-72.09305542,42.6723218,WPP,0.56325
-71.62845076,42.30485304,WPP,5.427272727272727
-71.39736431,42.32543468,WPP,0.626938775510204
-71.44974106,42.43206352,WPP,1.8271428571428572
-71.40458554,42.51227518,WPP,1.3261363636363637
-70.45633729,41.65324527,WPP,1.05
-70.45641613,41.6553111,WPP,0.975
-70.12543035,41.72232226,WPP,0.8775
-70.1175758,41.7276927,WPP,0.405
-70.10876811,41.74096476,WPP,0.415
-71.21821677,42.57967087,WPP,1.9
-70.62755574,41.80999411,WPP,0.5842553191489361
-70.61753091,41.80918339,WPP,0.7235714285714285
-71.65203977,42.153873,WPP,2.802380952380952
-70.97096286,41.68379581,WPP,0.86
-72.71424125,42.11440451,WPP,1.225
-72.7336661,42.11664658,WPP,0.856
-72.78888168,42.14152543,WPP,0.925
-71.02717559,41.81989559,WPP,0.6920000000000001
-71.26670227,42.01885627,WPP,0.415
-71.15426672,41.93332037,WPP,1.72375
-71.45547229,42.25849843,WPP,0.6725
-71.39143422,42.46568803,WPP,1.95
-71.35935869,42.45974876,WPP,0.74
-71.36467086,42.39635089,WPP,0.745
-71.40313662,42.35708626,WPP,0.965
-71.36883338,42.35926526,WPP,0.725
-71.1769499,41.9471012,WPP,0.5322222222222223
-70.89995609,42.05820916,WPP,0.666
-70.89846196,42.04238758,WPP,0.6157142857142857
-71.01047988,42.46230471,WPP,1.86
-71.02508341,42.47966229,WPP,1.875
-71.06594804,42.52475475,WPP,1.188
-71.00682261,42.47228295,WPP,0.96
-70.7636231,42.58004022,WPP,0.775
-70.76491831,42.58035633,WPP,0.69
-70.87925085,42.11232662,WPP,1.48
-70.89536679,42.1055521,WPP,6.0200000000000005
-70.90927444,42.10912662,WPP,1
-71.29133543,41.95002381,WPP,0.576
-71.33840362,42.00286304,WPP,0.7333333333333334
-70.82006123,42.10540565,WPP,1.294
-70.80841733,42.10734882,WPP,1.126
-70.78863391,42.16028331,WPP,0.77
-72.75717252,42.02715395,WPP,1.3833333333333333
-72.76361682,42.0147182,WPP,0.5016666666666667
-70.84525352,42.00459582,WPP,0.906896551724138
-70.85192974,42.01781072,WPP,1.7
-70.83678103,42.00146724,WPP,0.5541176470588235
-70.83660527,42.01439472,WPP,0.6030434782608696
-70.83407853,42.01377012,WPP,1.8444444444444443
-71.11554731,42.07840473,WPP,0.56
-71.11913351,41.95142643,WPP,0.24666666666666667
-71.3520429,42.06605001,WPP,0.5583333333333333
-71.14749048,42.6539503,WPP,1.255
-71.64556281,42.45586034,WPP,0.48
-71.62035616,42.57506071,WPP,0.432
-71.58861709,42.57946682,WPP,0.678
-71.62097756,42.55197544,WPP,2.3499999999999996
-72.07108074,42.17302268,WPP,0.325
-72.17469434,42.32097918,WPP,0.432
-72.21589977,42.28485171,WPP,0.504
-72.24555871,42.21007678,WPP,0.474
-72.33476023,42.24326567,WPP,0.162
-72.34642165,42.2107065,WPP,0.152
-72.34600381,42.17314464,WPP,0.544
-71.73011265,42.18086003,WPP,4.42
-71.5384768,42.01664829,WPP,2.4
-72.51019767,42.16060737,WPP,0.524
-72.42316427,42.15694144,WPP,0.516
-72.37458989,42.17771167,WPP,0.604
-72.0163834,42.23246451,WPP,0.47
-72.04999618,42.22570961,WPP,0.33
-72.07374903,42.2449869,WPP,9.34
-72.07474353,42.25059047,WPP,0.72
-72.58479003,42.4675985,WPP,0.436
-72.54911946,42.54256341,WPP,0.294
-72.5503928,42.38639934,WPP,0.8688888888888889
-72.57858317,42.33278638,WPP,0.4877777777777778
-72.58689462,42.27015317,WPP,0.504
-72.42726497,42.28189876,WPP,2.168888888888889
-72.60488814,42.36655405,WPP,0.6633333333333333
-72.61893594,42.47836238,WPP,0.9877777777777778
-72.64060074,42.28349688,WPP,0.9044444444444444
-72.43188682,42.30619738,WPP,0.355
-70.82611145,42.02849624,WPP,0.836
-71.15765018,42.46963022,WPP,0.396
-70.55598017,41.90533067,WPP,0.31833333333333336
-70.82255737,42.05376314,WPP,0.595
-73.36572655,42.22630117,WPP,0.408
-73.35976951,42.1439533,WPP,1.026
-73.35486942,42.23176916,WPP,1.146
-73.35974157,42.27559351,WPP,1.286
-73.24001093,42.28463575,WPP,1.818
-73.24553172,42.3447034,WPP,2.38
-73.24040084,42.39403803,WPP,3.22
-73.23875622,42.42992197,WPP,0.942
-73.2495137,42.43543023,WPP,1.23
-73.2389525,42.29472214,WPP,0.25
-73.37925653,42.17937551,WPP,0.612
-73.35102043,42.11411457,WPP,0.43
-73.25110436,42.27042046,WPP,0.306
-73.1513593,42.56297435,WPP,0.28400000000000003
-73.10401557,42.61555021,WPP,0.74
-73.09265888,42.70282919,WPP,1.032
-73.070872,42.73458234,WPP,0.4125
-73.17415789,42.70247111,WPP,0.9325
-73.20907615,42.72935227,WPP,1.0275
-73.23043812,42.67641159,WPP,0.688
-73.22485795,42.62919087,WPP,1.134
-73.19643748,42.70927484,WPP,0.785
-73.17003087,42.70090716,WPP,0.33
-71.35867289,42.13828143,WPP,3.02
-71.35172497,42.21006156,WPP,2.3
-71.32538186,42.26439957,WPP,1.56
-71.25439259,42.32584268,WPP,0.8280000000000001
-71.26256067,42.25781415,WPP,1.21
-71.47958751,42.09620732,WPP,1.19
-71.19710167,42.39554541,WPP,1.27
-71.2078492,42.38300416,WPP,1.12
-71.43065489,42.12453197,WPP,0.6
-71.30503034,42.12911182,WPP,0.796
-71.30280984,42.15866554,WPP,1.04
-71.24624794,42.31931329,WPP,1.56
-71.27033164,42.36795531,WPP,0.622
-70.44185472,41.648757,WPP,0.7000000000000001
-71.14158508,42.45289418,WPP,1.538
-70.09062853,41.71377641,WPP,0.8025
-70.08362602,41.70944255,WPP,1.6
-71.78210772,42.20864325,WPP,0.892
-71.70488014,42.18223431,WPP,4.3
-71.68788468,42.17728889,WPP,3.1999999999999997
-71.68057473,42.17384662,WPP,3.18
-71.63645321,42.12965013,WPP,3.4
-71.61966359,42.07985489,WPP,3.22
-71.78097604,42.20640574,WPP,5.88
-71.78074977,42.20595608,WPP,2.2
-70.11521079,41.72579571,WPP,0.2866666666666667
-71.75867408,42.29062266,WPP,0.878
-71.70914571,42.66344944,WPP,0.592
-71.84807799,42.05363901,WPP,0.66
-70.48391147,41.65691189,WPP,0.6116666666666667
-72.01523098,42.69531938,WPP,0.304
-72.24048032,42.59807107,WPP,0.384
-72.12740808,42.57190512,WPP,0.56
-72.02012671,42.67430922,WPP,0.712
-72.77584847,42.50846668,WPP,0.5033333333333333
-72.46385773,42.57224827,WPP,0.266
-72.43788014,42.58035292,WPP,0.26
-72.36116622,42.59405647,WPP,0.148
-72.25160557,42.63523154,WPP,0.318
-72.21159391,42.68498467,WPP,0.38
-72.23836198,42.61446662,WPP,0.462
-72.39951141,42.60245737,WPP,0.2725
-72.71885779,42.66988592,WPP,0.295
-72.72298808,42.66589546,WPP,0.24
-72.74702067,42.5040765,WPP,0.2225
-72.7542118,42.4841721,WPP,0.22833333333333333
-71.03319491,41.69283317,WPP,0.48
-71.00445926,41.70943898,WPP,1.2
-71.02512143,41.66995111,WPP,0.71
-71.05122871,41.63101976,WPP,0.66
-71.05967996,41.620936,WPP,1.0025
-71.07161149,41.6534391,WPP,1.258
-71.0626189,41.63417275,WPP,1.446
-71.07853485,41.58837385,WPP,1.5125
-71.07337053,41.60050153,WPP,1.3725
-71.10519746,41.55048715,WPP,3.9
-70.98483042,41.63949244,WPP,0.905
-70.99038519,41.58579649,WPP,0.8300000000000001
-70.95890599,41.6015685,WPP,2.15
-70.9535974,41.6320637,WPP,0.99
-70.9189306,41.68195427,WPP,1.185
-70.91417526,41.6962772,WPP,0.9075
-70.84312803,41.70573322,WPP,1.024
-70.83639194,41.65978485,WPP,0.818
-70.77145151,41.82944027,WPP,0.852
-70.7544982,41.77019551,WPP,0.706
-70.77498583,41.7342588,WPP,0.68
-70.77191491,41.69308803,WPP,1.12
-70.7716652,41.68878515,WPP,2.3499999999999996
-71.19306072,42.59966289,WPP,0.93
-71.19940031,42.62887805,WPP,1.4275
-70.86183476,42.65837905,WPP,0.5599999999999999
-72.60535567,41.98731263,WPP,0.5475
-71.03355135,41.69276793,WPP,1.2
-71.84822737,42.26230119,WPP,0.486
-71.60365362,42.12765753,WPP,0.656
-71.62792867,42.17268159,WPP,0.468
-73.06197898,42.07043228,WPP,0.335
-73.13269316,42.25967399,WPP,0.405
-73.10016182,42.18603661,WPP,0.455
-72.93953408,42.41095836,WPP,0.4275
-72.94869942,42.25418274,WPP,0.1573125
-72.75434911,42.13083697,WPP,0.33444444444444443
-72.72435552,42.11652506,WPP,0.6239285714285714
-72.69776972,42.10632704,WPP,0.595
-71.63224204,42.27406018,WPP,0.63
-71.63858701,42.28350805,WPP,4.7
-71.63553499,42.32036993,WPP,2.9250000000000003
-71.63006336,42.32949677,WPP,2.625
-71.61641,42.34151216,WPP,2.05
-71.61460331,42.3465007,WPP,2.925
-71.58613633,42.38030934,WPP,2.525
-71.54598569,42.39979789,WPP,3.25
-71.52654108,42.40462155,WPP,3.2
-71.50844219,42.41163442,WPP,2.5
-71.474721829999993,42.4231785,WPP,2.35
-71.42935628,42.44086923,WPP,1.4500000000000002
-71.39498427,42.3386459,WPP,0.765
-71.36805603,42.44111379,WPP,0.84
-71.34989446,42.47116456,WPP,1.35
-71.31411783,42.50902782,WPP,1.425
-71.29952957,42.53488992,WPP,1.4
-71.28252509,42.55747509,WPP,1.2999999999999998
-71.28718593,42.58482438,WPP,1.1
-71.30284563,42.64172611,WPP,1.2973333333333332
-71.33253012,42.57826214,WPP,0.7475
-71.30119731,42.63380122,WPP,0.945
-71.01406198,42.07936711,WPP,1.1422222222222222
-71.00930657,42.07964645,WPP,1.78
-71.00977821,42.05376462,WPP,1.458888888888889
-70.98465422,42.03776122,WPP,2.02
-70.98603732,42.08153842,WPP,0.9625
-70.97074029,42.04550631,WPP,1.22
-70.96656207,42.03148922,WPP,1.185
-70.9505329,42.02160209,WPP,0.8885714285714286
-70.97065835,42.03108873,WPP,6.775
-70.93768479,41.99937253,WPP,3.2555555555555555
-70.9397646,41.99258858,WPP,3.925
-70.98734776,41.93629311,WPP,1.4177777777777778
-71.02994049,41.88611169,WPP,1.3377777777777775
-71.1950417,42.06332498,WPP,0.615
-71.21586808,42.0629044,WPP,0.49
-71.22159533,42.01241069,WPP,0.75
-71.13411655,41.88590512,WPP,0.75
-70.80924461,42.11721557,WPP,1.4
-70.77968605,42.1918378,WPP,1.625
-70.74803083,42.17667032,WPP,0.905
-70.66398316,41.95436218,WPP,0.826
-70.73411426,41.99075214,WPP,0.744
-70.84860507,42.09611122,WPP,2
-70.71789649,42.09449426,WPP,0.76
-70.92938807,42.57421165,WPP,1.4
-70.94474512,42.56745044,WPP,1.518
-70.81029863,42.56289945,WPP,1.364
-70.84839351,42.56181929,WPP,1.238
-70.86465857,42.85004383,WPP,0.944
-71.02759475,42.49547353,WPP,0.9625
-70.79312269,42.62587325,WPP,0.7033333333333334
-73.22601093,42.71698762,WPP,0.52
-73.10381504,42.62352837,WPP,0.54
-73.15602051,42.5618409,WPP,0.496
-73.10788165,42.63964638,WPP,0.6625000000000001
-73.167770290000007,42.70300585,WPP,0.72
-73.20646698,42.7358265,WPP,0.868
-73.22483259,42.62860937,WPP,1.186
-73.21148309,42.67792696,WPP,0.658
-73.21036889,42.67786326,WPP,0.984
-73.31705757,42.54233667,WPP,0.86
-73.35223003,42.11302905,WPP,0.4
-73.38113211,42.30142427,WPP,0.332
-73.33437114,42.30190509,WPP,0.324
-73.22544541,42.42448531,WPP,0.414
-73.24079273,42.32836092,WPP,0.294
-73.34872974,42.05873805,WPP,0.888
-73.14844847,42.48426175,WPP,0.538
-73.23476863,42.17339594,WPP,0.264
-73.25654237,42.46948757,WPP,0.432
-73.14121003,42.47369635,WPP,0.484
-73.2666178,42.43958522,WPP,0.486
-73.26046405,42.44203653,WPP,0.454
-71.30781311,41.95326227,WPP,1.5
-72.63699267,42.45655696,WPP,0.308
-71.3474734,41.98856171,WPP,0.84
-71.33453815,41.97762993,WPP,0.7766666666666667
-71.3252761,42.30510355,WPP,0.8260000000000001
-71.42713966,42.15140376,WPP,0.656
-71.44602039,42.13445842,WPP,0.836
-71.5155242,42.13103033,WPP,1.36
-71.33022096,42.19598069,WPP,1.452
-71.33009248,42.25505525,WPP,0.774
-71.43283604,42.09047755,WPP,0.592
-71.40927393,42.22237155,WPP,0.995
-71.26662505,42.34154459,WPP,2.25
-73.29638783,42.5579253,WPP,0.85
-71.50839357,42.17383927,WPP,1.215
-73.21844343,42.73466428,WPP,1.402
-71.30844976,41.95661339,WPP,4.35
-71.56822441,42.02194765,WPP,1.95
-73.11514764,42.70239186,WPP,1.1
-70.61444757,41.81882453,WPP,1.14
-70.61803486,41.81963769,WPP,0.165
-70.61697112,41.81779985,WPP,0.65
-73.10486028,42.63940984,WPP,0.43
-72.78754421,42.12163674,WPP,1.4
-72.25046754,42.25727529,WPP,0.528
-71.31726139,42.17245221,WPP,1.1
-72.15953425,42.34007232,WPP,0.502
-72.69383159,42.18432523,WPP,0.8966666666666667
-71.7626168,42.30377694,WPP,0.966
-72.22875627,42.21273236,WPP,0.414
-71.62194682,42.0448378,WPP,0.34
-71.48547213,42.02727016,WPP,1.96
-71.74620407,42.28029336,WPP,0.494
-71.64793794,42.18115577,WPP,0.752
-71.5191956,42.09326799,WPP,0.898
-71.74088627,42.32499793,WPP,0.386
-71.5344052,42.0193983,WPP,1.208
-71.75182267,42.19289465,WPP,3.9
-71.63971462,42.13913312,WPP,3.3
-71.61629976,42.05495698,WPP,2.6
-71.54548172,42.01686344,WPP,2.74
-71.76604587,42.18277682,WPP,0.536
-71.65065318,42.07884462,WPP,0.59
-71.71206258,42.18498134,WPP,0.964
-71.55765871,41.99661131,WPP,0.508
-71.51035869,42.01238549,WPP,0.926
-71.49304478,42.01550267,WPP,1.11
-72.54970791,42.62272904,WPP,0.504
-71.62256481,42.0977551,WPP,3.3000000000000003
-71.83355874,42.57574839,WPP,1.206
-71.67387723,42.45138358,WPP,2.025
-72.54988746,42.62058327,WPP,0.622
-72.48171021,42.37833321,WPP,0.26
-72.61557336,42.33649913,WPP,0.452
-72.49771159,42.64201567,WPP,0.498
-72.56911519,42.0941279,WPP,0.9955555555555556
-72.72427576,42.21445745,WPP,1.56
-72.64354654,42.46068291,WPP,0.214
-72.45399124,42.04831597,WPP,0.436
-72.55943838,42.25114445,WPP,0.662
-72.44986375,42.27107608,WPP,0.6940000000000001
-72.58037808,42.24704007,WPP,0.614
-72.70536039,42.24110163,WPP,0.616
-72.58362237,42.03629979,WPP,1.3666666666666667
-72.64150009,42.46908025,WPP,0.382
-72.66514075,42.31899322,WPP,0.48
-72.69715369,42.26682544,WPP,0.676
-72.59881607,42.19117381,WPP,2.06
-72.47374624,42.6853667,WPP,0.412
-72.49358561,42.34204868,WPP,0.516
-72.5456543,42.43425873,WPP,0.305
-72.47760491,42.61633757,WPP,0.132
-72.52065447,42.35565015,WPP,0.394
-72.431373,42.34968275,WPP,0.378
-71.90236498,42.58212265,WPP,0.406
-71.87067955,42.60819171,WPP,0.326
-71.65737327,42.5442135,WPP,0.412
-71.61061607,42.56211361,WPP,0.452
-71.61144559,42.69634164,WPP,0.474
-71.77580729,42.36415125,WPP,1.2
-71.79549474,42.38125225,WPP,0.71
-71.747781,42.34126384,WPP,1.24
-71.7911169,42.41077382,WPP,0.5
-71.73427771,42.61730324,WPP,0.506
-71.98179294,42.40886407,WPP,0.316
-71.57792062,42.5300897,WPP,0.454
-71.75727365,42.67718733,WPP,0.276
-72.08027064,42.39041919,WPP,0.394
-71.95072628,42.45425813,WPP,0.364
-72.05266962,42.43628983,WPP,0.298
-72.16222662,42.37234805,WPP,0.52
-72.09700725,42.40832317,WPP,0.63
-72.31002915,42.1313561,WPP,0.56
-72.26179872,42.15339532,WPP,0.238
-72.39955719,42.14820727,WPP,0.47
-72.40009284,42.14809093,WPP,0.392
-72.37948614,42.27043014,WPP,0.42333333333333334
-72.20699625,42.31216549,WPP,0.9433333333333334
-71.97580482,42.48097521,WPP,0.5
-72.31065881,42.08471748,WPP,0.356
-72.26845965,42.16171173,WPP,0.2723076923076923
-72.54519788,42.1445662,WPP,2.48
-72.21195504,42.31010851,WPP,0.478
-72.26392886,42.19324712,WPP,0.502
-72.11409938,42.38036324,WPP,0.436
-72.04470535,42.22388111,WPP,0.672
-72.30748854,42.12431568,WPP,0.554
-72.31865025,42.20455082,WPP,0.544
-72.07824828,42.21540546,WPP,0.7899999999999999
-72.39284073,42.28281296,WPP,0.412
-72.36400692,42.17981897,WPP,0.55
-72.0084457,42.24999541,WPP,0.424
-70.55747801,41.92672114,WPP,0.58
-70.56287923,41.92302002,WPP,0.44
-72.45647808,42.04351371,WPP,0.716
-70.68100103,41.93483006,WPP,0.6839999999999999
-70.69524316,41.93080045,WPP,1.2083333333333337
-70.69384954,41.9306322,WPP,0.43
-72.70605094,42.2636059,WPP,0.346
-70.68195765,41.93064771,WPP,0.44
-70.67333318,41.92668346,WPP,0.41
-70.69057629,41.93817403,WPP,2.4
-70.68312626,41.94300928,WPP,0.24
-72.23011415,42.36091839,WPP,0.516
-71.78775079,42.20541014,WPP,0.735
-71.570541360000007,42.02271855,WPP,1.8896969696969697
-70.61210594,41.80715897,WPP,0.24
-71.78525885,42.21303845,WPP,10.575
-71.28535834,41.92703603,WPP,1.88
-70.5715037,41.59856913,WPP,0.424
-70.57371153,41.57788714,WPP,0.618
-70.56303402,41.58541732,WPP,0.918
-70.52492481,41.59313825,WPP,1.366
-70.50057773,41.61775265,WPP,0.48
-70.48044452,41.62155057,WPP,0.492
-70.45079252,41.62787592,WPP,1.22
-70.42629074,41.6265396,WPP,0.856
-70.32215147,41.63908545,WPP,1.9
-70.02997037,41.95939363,WPP,0.29200000000000004
-70.04439452,41.94782454,WPP,1.982
-70.03491965,41.67499677,WPP,1.16
-70.09473405,41.68630943,WPP,0.6639999999999999
-70.11531913,41.69515999,WPP,0.53
-70.10432817,41.75748096,WPP,0.836
-70.20055785,41.73633752,WPP,1.16
-70.22372741,41.70487343,WPP,1.22
-70.26107753,41.66168571,WPP,1.12
-70.14531439,41.74327077,WPP,0.892
-71.18594357,42.1718706,WPP,0.768
-71.12456936,42.24989528,WPP,0.886
-71.08658191,42.2693424,WPP,0.9575
-71.26694884,42.20894589,WPP,1.84
-71.27966147,42.19362053,WPP,0.9525
-71.22345227,42.18650673,WPP,1.8666666666666667
-71.25588873,42.14711935,WPP,0.635
-71.11240912,42.15206107,WPP,0.636
-71.14906792,42.19275388,WPP,0.8320000000000001
-71.12953409,42.25062143,WPP,0.794
-71.2533023,42.14824516,WPP,0.484
-71.25755521,41.88730128,WPP,0.638
-71.3297127,41.83066674,WPP,1.11
-71.28898153,41.83504629,WPP,1.014
-71.26498004,41.88521922,WPP,0.594
-71.25551885,41.84689238,WPP,0.654
-71.23263553,41.838662,WPP,0.6880000000000001
-71.28901738,41.78126268,WPP,1.36
-71.25130236,41.74691378,WPP,1.6
