Long,Lat,dataset,NO3,TN
-72.942020779999993,42.03904812,WPP,0.169,0.2425
-73.47506697,42.08930109,WPP,0.1815,0.22
-71.20083966,41.94672655,WPP,0.1498,0.486
-72.39305406,42.62069634,WPP,0.08,0.25
-72.46510155,42.38033448,WPP,0.2325,0.345
-72.49190917,42.44704256,WPP,0.15333333333333332,0.36
-72.45260735,42.45007437,WPP,0.2915,0.39
-72.15673762,42.46777728,WPP,0.042,0.23
-72.04115765,42.43953233,WPP,0.0675,0.32
-72.04487072,42.20154773,WPP,0.04,0.52
-72.09627321,42.05048837,WPP,0.0485,0.3225
-71.7950707,42.07493076,WPP,0.04725,0.32
-71.65201157,42.04529263,WPP,0.0845,0.39
-71.62720825,42.18795491,WPP,0.22,0.4925
-72.998461,42.51804,WPP,0.06275,0.1925
-72.99462504,42.44139459,WPP,0.08175,0.1975
-73.1068034,42.33220916,WPP,0.06974999999999999,0.2175
-71.2424628,41.95851534,WPP,0.43666666666666665,0.9333333333333332
-71.07593377,41.77800443,WPP,0.07975,0.4125
-70.76850844,42.18764862,WPP,0.14500000000000002,1.1
-70.83275,42.19862254,WPP,0.11,0.8125
-71.092186,41.508049,BBC,0.3963981,1.09224695055
-70.961853,41.600978,BBC,0.8983890087290323,1.476054279
-70.688604,41.763453,BBC,0.0683083555,0.7588599744847059
-70.702375,41.763612,BBC,0.0586108908,0.78633687195
-70.67575,41.76261,BBC,0.00900140483617021,0.43892928163
-70.919456,41.684545,BBC,0.313827138485,0.9316494747
-70.91673,41.678494,BBC,0.4589569006105263,1.1662674348888888
-70.914166,41.696408,BBC,0.3094847343415842,0.9546719365948454
-70.906013,41.73811,BBC,0.02400409832386363,0.6823509245
-71.159266,41.477378,BBC,0.00350175,1.0288897878
-71.16685,41.484079,BBC,0.1134567,0.8946322259
-70.955893,41.604595,BBC,1.2598795695876923,1.9962018021
-70.953747,41.631943,BBC,0.02725915299767442,1.9023778065697672
-71.073583,41.561934,BBC,0.1321728534,1.155739631025
-70.819502,41.657605,BBC,0.008516256,0.558823272
-70.821956,41.655337,BBC,0.014903448,0.5715262203
-70.653062,41.561375,BBC,0.0057998985,1.5953069215
-70.649209,41.566122,BBC,0.00626996614363636,2.378954698292308
-70.633754,41.623028,BBC,0.1936257645,0.6614735715
-70.63095,41.622537,BBC,0.3965779899,0.861867308295
-70.803695,41.747371,BBC,0.06280952725090909,0.74901900234
-70.795771,41.734885,BBC,0.05654037606,0.73289470422
-70.794137,41.733924,BBC,0.03093124612941176,0.735290909724
-70.722141,41.767448,BBC,0.01064831719677419,0.4000458922153846
-70.834282,41.657125,BBC,0.1952354264,0.8946590943662791
-71.059734,41.621049,BBC,0.4450663207148148,1.3375737776625
-70.868114,41.639125,BBC,0.26201942424,1.3034610715
-70.871864,41.642827,BBC,0.54302255559,1.3159030021014706
-70.870896,41.640893,BBC,0.61627330933,1.2348812217
-70.990227,41.585764,BBC,0.3931010230170732,1.3867910844607596
-70.608142,41.677803,BBC,0.02282956362272727,0.61493181225
-70.610341,41.676337,BBC,0.0058941456,0.3539064648
-70.61113,41.677514,BBC,0.0091101528,0.4267722795
-70.63355,41.764426,BBC,0.7175008155666667,1.0819496155666668
-70.635237,41.766773,BBC,0.296292293444,0.5789074171621622
-70.823947,41.66576,BBC,0.34819446938450704,1.07141654055
-70.617183,41.816615,BBC,0.0101055252375,1.1510355551625
-70.61745,41.808661,BBC,0.01400069685,0.9486316788
-70.630846,41.803762,BBC,0.0066279373125,0.7090217337
-70.747559999999993,41.765299,BBC,0.1888710642,0.9096873826481928
-70.42362778,41.66710556,USGS,0.7935806451612903,1.198076923076923
