Long,Lat,dataset,NO3
-70.89995609,42.05820916,WPP,0.139
-70.89846196,42.04238758,WPP,0.13014285714285714
-71.29133543,41.95002381,WPP,0.248
-71.33840362,42.00286304,WPP,0.5966666666666667
-70.78863391,42.16028331,WPP,0.2
-71.62097756,42.55197544,WPP,1.7
-71.73011265,42.18086003,WPP,1.144
-71.5384768,42.01664829,WPP,1.386
-72.5503928,42.38639934,WPP,0.6849999999999999
-72.57858317,42.33278638,WPP,0.2975
-72.42726497,42.28189876,WPP,0.64
-72.60488814,42.36655405,WPP,0.405
-72.61893594,42.47836238,WPP,0.5875
-72.64060074,42.28349688,WPP,0.4525
-71.35867289,42.13828143,WPP,2.26
-71.35172497,42.21006156,WPP,1.522
-71.32538186,42.26439957,WPP,0.924
-71.25439259,42.32584268,WPP,0.314
-71.26256067,42.25781415,WPP,0.65
-71.47958751,42.09620732,WPP,0.808
-71.19710167,42.39554541,WPP,0.72
-71.2078492,42.38300416,WPP,0.504
-71.43065489,42.12453197,WPP,0.06999999999999999
-71.30503034,42.12911182,WPP,0.122
-71.30280984,42.15866554,WPP,0.548
-71.24624794,42.31931329,WPP,0.97
-71.27033164,42.36795531,WPP,0.29400000000000004
-71.78210772,42.20864325,WPP,0.366
-71.70488014,42.18223431,WPP,1.686
-71.68788468,42.17728889,WPP,1.428
-71.68057473,42.17384662,WPP,1.478
-71.63645321,42.12965013,WPP,1.632
-71.61966359,42.07985489,WPP,1.7120000000000002
-71.78097604,42.20640574,WPP,1.57
-71.78074977,42.20595608,WPP,0.4
-72.7542118,42.4841721,WPP,0.07815384615384616
-72.93953408,42.41095836,WPP,0.22
-72.94869942,42.25418274,WPP,0.08600000000000001
-72.75434911,42.13083697,WPP,0.158
-71.63224204,42.27406018,WPP,0.395
-71.63858701,42.28350805,WPP,4.15
-71.63553499,42.32036993,WPP,2.55
-71.63006336,42.32949677,WPP,2.3
-71.61641,42.34151216,WPP,1.8
-71.61460331,42.3465007,WPP,2.6
-71.58613633,42.38030934,WPP,2.2
-71.54598569,42.39979789,WPP,2.45
-71.52654108,42.40462155,WPP,3.55
-71.50844219,42.41163442,WPP,2.5
-71.474721829999993,42.4231785,WPP,2.5
-71.39498427,42.3386459,WPP,0.225
-71.36805603,42.44111379,WPP,0.12
-71.34989446,42.47116456,WPP,0.99
-71.31411783,42.50902782,WPP,0.88
-71.29952957,42.53488992,WPP,0.86
-71.28252509,42.55747509,WPP,0.64
-71.30284563,42.64172611,WPP,0.7384615384615385
-71.33253012,42.57826214,WPP,0.02
-71.30119731,42.63380122,WPP,0.52
-71.01406198,42.07936711,WPP,0.6
-71.00930657,42.07964645,WPP,0.89
-71.00977821,42.05376462,WPP,0.754
-70.98465422,42.03776122,WPP,1.308
-70.97074029,42.04550631,WPP,0.7
-70.96656207,42.03148922,WPP,0.49750000000000005
-70.9505329,42.02160209,WPP,0.3375
-70.93768479,41.99937253,WPP,1.224
-70.98734776,41.93629311,WPP,0.552
-71.02994049,41.88611169,WPP,0.496
-71.13411655,41.88590512,WPP,0.365
-71.30781311,41.95326227,WPP,0.68
-72.63699267,42.45655696,WPP,0.108
-71.3474734,41.98856171,WPP,0.11
-71.33453815,41.97762993,WPP,0.43333333333333335
-71.3252761,42.30510355,WPP,0.486
-71.42713966,42.15140376,WPP,0.17
