SUBW_NAME,ele5pct,Travel_Tim,COVERNAME_,COVERNAME_Bare Land,COVERNAME_Cultivated,COVERNAME_Deciduous Forest,COVERNAME_Developed Open Space,COVERNAME_Estaurine Aquatic bed,COVERNAME_Estuarine Emergent Wetland,COVERNAME_Estuarine Forested Wetland,COVERNAME_Estuarine Scrub/Shrub Wetland,COVERNAME_Evergreen Forest,COVERNAME_Grassland,COVERNAME_Impervious,COVERNAME_Palustrine Aquatic Bed,COVERNAME_Palustrine Emergent Wetland,COVERNAME_Palustrine Forested Wetland,COVERNAME_Palustrine Scrub/Shrub Wetland,COVERNAME_Pasture/Hay,COVERNAME_Scrub/Shrub,COVERNAME_Unconsolidated Shore,COVERNAME_Water,USEGENNAME_,USEGENNAME_Agriculture,USEGENNAME_Commercial,USEGENNAME_Forest,USEGENNAME_Industrial,"USEGENNAME_Mixed use, other","USEGENNAME_Mixed use, primarily commercial","USEGENNAME_Mixed use, primarily residential",USEGENNAME_Open land,USEGENNAME_Recreation,USEGENNAME_Residential - multi-family,USEGENNAME_Residential - other,USEGENNAME_Residential - single family,USEGENNAME_Right-of-way,USEGENNAME_Tax exempt,USEGENNAME_Unknown,USEGENNAME_Water
AgawamReservoirN,GT5%,GT10,0.0,2530.4560126567085,0.0,53980.961455764045,2470.3516204384664,0.0,0.0,0.0,0.0,189976.17014929274,26147.69695887025,5678.609473867812,0.0,0.0,0.0,0.0,0.0,13007.876510873977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31506.629976762968,36825.42642465428,0.0,0.0,0.0,218345.02375868068,0.0,7115.042021666047,0.0,0.0
AgawamReservoirN,GT5%,LT10,0.0,78649.03025403435,6717.653396993483,84126.84168624268,2011.8345497135424,0.0,0.0,0.0,0.0,363049.21722777234,90417.76964168444,32516.78154543726,1107.7066977890147,0.0,0.0,0.0,0.0,29393.61359216194,0.0,1004.1583827223059,0.0,185737.07246389423,0.0,0.0,0.0,15607.929253251341,0.0,89059.39160259198,68304.4009827283,19745.578732559254,0.0,0.0,154558.6507139479,519.806665618343,155461.77655996007,0.0,0.0
AgawamReservoirN,LE5%,LT10,0.0,43.641627197063386,166.6982077373242,504.5008124066137,0.0,0.0,0.0,0.0,0.0,796.2740590376253,238.96577592230545,0.0,1718.5289984930112,0.0,0.0,0.0,0.0,56.94979045158574,0.0,72340.452321319,0.0,736.1033849520235,0.0,0.0,0.0,75087.39175885814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.51644875435869,0.0,0.0
AgawamReservoirS,GT5%,GT10,0.0,161.45105040310105,0.0,81194.01412482544,5673.706019216381,0.0,0.0,0.0,0.0,529307.5100709804,34970.49638069117,15024.36890959045,3563.79929869236,204.93304708475827,0.0,0.0,0.0,4935.895553294234,0.0,7004.793406095519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682040.9678608738,0.0,0.0,0.0,0.0
AgawamReservoirS,GT5%,LT10,0.0,78805.02698039469,16976.529484274033,1119119.3061604747,37261.50300009527,0.0,0.0,0.0,0.0,2903290.9995146203,647182.1168266007,87177.64505392118,13761.269043826558,16371.405657566414,22652.61557980351,20646.623885923553,0.0,949310.8506651026,0.0,13418.106976830157,0.0,394707.72120476764,1192.5996870625438,105205.99371906026,0.0,575219.6309963559,0.0,20134.226787123138,49962.7065217141,608.3324853074222,0.0,0.0,2901534.6179220336,26414.119991062602,1850994.049514946,0.0,0.0
AgawamReservoirS,LE5%,LT10,0.0,7166.013372783366,168378.37059043517,38169.006222529395,540.4131023049898,0.0,0.0,0.0,0.0,40553.78596442551,26309.199541880924,4054.6079703709174,30283.12092798976,16413.14802004375,83233.8027194612,18054.376842291607,0.0,532.4505909728598,0.0,146649.00435997694,0.0,7858.647445878517,0.0,1444.9179908814467,0.0,570206.2956470415,0.0,0.0,0.0,0.0,0.0,0.0,28.12971552689681,273.96189297432073,525.3475331636771,0.0,0.0
AgawamRiver,GT5%,LT10,0.0,172229.11614532344,98650.9108310846,1116789.0778021174,837159.8634803869,0.0,388636.61224628426,0.0,0.0,1455521.19118067,179376.40726554376,1094869.781665227,21885.470949474093,60550.74791043585,416347.45534284593,135881.25853743797,0.0,77574.21213443628,81.08135108329925,56282.53774849489,0.0,382061.1885523826,410735.4636824116,0.0,83164.47641728655,0.0,0.0,22795.95208555414,1669581.0420187388,0.0,617177.8858029122,0.0,1385863.019143809,714699.780971249,551252.300793169,271625.61599254754,2878.999130785432
AgawamRiver,LE5%,LT10,0.0,2177.552102840154,0.0,8952.419499270904,1459.2932947605543,0.0,44640.96204955851,0.0,0.0,1472.3257984882728,959.1988282792579,4105.137422577853,1412.7833212762412,243.75745510462457,3397.891872047907,1008.7360688647447,0.0,866.9305719613212,862.6148782447559,708198.917572984,0.0,21.479004536747677,4290.641323354762,0.0,1284.9604505583877,0.0,0.0,1104.9153569855082,47593.20707215687,0.0,6637.538707384893,0.0,16660.90998997839,8142.882354553575,8305.026536900514,676286.1474019707,9430.812537878703
AgawamRiverNorth,GT5%,LT10,0.0,16830.1564007738,639.0470422331983,290743.9376625163,22188.657054395913,0.0,0.0,0.0,0.0,1097880.1068282865,208114.01972825362,32158.060767253708,11.187166659949407,10680.09468893157,11499.635090221649,2562.568982679026,0.0,92685.03244255426,0.0,13601.467868584132,0.0,69428.0455103146,0.0,0.0,0.0,0.0,0.0,406824.77821144706,252107.1249060304,13043.390856434215,48226.95416931427,0.0,935285.4878204769,7389.896408306172,67288.29384102007,0.0,0.0
AgawamRiverNorth,LE5%,LT10,0.0,8690.040960000651,53232.893542524216,5755.518158049966,82.72072871397285,0.0,0.0,0.0,0.0,1318.1838931935913,9357.12250197498,368.46922425583864,3937.5139112835236,1219.9771466246502,20715.100732241026,2490.646973073504,0.0,1.9548916851412192,0.0,1977.5075418126348,0.0,81915.2164462157,0.0,0.0,0.0,0.0,0.0,0.0,24359.44887089669,0.0,0.0,0.0,1333.641915994534,1537.996405180606,1.346567146164251,0.0,0.0
