dataset,Lat,Long,NO3,TN
PSW,41.91024793,-70.00518047,0.47,NA
PSW,41.91024793,-70.00518047,0.28,NA
PSW,41.92633568,-70.00514768,3.49,NA
PSW,41.93307123,-70.03709428,1.9,NA
PSW,41.95772961,-70.02240744,0.44,NA
PSW,42.02969487,-70.07473201,0.39,NA
PSW,42.04437676,-70.10468331,0.68,NA
PSW,41.613882,-70.517085,0.23,NA
PSW,41.614,-70.52,0.23,NA
PSW,41.933079,-70.037296,1.77,NA
PSW,41.910248,-70.00518,0.67,NA
PSW,41.915,-70.01,0.67,NA
PSW,41.92,-70.0105,0.67,NA
PSW,41.933098,-70.008525,0,NA
PSW,41.933824,-70.00765,0,NA
PSW,41.59483714,-70.48772421,0,NA
PSW,41.60161075,-70.50759152,0,NA
PSW,41.61026745,-70.48772427,0,NA
PSW,41.61030936,-70.48756427,0,NA
PSW,41.61758092,-70.58816866,0,NA
PSW,41.61793847,-70.58875347,0,NA
PSW,41.61775516,-70.55007356,0,NA
PSW,41.62051896,-70.56149188,0,NA
PSW,41.62065464,-70.56022614,0,NA
PSW,41.62067815,-70.56105054,0,NA
PSW,41.62088693,-70.56231482,0,NA
PSW,41.62157072,-70.56173718,0,NA
PSW,41.62390035,-70.56264861,0,NA
PSW,41.63293454,-70.46834572,0,NA
PSW,41.63579694,-70.39055116,0,NA
PSW,41.63579694,-70.39055116,0,NA
PSW,41.64042881,-70.5024612,0,NA
PSW,41.64461945,-70.44143691,0,NA
PSW,41.64518305,-70.30971619,0,NA
PSW,41.65365432,-70.49404154,0,NA
PSW,41.65777938,-70.43722767,0,NA
PSW,41.66055987,-70.49460645,0,NA
PSW,41.66079717,-70.49318701,0,NA
PSW,41.6617774,-70.4920958,0,NA
PSW,41.66241327,-70.46008341,0,NA
PSW,41.6611214,-70.27202594,0,NA
PSW,41.66114416,-70.27330018,0,NA
PSW,41.66362506,-70.44597833,0,NA
PSW,41.66371912,-70.44550098,0,NA
PSW,41.67053821,-70.23619762,0,NA
PSW,41.67108933,-70.2034071,0,NA
PSW,41.67147467,-70.11695628,0,NA
PSW,41.67751133,-70.28879593,0,NA
PSW,41.68120559,-70.45504771,0,NA
PSW,41.68317426,-70.455246,0,NA
PSW,41.68369101,-70.32026215,0,NA
PSW,41.6867898,-70.48387007,0,NA
PSW,41.68684367,-70.48384627,0,NA
PSW,41.68753587,-70.46166204,0,NA
PSW,41.68579197,-70.25227065,0,NA
PSW,41.68861747,-70.4872589,0,NA
PSW,41.6857214,-70.18279939,0,NA
PSW,41.6858876,-70.18330048,0,NA
PSW,41.69010568,-70.48306282,0,NA
PSW,41.69017018,-70.48077377,0,NA
PSW,41.6903,-70.48396293,0,NA
PSW,41.69548637,-70.4490128,0,NA
PSW,41.6969145,-70.44437408,0,NA
PSW,41.69469114,-70.19383716,0,NA
PSW,41.69775,-70.44605165,0,NA
PSW,41.69686886,-70.35295841,0,NA
PSW,41.69789499,-70.45487775,0,NA
PSW,41.69790687,-70.38378175,0,NA
PSW,41.6992377,-70.44390095,0,NA
PSW,41.69666696,-70.02607112,0,NA
PSW,41.69674582,-70.02530812,0,NA
PSW,41.70521672,-70.37596246,0,NA
PSW,41.70663345,-70.37448532,0,NA
PSW,41.7048299,-70.14968006,0,NA
PSW,41.70734535,-70.36984653,0,NA
PSW,41.71326201,-70.57837294,0,NA
PSW,41.71015159,-70.193214,0,NA
PSW,41.70956051,-69.9909211,0,NA
PSW,41.70965934,-69.99001297,0,NA
PSW,41.71316247,-70.14389629,0,NA
PSW,41.71637703,-70.10913855,0,NA
PSW,41.71791847,-70.16934999,0,NA
PSW,41.71957049,-70.10606471,0,NA
PSW,41.72387308,-70.12826544,0,NA
PSW,41.72850056,-70.39978043,0,NA
PSW,41.7263987,-70.07424172,0,NA
PSW,41.73826535,-70.38118734,0,NA
PSW,41.73758679,-70.08726505,0,NA
PSW,41.73798731,-70.08493813,0,NA
PSW,41.74195864,-70.08459466,0,NA
PSW,41.75360885,-70.59474184,0,NA
PSW,41.7531721,-70.5384246,0,NA
PSW,41.75364844,-70.59476759,0,NA
PSW,41.75467485,-70.53738138,0,NA
PSW,41.75805676,-70.50056449,0,NA
PSW,41.75668515,-69.99268139,0,NA
PSW,41.75760222,-69.99470084,0,NA
PSW,41.76117825,-69.99648749,0,NA
PSW,41.77059199,-70.5260162,0,NA
PSW,41.7662507,-69.9901808,0,NA
PSW,41.79407519,-70.52410873,0,NA
PSW,41.80171881,-69.99252482,0,NA
PSW,41.80229136,-69.9915173,0,NA
PSW,41.80233074,-69.99065533,0,NA
PSW,41.80591189,-69.97413602,0,NA
PSW,41.8061404,-69.97460792,0,NA
PSW,41.80649022,-69.97469833,0,NA
PSW,41.80860516,-69.97672255,0,NA
PSW,41.80880328,-69.97218137,0,NA
PSW,41.80881239,-69.97218943,0,NA
PSW,41.81103126,-69.97208401,0,NA
PSW,41.81223894,-69.97245456,0,NA
PSW,41.82232687,-69.96504968,0,NA
PSW,41.82605307,-69.97518964,0,NA
PSW,41.82606478,-69.97501366,0,NA
PSW,41.82930304,-69.97290113,0,NA
PSW,41.82960142,-69.97400053,0,NA
PSW,41.83021901,-69.97351093,0,NA
PSW,41.83060455,-69.97595224,0,NA
PSW,41.83165835,-69.97298245,0,NA
PSW,41.83377211,-69.99575461,0,NA
PSW,41.83741319,-69.97534891,0,NA
PSW,41.83745676,-69.97532378,0,NA
PSW,41.83786061,-69.971102,0,NA
PSW,41.83853186,-70.0038498,0,NA
PSW,41.83822568,-69.97710298,0,NA
PSW,41.84024412,-69.97863754,0,NA
PSW,41.84027841,-69.97867586,0,NA
PSW,41.84095037,-69.97390577,0,NA
PSW,41.84079028,-69.97503072,0,NA
PSW,41.84110275,-69.97503767,0,NA
PSW,41.8408555,-69.974984,0,NA
PSW,41.84362157,-69.98286371,0,NA
PSW,41.84349464,-69.95662671,0,NA
PSW,41.84391641,-69.98315141,0,NA
PSW,41.84368847,-69.94793079,0,NA
PSW,41.84368923,-69.94794819,0,NA
PSW,41.84449683,-69.98342393,0,NA
PSW,41.84473626,-69.98259594,0,NA
PSW,41.8451066,-69.98258845,0,NA
PSW,41.84561158,-69.96548578,0,NA
PSW,41.8461458,-69.98435192,0,NA
PSW,41.84617977,-69.9843673,0,NA
PSW,41.84620648,-69.98442839,0,NA
PSW,41.84715295,-69.98276538,0,NA
PSW,41.848057,-69.988714,0,NA
PSW,41.84840176,-69.98286356,0,NA
PSW,41.85067362,-69.98663039,0,NA
PSW,41.85073185,-69.98665054,0,NA
PSW,41.85123454,-69.98688516,0,NA
PSW,41.8510029,-69.96713216,0,NA
PSW,41.85145971,-69.98790733,0,NA
PSW,41.85168838,-69.98537453,0,NA
PSW,41.85182942,-69.98794561,0,NA
PSW,41.853157,-69.98836504,0,NA
PSW,41.85406744,-69.99059225,0,NA
PSW,41.85474551,-69.98715415,0,NA
PSW,41.85487632,-69.98882865,0,NA
PSW,41.8550876,-69.98608648,0,NA
PSW,41.85508726,-69.98606127,0,NA
PSW,41.85622406,-69.98686237,0,NA
PSW,41.85673536,-69.98633155,0,NA
PSW,41.85812686,-69.98570579,0,NA
PSW,41.85850512,-69.98334519,0,NA
PSW,41.85816937,-69.95256038,0,NA
PSW,41.86191551,-69.98493958,0,NA
PSW,41.86293582,-69.98421515,0,NA
PSW,41.86335661,-69.98424317,0,NA
PSW,41.86394356,-69.98457894,0,NA
PSW,41.86531271,-69.96771154,0,NA
PSW,41.86698908,-69.98340612,0,NA
PSW,41.8677864,-69.98436749,0,NA
PSW,41.86783576,-69.98477931,0,NA
PSW,41.87024662,-69.98438279,0,NA
