dataset,Lat,Long,NO3
DWMWPP,42.62969793,-72.15035652,0.42209302325581394
DWMWPP,42.68279648,-72.11503734,0.0258695652173913
DWMWPP,42.6723218,-72.09305542,0.17902439024390243
DWMWPP,42.30485304,-71.62845076,3.497916666666667
DWMWPP,42.32543468,-71.39736431,0.2989583333333333
DWMWPP,42.43206352,-71.44974106,1.2719565217391304
DWMWPP,42.51227518,-71.40458554,0.595
DWMWPP,42.153873,-71.65203977,1.562093023255814
DWMWPP,42.11664658,-72.7336661,0.718
DWMWPP,41.81989559,-71.02717559,0.04
DWMWPP,41.93332037,-71.15426672,0.424
DWMWPP,42.26764467,-71.55276363,0.18
DWMWPP,42.25849843,-71.45547229,0.3
DWMWPP,42.46568803,-71.39143422,1.75
DWMWPP,42.45974876,-71.35935869,0.08499999999999999
DWMWPP,42.39635089,-71.36467086,0.205
DWMWPP,42.35708626,-71.40313662,0.44
DWMWPP,42.35926526,-71.36883338,0.215
DWMWPP,41.9471012,-71.1769499,0.177
DWMWPP,42.05820916,-70.89995609,0.139
DWMWPP,42.04238758,-70.89846196,0.14233333333333334
DWMWPP,41.95002381,-71.29133543,0.248
DWMWPP,42.00286304,-71.33840362,0.52
DWMWPP,42.16028331,-70.78863391,0.2925
DWMWPP,42.53259005,-71.74028814,1.206
DWMWPP,42.55197544,-71.62097756,1.7
DWMWPP,42.18086003,-71.73011265,1.144
DWMWPP,42.19910034,-71.69396462,0.088
DWMWPP,42.01664829,-71.5384768,1.386
DWMWPP,42.08439258,-71.69699739,0.188
DWMWPP,42.38639934,-72.5503928,0.73
DWMWPP,42.33278638,-72.57858317,0.28
DWMWPP,42.28189876,-72.42726497,0.712
DWMWPP,42.36655405,-72.60488814,0.402
DWMWPP,42.47836238,-72.61893594,0.602
DWMWPP,42.28349688,-72.64060074,0.478
DWMWPP,42.11943443,-71.45344443,4.4
DWMWPP,42.13828143,-71.35867289,2.26
DWMWPP,42.21006156,-71.35172497,1.522
DWMWPP,42.26439957,-71.32538186,0.924
DWMWPP,42.32584268,-71.25439259,0.314
DWMWPP,42.25781415,-71.26256067,0.65
DWMWPP,42.09620732,-71.47958751,0.808
DWMWPP,42.39554541,-71.19710167,0.72
DWMWPP,42.38300416,-71.2078492,0.504
DWMWPP,42.12453197,-71.43065489,0.06999999999999999
DWMWPP,42.12911182,-71.30503034,0.122
DWMWPP,42.15866554,-71.30280984,0.548
DWMWPP,42.31931329,-71.24624794,0.8059999999999999
DWMWPP,42.36795531,-71.27033164,0.29400000000000004
DWMWPP,42.20864325,-71.78210772,0.366
DWMWPP,42.18223431,-71.70488014,1.686
DWMWPP,42.17728889,-71.68788468,1.428
DWMWPP,42.17384662,-71.68057473,1.478
DWMWPP,42.12965013,-71.63645321,1.632
DWMWPP,42.07985489,-71.61966359,1.7120000000000002
DWMWPP,42.20640574,-71.78097604,1.57
DWMWPP,42.20595608,-71.78074977,0.4
DWMWPP,42.4841721,-72.7542118,0.07815384615384616
DWMWPP,42.41095836,-72.93953408,0.22
DWMWPP,42.25418274,-72.94869942,0.08793103448275862
DWMWPP,42.13083697,-72.75434911,0.158
DWMWPP,42.11652506,-72.72435552,0.506
DWMWPP,42.27406018,-71.63224204,0.395
DWMWPP,42.28350805,-71.63858701,4.15
DWMWPP,42.32036993,-71.63553499,2.55
DWMWPP,42.32949677,-71.63006336,2.3
DWMWPP,42.34151216,-71.61641,1.8
DWMWPP,42.3465007,-71.61460331,2.6
DWMWPP,42.38030934,-71.58613633,2.2
DWMWPP,42.39979789,-71.54598569,2.45
DWMWPP,42.40462155,-71.52654108,3.55
DWMWPP,42.41163442,-71.50844219,2.5
DWMWPP,42.4231785,-71.474721829999993,2.5
DWMWPP,42.44086923,-71.42935628,2.25
DWMWPP,42.3386459,-71.39498427,0.225
DWMWPP,42.44111379,-71.36805603,0.12
DWMWPP,42.47116456,-71.34989446,0.99
DWMWPP,42.50902782,-71.31411783,0.88
DWMWPP,42.53488992,-71.29952957,0.86
DWMWPP,42.55747509,-71.28252509,0.64
DWMWPP,42.58482438,-71.28718593,0.59
DWMWPP,42.64172611,-71.30284563,0.7384615384615385
DWMWPP,42.57826214,-71.33253012,0.02
DWMWPP,42.63380122,-71.30119731,0.52
DWMWPP,42.07936711,-71.01406198,0.6
DWMWPP,42.07964645,-71.00930657,0.792
DWMWPP,42.05376462,-71.00977821,0.754
DWMWPP,42.03776122,-70.98465422,1.308
