,count,mean,std,min,25%,50%,75%,max
DEP2WATTBL_73,86.0,0.00015285545403888838,0.0014175231657124281,0.0,0.0,0.0,0.0,0.0131455690473444
DEP2WATTBL_76,86.0,0.03558629151663895,0.22506479260884996,0.0,0.0,0.0,0.0,1.6533736189958748
DEP2WATTBL_77,86.0,0.004380463491003351,0.04062274724901232,0.0,0.0,0.0,0.0,0.3767198602262882
DEP2WATTBL_82,86.0,0.019527305248628783,0.12483651226376918,0.0,0.0,0.0,0.0,1.1192185877923522
CLAY_0,86.0,0.7122578468660817,5.541335299820549,0.0,0.0,0.0,0.0,51.31920733529658
CLAY_0.1,86.0,0.032649448100050216,0.19139451715037847,0.0,0.0,0.0,0.0,1.6533736189958748
CLAY_0.2,86.0,0.00425665617704091,0.030854918611656394,0.0,0.0,0.0,0.0,0.2710019539406854
CLAY_0.5,86.0,0.15628736264466989,0.5927467581248466,0.0,0.0,0.0,0.0,3.579213735495512
CLAY_1,86.0,23.6157419984682,30.128454698851094,0.0,0.015901891872675225,7.041485614594145,42.14858519933756,96.38328187031505
CLAY_1.3,86.0,0.04694807560298369,0.2491067837473037,0.0,0.0,0.0,0.0,2.0378594309997013
CLAY_1.5,86.0,0.1033105900921632,0.5236649897139446,0.0,0.0,0.0,0.0,4.142247576262412
CLAY_2,86.0,5.6007659621478645,7.058994166245303,0.0,0.6957447899435799,2.7036708049878686,7.843868815981841,32.845504675398864
CLAY_2.5,86.0,8.135766379590128,17.620499468954996,0.0,0.0,0.0,4.667273310185065,99.8763544950693
CLAY_3,86.0,8.165020552346027,15.979161648369526,0.0,0.0,0.023988884609506652,10.509799049171734,76.75588745009915
CLAY_3.3000000000000003,86.0,0.38135269019249834,1.785300825243574,0.0,0.0,0.0,0.0,15.516748686972296
CLAY_4,86.0,10.586797044209227,15.951415212380232,0.0,0.0,1.0844150138063497,16.065212659483784,68.32193795617864
CLAY_4.5,86.0,1.7079729921565188,8.04948884178551,0.0,0.0,0.0,0.0,63.6541497779873
CLAY_4.6000000000000005,86.0,0.019130694611442362,0.10945399423173069,0.0,0.0,0.0,0.0,0.9740632013096332
CLAY_4.7,86.0,0.005552889756304744,0.041928860935974324,0.0,0.0,0.0,0.0,0.3767198602262882
CLAY_5,86.0,0.026011575373075285,0.1934719756069471,0.0,0.0,0.0,0.0,1.777694477310671
CLAY_5.4,86.0,3.213485904354677,6.702523171400502,0.0,0.0,0.0,3.4904195521564256,32.920925961076435
CLAY_6,86.0,0.06818612275074747,0.29274771579215636,0.0,0.0,0.0,0.0,2.219085878131901
CLAY_6.5,86.0,0.30314739792394646,1.9043983150157877,0.0,0.0,0.0,0.0,13.270954706709484
CLAY_7,86.0,8.987391761285322,21.62142416704242,0.0,0.0,0.0080585580848903,1.3704065376733754,90.139605748135
CLAY_7.2,86.0,0.006530979344529918,0.04607651039731305,0.0,0.0,0.0,0.0,0.3957096036786082
CLAY_7.3,86.0,0.02371964778912593,0.18394551794125635,0.0,0.0,0.0,0.0,1.6918914060599046
CLAY_7.5,86.0,3.469525869960345,8.33967013331991,0.0,0.0,0.0,0.053883447939424275,40.37028229400858
CLAY_8,86.0,3.076500500778517,7.998445599723564,0.0,0.0,0.0,0.0,34.58793500361024
CLAY_9,86.0,0.10853488881237965,0.49162243592043237,0.0,0.0,0.0,0.0,3.0890725248001334
CLAY_9.200000000000001,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLAY_9.5,86.0,0.2599371765277298,0.9676646886486193,0.0,0.0,0.0,0.0,4.989451377229264
CLAY_10,86.0,0.006878165643564728,0.06378548412724495,0.0,0.0,0.0,0.0,0.5915222453465666
CLAY_10.6,86.0,9.433125042685349e-05,0.0008747920286617048,0.0,0.0,0.0,0.0,0.0081124875367094
CLAY_11.5,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLAY_13,86.0,0.13137963036520836,0.9873022537075258,0.0,0.0,0.0,0.0,8.851649388839808
CLAY_15,86.0,0.335263302715807,1.7035662140973198,0.0,0.0,0.0,0.0,12.79560226760348
CLAY_19,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLAY_20.2,86.0,0.005426771824082283,0.03490766722790901,0.0,0.0,0.0,0.0,0.2603957811319319
CLAY_25,86.0,0.0799555025967715,0.7006546691961908,0.0,0.0,0.0,0.0,6.496702320575884
CLAY_27,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CLAY_27.5,86.0,0.11532045383433612,0.6773314421266057,0.0,0.0,0.0,0.0,5.245007925205149
CLAY_30,86.0,0.07630796279313111,0.532766880935915,0.0,0.0,0.0,0.0,4.5737843332602415
OM_0,86.0,0.5967349690150765,5.533892445567262,0.0,0.0,0.0,0.0,51.31920733529658
OM_05,86.0,0.3412800763727188,1.321151460283944,0.0,0.0,0.0,0.0,7.432354450520555
OM_08,86.0,0.020877261846892158,0.11723269014317549,0.0,0.0,0.0,0.0,0.8940025681850319
OM_0.1,86.0,0.006260976639432997,0.03070072390699575,0.0,0.0,0.0,0.0,0.2091963680876283
OM_0.25,86.0,0.09703155667158542,0.6005399318885046,0.0,0.0,0.0,0.0,5.390146949115084
OM_0.3,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OM_0.4,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OM_0.7000000000000001,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OM_0.75,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OM_1,86.0,2.9405381910159845,4.8507719709394035,0.0,0.0,1.2167564910033426,3.9966160478951553,29.472593443336365
OM_1.5,86.0,8.226207964371273,17.58601529164305,0.0,0.0,0.0468137491206597,4.683736597748444,99.8763544950693
OM_1.74,86.0,0.03160630023626265,0.15444116471141014,0.0,0.0,0.0,0.0,0.9821093274395374
OM_2,86.0,2.7485280132724847,12.173557573262736,0.0,0.0,0.0,0.0,75.60876038236988
OM_2.2,86.0,29.213044386383164,30.44315967920996,0.0,0.0,16.234036326132024,51.822763224108385,96.38328187031505
OM_2.3000000000000003,86.0,0.0011310427067347455,0.010488858564370866,0.0,0.0,0.0,0.0,0.0972696727791881
OM_2.5,86.0,0.7402483653755221,1.684841664204311,0.0,0.0,0.0,0.5596923558211043,8.442161925699693
OM_3,86.0,5.264249743543355,10.237706870494245,0.0,0.0,0.0,4.731292816859132,40.14104233767204
OM_3.35,86.0,0.005318947287965703,0.031249074156042278,0.0,0.0,0.0,0.0,0.2549385188345391
OM_3.4,86.0,0.04805327133441854,0.27592259968911065,0.0,0.0,0.0,0.0,2.2584743595271277
OM_3.5,86.0,6.780834056860371,14.691088352193436,0.0,0.0,0.0545857186723047,2.1539544256104377,68.49176531508603
OM_3.8000000000000003,86.0,0.014518095316849512,0.08953976930761155,0.0,0.0,0.0,0.0,0.7815314585970318
OM_3.92,86.0,0.009920614270007472,0.06647726735685422,0.0,0.0,0.0,0.0,0.5269516550179497
OM_4,86.0,3.9012005199203914,8.328828814876834,0.0,0.0,0.0,2.1976957907911085,40.37028229400858
OM_4.12,86.0,3.347220693320066,6.722120827462624,0.0,0.0,0.0,4.335797093370391,32.920925961076435
OM_4.13,86.0,0.07981699413373125,0.30836970745839,0.0,0.0,0.0,0.0,2.1148507055350443
OM_4.5,86.0,0.35189966986853827,2.4613223251702787,0.0,0.0,0.0,0.0,21.85304653589801
OM_4.97,86.0,0.005426771824082283,0.03490766722790901,0.0,0.0,0.0,0.0,0.2603957811319319
OM_5,86.0,0.009232677015863631,0.061678780846462763,0.0,0.0,0.0,0.0,0.5247411894085658
OM_59,86.0,1.777940026996539,5.4300977861643,0.0,0.0,0.0,0.0,34.201282181706226
OM_5.5,86.0,2.0187746149012575,4.265996564395473,0.0,0.0,0.0,1.8988645199587888,20.75844781664833
OM_5.75,86.0,0.013174570760274106,0.11458581118840987,0.0,0.0,0.0,0.0,1.061031479335785
OM_6,86.0,0.8402308834366343,2.7861952043368,0.0,0.0,0.0,0.28572790184441366,21.76184289166539
OM_6.4,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
