id,x_coor,y_coor,y,ols_residual,gwr_yhat,gwr_residual,localR2,influ,CooksD,beta_Intercept,beta_GT5_COVERNAME_Impervious,beta_LE5_USEGENNAME_Commercial,beta_NaturalCover,se_Intercept,se_GT5_COVERNAME_Impervious,se_LE5_USEGENNAME_Commercial,se_NaturalCover,t_Intercept,t_GT5_COVERNAME_Impervious,t_LE5_USEGENNAME_Commercial,t_NaturalCover,p_Intercept,p_GT5_COVERNAME_Impervious,p_LE5_USEGENNAME_Commercial,p_NaturalCover,sumW
4.0,-70.37943800000001,41.711745,-0.44552885229407674,-0.10363637736126174,-0.23152470321959226,-0.21400414907448448,0.24862012604121128,0.07969268225582113,0.0008228575508388368,0.1702469268788826,0.36632617890525865,0.22820892917316285,-0.06562043194552675,0.1294561296238449,0.13239295797723297,0.12645193095774052,0.12880506531563202,1.3150935948229086,2.766961207772502,1.8047089312493687,-0.5094553679603074,0.193245171873311,0.007417981588242494,0.07589988696895211,0.6122130307305733,30.39583524879174
5.0,-70.363259,41.7024369,-0.6392238903133751,-0.28311427387119353,-0.19310228975195198,-0.44612160056142314,0.23794693048160548,0.07349635277202282,0.003253910495731514,0.1765378041422437,0.3604051035001023,0.21368499396419707,-0.06881898019559772,0.1295894859353148,0.13313152205634804,0.12987495906009422,0.1296961371354624,1.3622849328252091,2.707135755178706,1.645313272940654,-0.5306170385299838,0.17795874294000333,0.008724124550137793,0.10488601689618805,0.5975497362545144,30.60550669484959
6.0,-70.20151,41.733119,-0.2087904724927121,-0.202275394731213,0.11031742320781002,-0.3191078957005221,0.26829004902308234,0.041028557739722395,0.0008675161737044695,0.12189138981493185,0.17832132444827892,0.3984144010937546,-0.17415065978238572,0.12245845145734646,0.13023545697277225,0.21633678403842263,0.13993837528749412,0.9953693547838784,1.3692225496283994,1.8416396585750945,-1.2444810755063058,0.3233644722764697,0.17579138223965643,0.07023616616155565,0.21793249407629306,31.42927065087317
7.0,-70.28828299999999,41.703134000000006,2.563200738272358,2.9144310753578058,-0.14424600054691925,2.7074467388192773,0.16962937117086477,0.07833059298879519,0.12907094560437776,0.16147376953741222,0.3342265698346865,-0.06419411033311365,-0.11631795610835949,0.13767182161383879,0.14381992380473674,0.2777253863065196,0.14577513564424258,1.1728890316446634,2.323923980716771,-0.2311423928033139,-0.7979272706164928,0.24525602531156732,0.02336857961681624,0.8179532281705804,0.42791016980145546,27.738614642043615
8.0,-70.22387900000001,41.705088,0.1592300997439549,0.21708016885096162,0.21156505981911078,-0.05233496007515587,0.2095724985070029,0.2873027803346385,0.0002958292225625009,0.13628017614111745,0.22733622752270438,0.1768343222651573,-0.16330901936080605,0.1279047200867182,0.13501000777894287,0.2559568968120526,0.14351888176021801,1.065481993539572,1.6838472292730389,0.6908753953014423,-1.1378922226669248,0.29072436695161613,0.09716030158822617,0.4921816504641965,0.2594744934429091,29.97408137194014
9.0,-70.154567,41.670598,-0.740375743501231,-0.5790145798107027,-0.07900936515572535,-0.6613663783455057,0.2530605628416119,0.0817362800727146,0.00809639747658997,0.11286911046079222,0.1744822496657992,0.32824445628685966,-0.18229616691467054,0.12574059590859724,0.13135138458191434,0.22756222309478388,0.14128229461879865,0.8976346075442374,1.3283624700353827,1.4424382563275442,-1.2902973256948693,0.37279804728776245,0.18885046825564994,0.15413215876475977,0.20166324744028175,31.278782734976243
10.0,-70.213453,41.70069,0.13770842885292175,0.23632383909184906,0.11622759185886447,0.021480836994057284,0.21672727977624642,0.0431809985666724,4.155880733686583e-06,0.1329488642607045,0.21639010282269117,0.2079543092730839,-0.16735556966708026,0.1270974039483016,0.13413176711768982,0.24989136075279775,0.14299717898123726,1.0460391804287605,1.6132651307935597,0.832178866234597,-1.17034175680514,0.2995398446795932,0.1116853424141878,0.4084514173749443,0.24627166279615267,30.375028636440973
11.0,-70.362306,41.648377,3.7425883031009746,3.6962679249871995,0.3541827155701734,3.388405587530801,0.2672367081827037,0.04694137378025699,0.1133013067796467,0.17207463325781802,0.3386285371921445,0.2602297824064047,-0.06189209127803344,0.12485372898639531,0.12985829746958658,0.1216566644348068,0.1250522262328983,1.3782098032215613,2.6076773205151014,2.1390507755196286,-0.49492994361224,0.17301374320791185,0.011368214416908575,0.03631389761641067,0.6223713189252766,33.418330038727696
12.0,-70.335589,41.637221999999994,1.0093360999397645,0.8811587759934717,0.2841346678893749,0.7252014320503896,0.24574222995145167,0.140162376490227,0.01903896992196267,0.18734244137518535,0.33430696922648867,0.2382440212715058,-0.06595474593424033,0.12646006211653182,0.13187677107788173,0.1252841753777587,0.1273407072394498,1.4814356267083828,2.534995105613094,1.9016290010541943,-0.5179392149143628,0.14347509192670876,0.013740460242181948,0.06179464228309437,0.6063148407828673,31.925431203833778
13.0,-70.335213,41.651839,-0.5789632118184824,-0.5635787753796087,0.036973031647318216,-0.6159362434658007,0.23551831989745828,0.19214223273253872,0.021328097684965634,0.19072539044324757,0.3396047939900278,0.2222762580289851,-0.06780341048058974,0.12802776443051986,0.13304676990364211,0.12855044850857977,0.1290114455721806,1.4897189784701228,2.552521900651804,1.7290974913568646,-0.5255612025729486,0.1412877347776222,0.01313065924475765,0.08868938186929964,0.6010381364305231,31.546920606279503
