Region_MEP,x_coor,y_coor,y,ols_residual,mgwr_yhat,mgwr_residual,localR2,beta_Intercept,beta_NaturalCover,beta_LE5_Use_ResComMix,beta_COVERNAME_Impervious,se_Intercept,se_NaturalCover,se_LE5_Use_ResComMix,se_COVERNAME_Impervious,t_Intercept,t_NaturalCover,t_LE5_Use_ResComMix,t_COVERNAME_Impervious,p_Intercept,p_NaturalCover,p_LE5_Use_ResComMix,p_COVERNAME_Impervious,sumW_Intercept,sumW_NaturalCover,sumW_LE5_Use_ResComMix,sumW_COVERNAME_Impervious
Cape Cod > Bass River > Hamblin Brook,-70.213453,41.70069,0.3646180167885127,0.38122361514676134,0.10331497273190898,0.2613030440566037,0.34967472738258243,0.15542497246999878,-0.012815697015462157,0.08180807238408405,0.3485240039262074,0.143645877249935,0.12432591207134588,0.12470216651015398,0.1457164733747342,1.0820009278760496,-0.10308146388749369,0.6560276751681196,2.3917954906163548,0.2833763289012723,0.9182257454973979,0.5141952094790521,0.01976299818617003,27.20247340696124,46.2412606707225,46.2412606707225,24.055906200587014
Cape Cod > Centerville > Bumps River,-70.362306,41.648377,3.779020888979474,3.379256303338372,0.6362144063190553,3.1428064826604185,0.39738866976611587,0.17471245235834443,-0.026102695763824454,0.08066560056002926,0.5629157689799675,0.14174785054356712,0.12810266550090535,0.13440183649747145,0.14242547322540405,1.232558036600671,-0.20376387690106243,0.6001822792171955,3.952353158687359,0.2223206591015792,0.8391947922364311,0.5505376478278723,0.0001983585987862446,28.996855713093147,40.26895015555448,40.26895015555448,28.03968915617996
Cape Cod > Centerville > Lake Elizabeth Stream,-70.335589,41.637221999999994,0.9308350762837306,0.8679032903203147,0.28983560585143253,0.6409994704322981,0.393327555925054,0.20551178781753948,-0.023326376689645302,0.0834531962289617,0.5332809903040379,0.14633840379026825,0.1273407246407731,0.13231732837742627,0.14703615898096345,1.404359911647515,-0.18318080688993074,0.630704967008683,3.626869703343386,0.1651227362264589,0.8552444099496423,0.5305148484869615,0.0005755439114236745,27.263506486585037,40.69000792963007,40.69000792963007,26.24505853122313
Cape Cod > Centerville > Long Pond Stream,-70.335213,41.651839,-0.8723192507664767,-0.3678059797906751,-0.32307041177854523,-0.5492488389879314,0.38905512011695054,0.20799854110391378,-0.02273054353642528,0.08049316658339027,0.5274730123702009,0.14812321037302464,0.12651349539125603,0.13085236381029955,0.14824576469306436,1.4042265258773603,-0.17966892358897152,0.6151449178257379,3.5580983609367065,0.1651622706899129,0.8579891274290694,0.5406747453414067,0.0007162893619667543,27.109477934622674,41.80747146174144,41.80747146174144,26.35929086534717
Cape Cod > Centerville > Skunknett River,-70.371382,41.645515,0.9612359922297826,0.902435860780411,0.20151319717672084,0.7597227950530618,0.4006092060520273,0.1631857004314538,-0.0274321207461025,0.08138365327617082,0.5761275257579188,0.13968432270355732,0.1288399789069643,0.13602938170585097,0.14217028521587197,1.168246352010253,-0.21291621574939334,0.598279961693528,4.052376520755545,0.24710939273977356,0.8320797799976649,0.5517980645190351,0.0001416520291572544,29.721429800241587,39.5770245366848,39.5770245366848,27.459630971112865
Cape Cod > Chatham > Ryder Cove,-69.984561,41.706483,-0.2624008745988092,0.07396087673872148,-0.16478476152684396,-0.09761611307196522,0.31562730256478144,0.04104065580760939,-0.0040980893712739795,0.08936462407587953,0.20123696533862237,0.14183458052950498,0.1292657171079491,0.12866627972761685,0.1399174360339818,0.28935578089908726,-0.03170283245210087,0.694545799140708,1.4382550955961477,0.7732592422326627,0.9748092609098806,0.48989352435231803,0.155310989088655,28.85462114545047,41.20141655778667,41.20141655778667,25.829999418111157
Cape Cod > Chatham > Stillwater Pond,-69.970673,41.702013,-0.48850768694757063,-0.2057202249327938,-0.14201888863564166,-0.34648879831192897,0.3143941885653849,0.03881879188816362,-0.0036086551093062157,0.08977223435571106,0.19864114766889876,0.14236334575619258,0.12959589100426558,0.12897720102728763,0.14034423802293375,0.2726740628493206,-0.02784544387435431,0.696031807487573,1.4153851306416918,0.7859955506394013,0.9778734411302816,0.4889688175730186,0.1618801036090792,28.37648792112729,40.63592178021653,40.63592178021653,25.363520136821982
Cape Cod > Falmouth > Morse Pond,-70.602027,41.557309000000004,-0.4030051108492994,-1.2259222880691443,1.31543067170049,-1.7184357825497893,0.41630391822839774,0.04636549646321453,-0.028233635816530957,0.06698453003448589,0.7543401223842214,0.1345361744727436,0.13126082644620796,0.13254156288599234,0.15118470513058235,0.3446321901520097,-0.21509567310321173,0.505385092615089,4.989526696716293,0.7315187456527827,0.8303875249400982,0.6150519859907079,5.049127239865513e-06,31.790971981019595,36.07437747515455,36.07437747515455,24.68326610494337
Cape Cod > Fiddlers > Cedar Lake,-70.626459,41.648848,-0.1787983557471662,0.1144011432340031,-0.37691731560233327,0.19811895985516706,0.41121170589667233,0.029908180945649093,-0.03219239200869137,0.06231499613263056,0.7581917650924552,0.13505843863378755,0.13310997505454217,0.1377989216067439,0.14991199569679373,0.2214462217110732,-0.24184808084818923,0.45221686357218094,5.05757902540331,0.8254612157100414,0.8096833902903344,0.6526660343265343,3.920984168552834e-06,31.678005906219013,34.24635409036401,34.24635409036401,24.928013894261646
Cape Cod > Fiddlers > Flax Pond,-70.627569,41.646453,-0.2167995006797312,-0.2452068145788271,0.06940278765148823,-0.2862022883312194,0.4113603435813886,0.030059941972817555,-0.032068382929653125,0.062317703033674676,0.7581819757581828,0.13502832031969933,0.13307075584777886,0.13758254357636757,0.15003377468414245,0.22261953567700643,-0.2409874560743948,0.4529477462312227,5.053408656513109,0.8245518046419076,0.81034740811468,0.6521424902495909,3.982360437836168e-06,31.710662144823907,34.28988982945962,34.28988982945962,24.948550447432737
Cape Cod > GBB > Backus Brook,-70.56324599999999,41.578790999999995,-0.8761193652597331,-0.4043323900061386,-0.616017116607984,-0.26010224865174913,0.4160422200572772,0.05538644393129491,-0.02895523315520759,0.07296078353450462,0.7527497280371968,0.13379952476387416,0.1309887317936032,0.13345400607695304,0.14737421578493126,0.41395097650039814,-0.22105132829923016,0.5467110780656037,5.107743739486375,0.68031592582152,0.8257673433328648,0.5865084895022281,3.2516223479897857e-06,32.78378785789835,37.07618039384134,37.07618039384134,25.372346677244778
Cape Cod > GBB > Bournes Brook,-70.55128,41.576468,-0.21869955792635923,0.2921750855387871,-0.6712738089489207,0.45257425102256155,0.4163332785529944,0.05952719731912934,-0.028773960862848662,0.0747125557236972,0.7515510436420145,0.13364825012641157,0.13075989453180142,0.1333136278248808,0.14651021361655986,0.4454019956327552,-0.22005188185472802,0.5604269941692588,5.129683624712617,0.6575560490450231,0.8265422511392599,0.5771758486665779,2.9954120153065876e-06,32.79736639191955,37.33936884838306,37.33936884838306,25.23497249260232
Cape Cod > GBB > Coonamesset River,-70.573375,41.578178,-0.2624008745988092,-0.0453020046107421,-0.3047954845587166,0.0423946099599074,0.41590560242309815,0.05234828084980248,-0.02897753532538599,0.07145549723747974,0.7535345387446111,0.13394348626275945,0.13113479348037843,0.1334112521874853,0.1481980444007173,0.390823639957451,-0.22097518558049103,0.5356032273579293,5.084645629378925,0.6972461392848799,0.8258263734945003,0.5941186479315401,3.5446004987653335e-06,32.677146480150554,36.83809623746127,36.83809623746127,25.365780555375405
Cape Cod > JEHU/Waquoit Bay > Quashnet River,-70.508739,41.590546,-0.9350211399052087,-0.826644017820456,-0.09280548083748849,-0.8422156590677202,0.4160346383630984,0.07402386456132912,-0.029239149732073467,0.08160206115484671,0.7142425815537096,0.13322889437941512,0.13044662229788986,0.13498386109519317,0.13797374779840216,0.5556141924477785,-0.22414646862455745,0.6045319825108528,5.176655653344375,0.5804424303161018,0.823368672122182,0.5476611322721884,2.511703068311885e-06,33.14619696942192,38.055733760927204,38.055733760927204,27.455726900850237
Cape Cod > Lewis Bay > Chase Brook,-70.251581,41.652992,0.08720965878078829,-0.017838174879296384,0.26182894448945737,-0.17461928570866908,0.3668908548954496,0.21935620093965585,-0.014846512125329853,0.08325366153066652,0.42374692015516957,0.15310316460126477,0.12466545962610003,0.12585444999420276,0.1553631557922602,1.4327345976873673,-0.11909082250896046,0.6615074916659796,2.727460819100326,0.1568773989408438,0.9055823380439225,0.5106991529566258,0.008258455314262557,25.224268076456333,44.21791571198237,44.21791571198237,23.277601530565747
Cape Cod > Lewis Bay > Halls Creek,-70.30766,41.638791999999995,0.6819275769754302,0.43356517973015873,0.4508581435476652,0.23106943342776498,0.3850920539192554,0.23706969118313145,-0.020092854222666143,0.08341910831066754,0.4913213911582095,0.1534234041363603,0.1261035871692898,0.12942355623177937,0.15419171022036168,1.5451990034872884,-0.1593361035455095,0.6445434721425493,3.1864319453752863,0.1273069718964378,0.8739138005857294,0.5215631318908034,0.0022418384433112878,25.28110061396056,41.91557210342069,41.91557210342069,23.815568343063923
Cape Cod > Lewis Bay > Hosptial Bog,-70.272014,41.647996,0.3380172153357172,-0.2558297028653686,0.7413591717364771,-0.4033419564007599,0.37315976922755767,0.24029117982498366,-0.016527315452702564,0.0830563315756922,0.447859731927873,0.1565711782020371,0.12494950532751611,0.12671302274038712,0.1553516532394819,1.5347088946020164,-0.13227195585433785,0.6554679998902728,2.8828771537917017,0.1298624697687573,0.8951907401922161,0.51455299151914,0.005384320697700297,24.500396195869495,43.56350347604425,43.56350347604425,23.78419420763877
Cape Cod > Lewis Bay > Mill Pond,-70.260958,41.657379,0.03970822761508227,-0.20945053760692678,0.40327083601942054,-0.3635626084043383,0.36820844443823486,0.22216304031035417,-0.015593599827580336,0.08248554412343814,0.43199365152350705,0.15341756746822036,0.12460262731073815,0.12596489390809834,0.15606225644521596,1.4480938785343085,-0.12514663746770363,0.6548296240666711,2.768085386969616,0.1525494676695411,0.9008059527766039,0.5149612459372166,0.007395253966438662,25.41478075916713,44.339031545490656,44.339031545490656,23.12461250597696
Cape Cod > Lewis Bay > Snow's Creek,-70.279514,41.642705,1.7288591198675944,-0.3042459429614266,2.245283831401501,-0.5164247115339067,0.3764169929456208,0.24922089465919398,-0.01723445257800485,0.08347336402289511,0.4570789034902145,0.15774789665493916,0.12523310291177092,0.12731402254858315,0.15529653080700973,1.5798682577958212,-0.13761898553409513,0.6556494119965584,2.9432653847125287,0.11914521474826031,0.8909804471546858,0.5144370062005499,0.004542147408670245,24.09033591669234,43.03070937220302,43.03070937220302,23.723366812215367
Cape Cod > Lewis Bay > Stewart's Creek,-70.293032,41.635463,2.0575690235342816,1.0071008493940572,1.330786057707923,0.7267829658263587,0.38194571526776755,0.2490161642702995,-0.018639825025231226,0.08421397544903562,0.47294216176142323,0.1563206401745926,0.12581373175707547,0.12855625054362266,0.15552806461441954,1.592983268186315,-0.148154138383094,0.6550749192895877,3.0408798754998148,0.11616934947434095,0.88269430185773,0.5148043542360274,0.00343484673580106,24.29463852365418,42.11553064804701,42.11553064804701,23.201980089748638
Cape Cod > Little Pond > Stream,-70.592263,41.560109000000004,3.798021461445756,2.7346863230690985,1.7369683438257295,2.061053117620027,0.41637745664215975,0.04870394954878092,-0.028290632787224327,0.06837359745699965,0.7540290138439295,0.13434889853346227,0.13114116080010244,0.13255127004127995,0.1503953223184855,0.36251841347735525,-0.21572656986274158,0.5158275543923971,5.013646716000619,0.7181780048841961,0.8298978106157555,0.6077804886481193,4.616935544335864e-06,31.994418133029523,36.34113465771729,36.34113465771729,24.798947497436657
